City/Town,Ward,Pct,"Adrian C. Madaro","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,893,24,182,"1,099"
Boston,1,2,706,17,137,860
Boston,1,3,"1,812",47,353,"2,212"
Boston,1,4,716,12,150,878
Boston,1,5,780,14,166,960
Boston,1,6,629,14,154,797
Boston,1,7,720,23,132,875
Boston,1,8,887,27,174,"1,088"
Boston,1,9,655,28,121,804
Boston,1,10,367,13,98,478
Boston,1,11,845,34,202,"1,081"
Boston,1,12,769,36,205,"1,010"
Boston,1,13,"1,052",33,256,"1,341"
Boston,1,14,495,20,167,682
Boston,6,12A,0,0,0,0
TOTALS,,,"11,326",342,"2,497","14,165"
