City/Town,Ward,Pct,"Ted Philips","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Mansfield,-,4,"1,398",49,617,"2,064"
Mansfield,-,6A,155,1,79,235
Sharon,-,1,"1,694",25,478,"2,197"
Sharon,-,2,"1,588",17,491,"2,096"
Sharon,-,3,"1,670",17,556,"2,243"
Sharon,-,4,"1,663",14,503,"2,180"
Sharon,-,5,"1,585",21,584,"2,190"
Stoughton,-,2,"1,124",19,486,"1,629"
Stoughton,-,3,"1,458",26,589,"2,073"
Stoughton,-,4,"1,435",28,704,"2,167"
Stoughton,-,5A,82,0,53,135
Stoughton,-,6,"1,350",15,588,"1,953"
Stoughton,-,7A,78,2,21,101
Stoughton,-,8A,60,3,25,88
Walpole,-,2A,30,0,10,40
Walpole,-,3,"1,609",16,784,"2,409"
Walpole,-,4,"1,159",15,470,"1,644"
Walpole,-,5A,23,0,24,47
TOTALS,,,"18,161",268,"7,062","25,491"
