City/Town,Ward,Pct,"David Henry Argosky Leboeuf","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Leicester,-,2,"1,117",46,391,"1,554"
Leicester,-,4,"1,034",48,439,"1,521"
Worcester,7,1,"1,002",34,292,"1,328"
Worcester,7,2,912,49,271,"1,232"
Worcester,7,3,702,35,167,904
Worcester,7,4,"1,039",50,282,"1,371"
Worcester,7,5,684,42,236,962
Worcester,7,5A,232,12,65,309
Worcester,7,6,992,55,271,"1,318"
Worcester,8,2,406,20,113,539
Worcester,8,3,284,13,42,339
Worcester,8,4,529,24,144,697
Worcester,8,6,481,28,133,642
Worcester,10,6,468,21,121,610
TOTALS,,,"9,882",477,"2,967","13,326"
