City/Town,Ward,Pct,"Russell E. Holmes","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,14,2,"1,066",33,186,"1,285"
Boston,14,5,452,14,78,544
Boston,14,6,490,9,95,594
Boston,14,7,473,13,76,562
Boston,14,8,589,14,89,692
Boston,14,9,517,16,99,632
Boston,14,10,574,8,126,708
Boston,14,11,544,17,107,668
Boston,14,12,332,4,52,388
Boston,14,13,521,12,64,597
Boston,14,14,561,13,87,661
Boston,17,1,535,15,96,646
Boston,17,2,402,12,84,498
Boston,17,3,881,19,182,"1,082"
Boston,17,5,415,9,62,486
Boston,17,6,701,18,139,858
Boston,17,7,365,7,42,414
Boston,18,7,847,31,178,"1,056"
Boston,18,8,"1,397",34,296,"1,727"
Boston,19,12,773,9,207,989
TOTALS,,,"12,435",307,"2,345","15,087"
