City/Town,Ward,Pct,"Erika Uyterhoeven","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Somerville,1,4A,317,9,52,378
Somerville,2,1,789,9,135,933
Somerville,2,2,"1,204",27,218,"1,449"
Somerville,2,3,"1,237",18,204,"1,459"
Somerville,2,4,"1,297",18,213,"1,528"
Somerville,3,1,"1,330",33,215,"1,578"
Somerville,3,2,"1,194",29,247,"1,470"
Somerville,3,3,"1,329",20,266,"1,615"
Somerville,3,4,"1,303",26,234,"1,563"
Somerville,4,2A,274,2,84,360
Somerville,5,1,"1,309",35,239,"1,583"
Somerville,5,2,"1,326",39,252,"1,617"
Somerville,5,3,"1,321",24,254,"1,599"
Somerville,5,4,"1,476",34,222,"1,732"
Somerville,6,1,"1,520",36,241,"1,797"
Somerville,6,2,"1,571",27,274,"1,872"
Somerville,6,3,230,3,44,277
Somerville,6,4,"1,448",24,279,"1,751"
TOTALS,,,"20,475",413,"3,673","24,561"
