City/Town,Ward,Pct,"Daniel J. Hunt","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,13,3,641,24,168,833
Boston,13,6,633,13,140,786
Boston,13,7,693,23,219,935
Boston,13,8,600,15,175,790
Boston,13,9,707,11,172,890
Boston,13,10,987,20,319,"1,326"
Boston,15,6,380,21,169,570
Boston,15,8,358,17,153,528
Boston,16,1,492,16,156,664
Boston,16,2,520,16,159,695
Boston,16,3,623,5,196,824
Boston,16,4,637,20,175,832
Boston,16,5,762,28,209,999
Boston,16,6,844,28,340,"1,212"
Boston,16,7,701,27,248,976
Boston,16,8,"1,096",36,356,"1,488"
Boston,16,9,906,29,297,"1,232"
Boston,16,10,723,16,246,985
Boston,16,12,758,21,265,"1,044"
TOTALS,,,"13,061",386,"4,162","17,609"
