City/Town,Ward,Pct,"Jack Patrick Lewis","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashland,-,1,"1,153",0,345,"1,498"
Ashland,-,2,"1,601",0,412,"2,013"
Ashland,-,3,"1,208",0,306,"1,514"
Ashland,-,4,"1,160",0,361,"1,521"
Ashland,-,5,"1,252",0,346,"1,598"
Ashland,-,6,"1,377",0,385,"1,762"
Framingham,-,9A,801,34,226,"1,061"
Framingham,-,17,"1,081",28,289,"1,398"
Framingham,-,18,"1,231",39,351,"1,621"
Framingham,-,19,"1,224",29,325,"1,578"
Framingham,-,20,"1,150",30,344,"1,524"
Framingham,-,21C,27,1,12,40
Framingham,-,24,"1,153",18,330,"1,501"
Framingham,-,25,"1,178",23,341,"1,542"
Framingham,-,26,"1,052",23,311,"1,386"
Framingham,-,27,"1,026",24,287,"1,337"
TOTALS,,,"17,674",249,"4,971","22,894"
