City/Town,Ward,Pct,"Kelly W. Pease","Bridget Matthews-Kane","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Southampton,-,1,992,921,3,89,"2,005"
Southampton,-,2,"1,106",892,0,85,"2,083"
Westfield,1,A,"1,321",739,1,81,"2,142"
Westfield,1,B,"1,197",636,1,49,"1,883"
Westfield,2,A,523,459,1,57,"1,040"
Westfield,2,B,781,588,0,74,"1,443"
Westfield,3,A,627,524,1,39,"1,191"
Westfield,3,B,861,836,2,59,"1,758"
Westfield,4,A,500,286,0,23,809
Westfield,4,B,"1,158",902,4,74,"2,138"
Westfield,5,A,"1,310",811,2,85,"2,208"
Westfield,5,B,"1,269",778,0,89,"2,136"
Westfield,6,A,"1,195",627,1,65,"1,888"
Westfield,6,B1,54,24,0,4,82
TOTALS,,,"12,894","9,023",16,873,"22,806"
