City/Town,Ward,Pct,"Adrianne Pusateri Ramos","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amesbury,-,1,"1,437",0,658,"2,095"
Amesbury,-,6,"1,071",0,409,"1,480"
Boxford,-,2,"1,246",45,642,"1,933"
Boxford,-,3,"1,063",43,596,"1,702"
Groveland,-,1,"1,424",13,760,"2,197"
Groveland,-,2,"1,433",9,830,"2,272"
"N. Andover",-,1,"1,493",16,567,"2,076"
"N. Andover",-,2,"1,520",21,621,"2,162"
"N. Andover",-,3,"1,422",9,579,"2,010"
"N. Andover",-,4,"1,768",17,799,"2,584"
"N. Andover",-,5,835,4,335,"1,174"
"N. Andover",-,6,"1,615",10,831,"2,456"
"W. Newbury",-,1,"2,270",17,"1,012","3,299"
TOTALS,,,"18,597",204,"8,639","27,440"
