City/Town,Ward,Pct,"Francisco E. Paulino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lawrence,A,2A,117,4,18,139
Lawrence,A,3,589,45,121,755
Lawrence,A,4,833,29,147,"1,009"
Lawrence,E,1A,33,1,10,44
Lawrence,E,2,991,46,268,"1,305"
Lawrence,E,3,714,35,163,912
Lawrence,E,4,702,31,141,874
Lawrence,F,1,"1,007",32,279,"1,318"
Lawrence,F,2,597,29,104,730
Lawrence,F,3,825,44,169,"1,038"
Lawrence,F,4,806,37,199,"1,042"
Methuen,-,3,"1,168",66,421,"1,655"
Methuen,-,7,"1,348",68,517,"1,933"
Methuen,-,13A,457,26,141,624
TOTALS,,,"10,187",493,"2,698","13,378"
