City/Town,Ward,Pct,"Sean Reid","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,4,3,631,29,179,839
Lynn,5,1,988,37,261,"1,286"
Lynn,5,2,528,20,121,669
Lynn,5,4,920,27,280,"1,227"
Lynn,6,1,658,23,151,832
Lynn,6,2,506,26,133,665
Lynn,6,3,546,25,145,716
Lynn,6,4,788,39,253,"1,080"
Lynn,7,1,"1,144",47,364,"1,555"
Lynn,7,2,"1,183",50,297,"1,530"
Lynn,7,3,764,34,163,961
Lynn,7,4,878,37,201,"1,116"
Nahant,-,1,"1,694",44,614,"2,352"
TOTALS,,,"11,228",438,"3,162","14,828"
