City/Town,Ward,Pct,"Samantha Montaño","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,10,4,667,16,285,968
Boston,10,5,447,14,128,589
Boston,10,6,553,12,150,715
Boston,10,7,684,14,200,898
Boston,10,8,986,18,196,"1,200"
Boston,10,9,"1,166",9,234,"1,409"
Boston,11,4,976,24,211,"1,211"
Boston,11,5,808,19,191,"1,018"
Boston,11,6,766,9,139,914
Boston,11,7,953,10,203,"1,166"
Boston,11,8,"1,419",13,239,"1,671"
Boston,11,9,686,6,147,839
Boston,11,10,806,7,141,954
Boston,19,1,869,8,153,"1,030"
Boston,19,4,"1,163",4,239,"1,406"
Boston,19,5,798,8,196,"1,002"
Boston,19,6,"1,148",12,262,"1,422"
Boston,19,7,991,17,203,"1,211"
Boston,19,9,564,5,130,699
TOTALS,,,"16,450",225,"3,647","20,322"
