City/Town,Ward,Pct,"Christine P. Barber","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Medford,4,1,764,7,157,928
Medford,4,2,"1,495",35,458,"1,988"
Medford,5,1,"1,405",36,336,"1,777"
Medford,5,2,"1,503",24,322,"1,849"
Medford,7,1,925,22,243,"1,190"
Medford,7,2A,44,1,5,50
Medford,8,2,"1,265",29,458,"1,752"
Somerville,4,1,921,28,275,"1,224"
Somerville,4,2,735,15,147,897
Somerville,4,3,"1,246",24,231,"1,501"
Somerville,4,4,818,14,169,"1,001"
Somerville,6,3A,204,8,52,264
Somerville,7,1,"1,515",12,237,"1,764"
Somerville,7,2,"1,093",21,186,"1,300"
Somerville,7,3,977,20,219,"1,216"
Somerville,7,4,"1,110",24,229,"1,363"
TOTALS,,,"16,020",320,"3,724","20,064"
