City/Town,Ward,Pct,"Joan Meschino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Cohasset,-,1,"1,237",19,493,"1,749"
Cohasset,-,2,"1,328",20,517,"1,865"
Cohasset,-,3,"1,312",17,488,"1,817"
Hingham,-,1,"1,599",29,546,"2,174"
Hingham,-,2,"1,703",37,572,"2,312"
Hingham,-,3,"1,553",36,548,"2,137"
Hingham,-,4,"1,660",27,599,"2,286"
Hingham,-,5,"1,555",41,676,"2,272"
Hingham,-,6,"1,551",35,571,"2,157"
Hingham,-,7,885,22,394,"1,301"
Hingham,-,7A,923,5,282,"1,210"
Hull,-,1,"1,762",16,589,"2,367"
Hull,-,2,"1,552",14,581,"2,147"
Hull,-,3,"1,804",23,577,"2,404"
TOTALS,,,"20,424",341,"7,433","28,198"
