City/Town,Ward,Pct,"Marjorie C. Decker","Evan Mackay","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Cambridge,3,3A,440,16,3,97,556
Cambridge,4,2,"1,179",39,8,277,"1,503"
Cambridge,4,2A,198,5,1,44,248
Cambridge,4,3,"1,384",47,14,282,"1,727"
Cambridge,6,2,849,18,2,204,"1,073"
Cambridge,6,3,"1,500",40,9,388,"1,937"
Cambridge,7,1,"1,362",31,7,289,"1,689"
Cambridge,7,2,971,16,7,243,"1,237"
Cambridge,7,2A,27,1,0,12,40
Cambridge,7,3,408,4,15,104,531
Cambridge,8,1,"1,245",22,5,239,"1,511"
Cambridge,8,2,"1,261",31,9,264,"1,565"
Cambridge,8,3,453,5,6,83,547
Cambridge,10,1A,679,22,7,170,878
Cambridge,10,2,"1,768",53,6,345,"2,172"
TOTALS,,,"13,724",350,99,"3,041","17,214"
