City/Town,Ward,Pct,"Ronald Mariano","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Holbrook,-,3,"1,048",26,439,"1,513"
Holbrook,-,4,"1,036",29,396,"1,461"
Quincy,2,1,873,28,217,"1,118"
Quincy,2,2,938,41,220,"1,199"
Quincy,2,3,666,18,184,868
Quincy,2,4,936,19,263,"1,218"
Quincy,2,5,"1,010",19,301,"1,330"
Quincy,4,5,949,28,215,"1,192"
Quincy,5,1A,349,15,107,471
Weymouth,-,5,"1,293",28,376,"1,697"
Weymouth,-,6,"1,505",34,496,"2,035"
Weymouth,-,9,882,34,317,"1,233"
Weymouth,-,12,"1,409",31,562,"2,002"
Weymouth,-,16,"1,665",36,566,"2,267"
TOTALS,,,"14,559",386,"4,659","19,604"
