City/Town,Ward,Pct,"Michael Seamus Day","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Stoneham,-,1,"1,218",0,607,"1,825"
Stoneham,-,2,"1,356",2,588,"1,946"
Stoneham,-,3,"1,336",3,772,"2,111"
Stoneham,-,4,"1,151",0,679,"1,830"
Stoneham,-,5,"1,319",1,737,"2,057"
Stoneham,-,6,"1,417",2,740,"2,159"
Stoneham,-,7,"1,130",5,622,"1,757"
Winchester,-,1,"1,198",18,506,"1,722"
Winchester,-,2,974,21,417,"1,412"
Winchester,-,3,"1,326",15,502,"1,843"
Winchester,-,4,"1,134",19,620,"1,773"
Winchester,-,5,"1,090",25,625,"1,740"
Winchester,-,7,"1,160",24,578,"1,762"
Winchester,-,8,944,22,420,"1,386"
TOTALS,,,"16,753",157,"8,413","25,323"
