City/Town,Ward,Pct,"Thomas W. Moakley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,288,0,63,351
Chilmark,-,1,816,2,127,945
Edgartown,-,1,"2,215",17,704,"2,936"
Falmouth,-,1,"2,087",14,476,"2,577"
Falmouth,-,2,"1,789",31,548,"2,368"
Falmouth,-,6,"1,953",34,643,"2,630"
Gosnold,-,1,49,0,21,70
Nantucket,-,1,"5,437",107,"1,630","7,174"
"Oak Bluffs",-,1,"2,463",22,645,"3,130"
Tisbury,-,1,"2,170",2,528,"2,700"
"W. Tisbury",-,1,"1,808",11,386,"2,205"
TOTALS,,,"21,075",240,"5,771","27,086"
