City/Town,Ward,Pct,"Brian M. Ashe","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"E. Longmeadow",-,2,"1,383",48,460,"1,891"
"E. Longmeadow",-,3,"1,418",39,460,"1,917"
"E. Longmeadow",-,4,"1,200",40,514,"1,754"
"E. Longmeadow",-,5,"1,316",46,566,"1,928"
Hampden,-,1,"2,336",5,952,"3,293"
Longmeadow,-,A,"1,531",41,456,"2,028"
Longmeadow,-,B,"1,433",44,375,"1,852"
Longmeadow,-,C,"1,526",29,510,"2,065"
Longmeadow,-,D,"1,517",36,455,"2,008"
Longmeadow,-,E,"1,410",28,451,"1,889"
Monson,-,B,"1,066",5,580,"1,651"
Monson,-,C,"1,159",4,570,"1,733"
Springfield,6,C,622,22,214,858
Springfield,6,D,924,32,279,"1,235"
TOTALS,,,"18,841",419,"6,842","26,102"
