City/Town,Ward,Pct,"Ryan M. Hamilton","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Haverhill,2,1,"1,039",3,451,"1,493"
Haverhill,2,2,"1,098",13,457,"1,568"
Haverhill,5,1,676,3,258,937
Haverhill,5,1A,472,6,206,684
Haverhill,5,2,"1,326",11,629,"1,966"
Haverhill,5,3,"1,193",8,658,"1,859"
Haverhill,7,1,"1,125",8,507,"1,640"
Haverhill,7,2,837,10,363,"1,210"
Haverhill,7,2A,282,1,96,379
Haverhill,7,3A,18,0,8,26
Methuen,-,5,"1,147",68,463,"1,678"
Methuen,-,6,975,43,405,"1,423"
Methuen,-,8,"1,265",48,562,"1,875"
Methuen,-,9,"1,214",51,664,"1,929"
Methuen,-,10,"1,214",66,529,"1,809"
Methuen,-,11,"1,445",63,674,"2,182"
Methuen,-,12,"1,245",47,551,"1,843"
TOTALS,,,"16,571",449,"7,481","24,501"
