City/Town,Ward,Pct,"Angelo J. Puppolo, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"E. Longmeadow",-,1,"1,460",43,381,"1,884"
"E. Longmeadow",-,2A,11,0,3,14
"E. Longmeadow",-,3A,77,8,20,105
"E. Longmeadow",-,4A,281,3,109,393
Monson,-,A,"1,109",8,602,"1,719"
Springfield,5,D,963,30,238,"1,231"
Springfield,5,G,977,27,263,"1,267"
Springfield,7,B,"1,075",22,239,"1,336"
Springfield,7,C,"1,055",34,261,"1,350"
Springfield,7,D,913,20,239,"1,172"
Springfield,7,E,635,14,156,805
Springfield,7,F,"1,095",21,275,"1,391"
Springfield,7,G,"1,122",28,273,"1,423"
Springfield,7,H1,80,5,30,115
Springfield,8,B1,41,1,18,60
Springfield,8,G,673,22,181,876
Wilbraham,-,A,"1,770",28,548,"2,346"
Wilbraham,-,B,"1,692",26,502,"2,220"
Wilbraham,-,C,"1,688",43,586,"2,317"
Wilbraham,-,D,"1,854",35,533,"2,422"
TOTALS,,,"18,571",418,"5,457","24,446"
