City/Town,Ward,Pct,"Brandy Fluker Oakley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,16,11,446,14,188,648
Boston,17,4,"1,070",19,256,"1,345"
Boston,17,8,556,13,123,692
Boston,17,9,518,4,106,628
Boston,17,10,738,12,159,909
Boston,17,11,301,5,58,364
Boston,17,12,552,9,97,658
Boston,17,13,696,15,210,921
Boston,17,14,753,21,176,950
Boston,18,1,"1,129",20,209,"1,358"
Boston,18,2,692,7,122,821
Boston,18,3,857,13,132,"1,002"
Boston,18,4,867,18,164,"1,049"
Boston,18,5,930,6,162,"1,098"
Boston,18,6,"1,151",19,215,"1,385"
Boston,18,21,992,24,204,"1,220"
Milton,-,1,"1,320",15,313,"1,648"
Milton,-,2,"1,282",13,519,"1,814"
Milton,-,4A,489,7,164,660
TOTALS,,,"15,339",254,"3,577","19,170"
