City/Town,Ward,Pct,"Bruce J. Ayers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Quincy,3,3,930,23,233,"1,186"
Quincy,3,4,"1,331",29,346,"1,706"
Quincy,3,5,915,14,233,"1,162"
Quincy,4,1,"1,113",23,275,"1,411"
Quincy,4,3,"1,431",32,423,"1,886"
Quincy,6,1,"1,063",18,269,"1,350"
Quincy,6,2,"1,011",26,210,"1,247"
Quincy,6,3,"1,233",18,372,"1,623"
Quincy,6,4,882,14,259,"1,155"
Quincy,6,5,"1,767",25,383,"2,175"
Randolph,-,7,925,18,283,"1,226"
Randolph,-,8,948,29,256,"1,233"
Randolph,-,11,990,24,316,"1,330"
Randolph,-,12,978,28,264,"1,270"
TOTALS,,,"15,517",321,"4,122","19,960"
