City/Town,Ward,Pct,"Michelle Ciccolo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lexington,-,1,"1,480",19,447,"1,946"
Lexington,-,2,"1,756",27,475,"2,258"
Lexington,-,3,"1,372",8,366,"1,746"
Lexington,-,4,"1,632",7,453,"2,092"
Lexington,-,5,"1,576",17,486,"2,079"
Lexington,-,7,"1,580",18,476,"2,074"
Lexington,-,8,"1,576",13,430,"2,019"
Lexington,-,9,"1,745",18,437,"2,200"
Winchester,-,6,"1,079",22,657,"1,758"
Woburn,1,1,824,3,512,"1,339"
Woburn,1,2,896,8,504,"1,408"
Woburn,7,1,"1,013",10,804,"1,827"
Woburn,7,2,"1,153",7,870,"2,030"
TOTALS,,,"17,682",177,"6,917","24,776"
