City/Town,Ward,Pct,"Alan Silvia","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,B,785,26,316,"1,127"
"Fall River",1,C,869,36,334,"1,239"
"Fall River",2,A,635,30,224,889
"Fall River",2,B,589,17,210,816
"Fall River",2,C,695,17,269,981
"Fall River",3,A,865,12,272,"1,149"
"Fall River",3,B,804,25,263,"1,092"
"Fall River",3,C,"1,021",32,338,"1,391"
"Fall River",4,A,599,19,181,799
"Fall River",4,B,544,13,155,712
"Fall River",4,C,638,17,217,872
"Fall River",5,A,512,21,133,666
TOTALS,,,"8,556",265,"2,912","11,733"
