City/Town,Ward,Pct,"Meghan Kilcoyne","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Berlin,-,1,"1,744",16,669,"2,429"
Boylston,-,1,"2,451",52,884,"3,387"
Clinton,-,1,"1,626",67,415,"2,108"
Clinton,-,2,"1,262",45,297,"1,604"
Clinton,-,3,"1,546",53,408,"2,007"
Clinton,-,4,"1,354",58,435,"1,847"
Lancaster,-,1,"1,310",23,564,"1,897"
Lancaster,-,2,"1,660",20,698,"2,378"
Northborough,-,4,"1,739",49,564,"2,352"
Sterling,-,1,"1,950",24,764,"2,738"
Sterling,-,2,"2,042",38,770,"2,850"
TOTALS,,,"18,684",445,"6,468","25,597"
