City/Town,Ward,Pct,"Vanna Howard","Joseph Paul Onoroski","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Pirate
Lowell,3,1,641,164,13,177,995
Lowell,3,2,"1,431",422,17,382,"2,252"
Lowell,3,3,"1,166",320,18,276,"1,780"
Lowell,3,4,738,244,23,203,"1,208"
Lowell,4,1,492,119,11,117,739
Lowell,4,2,973,202,13,202,"1,390"
Lowell,4,3A,187,24,3,21,235
Lowell,5,1,695,195,19,174,"1,083"
Lowell,5,2,643,174,15,166,998
Lowell,5,3,452,144,10,118,724
Lowell,5,4,779,265,19,203,"1,266"
Lowell,6,3,327,83,7,105,522
Lowell,6,4A,183,41,2,54,280
Lowell,8,4A,36,6,0,4,46
Tewksbury,-,1,"1,112",399,32,501,"2,044"
TOTALS,,,"9,855","2,802",202,"2,703","15,562"
