City/Town,Ward,Pct,"Kathleen R. Lanatra","Eric J. Meschino","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Halifax,-,1,"1,056","1,347",0,128,"2,531"
Halifax,-,2A,30,56,0,7,93
Kingston,-,1,"1,164",908,2,89,"2,163"
Kingston,-,2,"1,227",990,2,94,"2,313"
Kingston,-,3,"1,183","1,002",1,74,"2,260"
Kingston,-,4,"1,123",814,3,84,"2,024"
Middleborough,-,1,"1,222","1,231",0,205,"2,658"
Middleborough,-,5A,149,216,0,49,414
Pembroke,-,3,"1,068","1,101",1,150,"2,320"
Plymouth,-,1,896,652,2,85,"1,635"
Plymouth,-,2,"1,032",797,0,117,"1,946"
Plymouth,-,3,"1,118",765,0,126,"2,009"
Plymouth,-,5,"1,029",886,0,111,"2,026"
Plymouth,-,13,"1,216","1,025",0,142,"2,383"
Plympton,-,1,949,964,0,87,"2,000"
TOTALS,,,"14,462","12,754",11,"1,548","28,775"
