City/Town,Ward,Pct,"Christopher M. Markey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Dartmouth,-,1,"1,656",17,762,"2,435"
Dartmouth,-,2,"1,197",7,464,"1,668"
Dartmouth,-,3,248,4,62,314
Dartmouth,-,4,"1,545",14,603,"2,162"
Dartmouth,-,5,"1,576",14,575,"2,165"
Dartmouth,-,6,"1,463",11,525,"1,999"
Dartmouth,-,7,"1,694",8,660,"2,362"
Dartmouth,-,8,"1,992",8,650,"2,650"
Dartmouth,-,9,"2,024",8,762,"2,794"
"New Bedford",1,D,"1,158",26,409,"1,593"
"New Bedford",1,E,"1,049",21,313,"1,383"
"New Bedford",1,F,"1,025",45,357,"1,427"
TOTALS,,,"16,627",183,"6,142","22,952"
