City/Town,Ward,Pct,"Jay D. Livingstone","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,3,5,"1,024",16,250,"1,290"
Boston,3,9,663,8,179,850
Boston,3,17,743,11,164,918
Boston,4,6,656,12,269,937
Boston,4,7,629,9,150,788
Boston,4,8,641,14,170,825
Boston,4,11,49,0,9,58
Boston,4,12,209,2,54,265
Boston,5,2,726,5,171,902
Boston,5,3,"1,233",12,279,"1,524"
Boston,5,4,726,7,112,845
Boston,5,5,812,16,209,"1,037"
Boston,5,6,914,23,281,"1,218"
Boston,5,7,"1,215",15,322,"1,552"
Boston,5,8,"1,054",15,266,"1,335"
Boston,5,9,"1,005",30,267,"1,302"
Boston,5,11,506,3,92,601
Boston,5,15,640,13,168,821
TOTALS,,,"13,445",211,"3,412","17,068"
