City/Town,Ward,Pct,"Ann-Margaret Ferrante","Steven G. Leblanc, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Essex,-,1,"1,448",716,15,259,"2,438"
Gloucester,1,1,"1,397",584,6,171,"2,158"
Gloucester,1,2,"1,004",625,5,100,"1,734"
Gloucester,2,1,862,506,6,88,"1,462"
Gloucester,2,2,760,402,2,73,"1,237"
Gloucester,3,1,779,486,3,100,"1,368"
Gloucester,3,2,810,670,3,95,"1,578"
Gloucester,4,1,"1,037",695,2,106,"1,840"
Gloucester,4,2,"1,497",558,2,141,"2,198"
Gloucester,5,1,"1,253",697,3,170,"2,123"
Gloucester,5,2,"1,245",757,8,190,"2,200"
Manchester-by-the-Sea,-,1,"2,254",902,3,523,"3,682"
Rockport,-,1,869,339,2,86,"1,296"
Rockport,-,2,"1,191",473,7,117,"1,788"
Rockport,-,3,"1,471",516,2,159,"2,148"
TOTALS,,,"17,877","8,926",69,"2,378","29,250"
