City/Town,Ward,Pct,"Sean Garballey","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,1,803,17,168,988
Arlington,-,3,"1,121",4,187,"1,312"
Arlington,-,5,"1,176",10,218,"1,404"
Arlington,-,7,"1,082",2,212,"1,296"
Arlington,-,9,912,7,200,"1,119"
Arlington,-,11,"1,213",17,259,"1,489"
Arlington,-,13,"1,091",11,329,"1,431"
Arlington,-,14,"1,027",8,198,"1,233"
Arlington,-,15,"1,034",9,234,"1,277"
Arlington,-,16,"1,098",0,256,"1,354"
Arlington,-,17,964,8,233,"1,205"
Arlington,-,18,"1,105",9,257,"1,371"
Arlington,-,19,"1,159",2,195,"1,356"
Arlington,-,20,"1,078",4,215,"1,297"
Arlington,-,21,"1,148",6,201,"1,355"
Medford,3,2,"1,737",41,647,"2,425"
Medford,6,1,"1,747",22,412,"2,181"
Medford,6,2,"1,499",26,465,"1,990"
TOTALS,,,"20,994",203,"4,886","26,083"
