City/Town,Ward,Pct,"Elizabeth A. Warren","Geoff Diehl","Shiva Ayyadurai","All Others",Blanks,"Total Votes Cast"
Chelsea,1,2,176,30,4,0,4,214
Chelsea,1,3,257,30,8,0,8,303
Chelsea,1,4,264,16,6,0,5,291
Chelsea,2,1,679,233,27,0,14,953
Chelsea,2,2,433,66,11,0,18,528
Chelsea,2,3,177,21,6,0,1,205
Chelsea,2,4,282,36,7,0,15,340
Chelsea,3,1,267,41,8,0,10,326
Chelsea,3,2,405,59,12,0,9,485
Chelsea,3,3,302,57,15,0,13,387
Chelsea,3,4,325,75,14,0,12,426
Chelsea,4,1,347,75,12,0,5,439
Chelsea,4,2,345,154,18,0,26,543
Chelsea,4,3,373,141,10,0,12,536
Chelsea,4,4,260,97,11,0,9,377
Cheshire,-,1,879,566,44,2,21,"1,512"
Chester,-,1,232,315,21,0,7,575
Chesterfield,-,1,393,228,26,0,10,657
Chicopee,1,A,554,479,43,1,18,"1,095"
Chicopee,1,B,754,576,51,1,24,"1,406"
Chicopee,2,A,458,187,60,1,11,717
Chicopee,2,B,599,488,67,1,16,"1,171"
Chicopee,3,A,495,358,40,2,22,917
Chicopee,3,B,436,267,38,1,12,754
Chicopee,4,A,519,349,49,1,21,939
Chicopee,4,B,537,310,41,2,28,918
Chicopee,5,A,580,381,49,3,12,"1,025"
Chicopee,5,B,559,369,44,1,15,988
Chicopee,6,AN,169,118,7,0,7,301
Chicopee,6,AS,338,300,23,1,7,669
Chicopee,6,BE,473,611,43,4,31,"1,162"
Chicopee,6,BW,116,116,7,0,4,243
Chicopee,7,A,413,251,36,0,18,718
Chicopee,7,B,498,268,37,1,16,820
Chicopee,8,A,584,470,60,2,22,"1,138"
Chicopee,8,B,519,411,39,2,15,986
Chicopee,9,A,557,441,41,1,16,"1,056"
Chicopee,9,B,720,621,58,5,18,"1,422"
Chilmark,-,1,587,107,27,1,11,733
Clarksburg,-,1,445,240,16,0,14,715
Clinton,-,1,824,620,70,0,17,"1,531"
Clinton,-,2,739,536,63,3,22,"1,363"
Clinton,-,3,701,610,64,0,18,"1,393"
Clinton,-,4,649,580,64,1,20,"1,314"
Cohasset,-,1,"1,097",904,64,6,46,"2,117"
Cohasset,-,2,"1,247","1,011",58,4,29,"2,349"
Colrain,-,1,484,218,41,0,9,752
Concord,-,1,"1,412",456,58,0,34,"1,960"
Concord,-,2,"1,809",497,79,2,31,"2,418"
Concord,-,3,"1,573",504,37,0,30,"2,144"
Concord,-,4,"1,619",500,85,1,36,"2,241"
Concord,-,5,"1,014",346,40,1,27,"1,428"
Conway,-,1,828,244,30,0,14,"1,116"
Cummington,-,1,346,113,22,0,4,485
Dalton,-,1,958,444,36,0,39,"1,477"
Dalton,-,2,987,411,34,1,26,"1,459"
Danvers,-,1,874,665,60,2,31,"1,632"
Danvers,-,2,808,726,69,3,22,"1,628"
Danvers,-,3,624,637,65,3,27,"1,356"
Danvers,-,4,831,700,60,0,41,"1,632"
Danvers,-,5,761,809,54,1,27,"1,652"
Danvers,-,6,784,851,58,3,42,"1,738"
Danvers,-,7,822,711,83,2,19,"1,637"
Danvers,-,8,685,662,61,1,20,"1,429"
Dartmouth,-,1,660,871,54,2,25,"1,612"
Dartmouth,-,2,503,480,27,0,13,"1,023"
Dartmouth,-,3,140,17,10,0,1,168
Dartmouth,-,4,821,595,46,2,22,"1,486"
Dartmouth,-,5,895,711,55,1,30,"1,692"
Dartmouth,-,6,634,504,46,0,21,"1,205"
Dartmouth,-,7,806,733,41,1,29,"1,610"
Dartmouth,-,8,"1,176",773,55,1,37,"2,042"
Dartmouth,-,9,"1,140",899,60,0,29,"2,128"
Dedham,-,1,"1,173",537,43,1,31,"1,785"
Dedham,-,2,"1,020",689,60,3,36,"1,808"
Dedham,-,3,935,514,46,1,22,"1,518"
Dedham,-,4,"1,015",637,51,1,40,"1,744"
Dedham,-,5,983,772,67,4,30,"1,856"
Dedham,-,6,"1,109",694,63,2,26,"1,894"
Dedham,-,7,922,822,48,2,40,"1,834"
Deerfield,-,1,"1,812",722,88,1,30,"2,653"
Dennis,-,1,886,894,43,1,29,"1,853"
Dennis,-,2,951,834,35,0,35,"1,855"
Dennis,-,3,774,593,48,1,15,"1,431"
Dennis,-,4,854,754,49,0,18,"1,675"
Dennis,-,5,829,672,40,0,20,"1,561"
Dighton,-,1,606,857,43,1,20,"1,527"
Dighton,-,2,726,952,54,1,10,"1,743"
Douglas,-,1,471,827,77,0,21,"1,396"
Douglas,-,2,533,769,52,0,19,"1,373"
Douglas,-,3,444,690,51,0,17,"1,202"
Dover,-,1,"1,668","1,307",113,9,36,"3,133"
Dracut,-,1,571,618,54,0,21,"1,264"
Dracut,-,2,482,588,57,0,23,"1,150"
Dracut,-,3,584,775,73,0,35,"1,467"
Dracut,-,4,664,953,111,0,34,"1,762"
Dracut,-,5,567,772,82,0,29,"1,450"
Dracut,-,6,598,657,71,0,20,"1,346"
Dracut,-,6A,21,35,5,0,1,62
Dracut,-,7,578,636,57,0,25,"1,296"
Dracut,-,8,707,"1,136",101,0,43,"1,987"
Dracut,-,9,637,758,66,0,31,"1,492"
Dudley,-,1,679,925,74,0,21,"1,699"
Dudley,-,2,492,766,80,0,24,"1,362"
Dudley,-,3,460,718,52,0,23,"1,253"
Dunstable,-,1,850,809,51,0,27,"1,737"
Duxbury,-,1,752,763,56,2,24,"1,597"
Duxbury,-,2,671,753,47,1,20,"1,492"
Duxbury,-,3,676,650,36,0,18,"1,380"
Duxbury,-,4,676,649,38,0,17,"1,380"
Duxbury,-,5,669,691,44,2,25,"1,431"
Duxbury,-,6,592,630,31,2,8,"1,263"
"E. Bridgewater",-,1,597,935,45,0,27,"1,604"
"E. Bridgewater",-,2,597,946,34,0,10,"1,587"
"E. Bridgewater",-,3,657,"1,084",43,0,19,"1,803"
"E. Bridgewater",-,4,580,867,54,0,16,"1,517"
"E. Brookfield",-,1,381,591,47,0,14,"1,033"
"E. Longmeadow",-,1,907,888,63,0,31,"1,889"
"E. Longmeadow",-,2,837,823,72,1,31,"1,764"
"E. Longmeadow",-,3,894,903,73,0,40,"1,910"
"E. Longmeadow",-,4,822,"1,105",59,1,27,"2,014"
Eastham,-,1,"2,057","1,146",73,5,26,"3,307"
Easthampton,-,1,"1,067",411,72,0,24,"1,574"
Easthampton,-,2,"1,341",323,64,0,23,"1,751"
Easthampton,-,3,"1,133",355,72,1,26,"1,587"
Easthampton,-,4,"1,402",400,66,2,21,"1,891"
Easthampton,-,5,"1,019",688,69,0,28,"1,804"
Easton,-,1,495,465,32,0,17,"1,009"
Easton,-,2,"1,024",893,55,5,44,"2,021"
Easton,-,3,847,712,54,1,16,"1,630"
Easton,-,4,982,886,62,1,28,"1,959"
Easton,-,5,"1,150",904,65,1,28,"2,148"
Easton,-,6,886,897,64,2,33,"1,882"
Edgartown,-,1,"1,546",723,96,0,49,"2,414"
Egremont,-,1,641,125,18,0,9,793
Erving,-,1,384,225,35,0,7,651
Essex,-,1,"1,125",795,85,0,37,"2,042"
Everett,1,1,521,202,32,2,19,776
Everett,1,2,394,201,16,0,24,635
Everett,2,1,594,213,20,1,16,844
Everett,2,2,499,185,25,1,18,728
Everett,3,1,664,279,25,2,36,"1,006"
Everett,3,2,602,245,23,0,21,891
Everett,4,1,650,317,32,2,26,"1,027"
Everett,4,2,606,184,23,2,19,834
Everett,5,1,575,249,30,2,13,869
Everett,5,2,612,202,29,2,22,867
Everett,6,1,639,262,32,2,17,952
Everett,6,2,644,237,27,1,25,934
Fairhaven,-,1,711,522,43,2,12,"1,290"
Fairhaven,-,2,624,498,34,1,23,"1,180"
Fairhaven,-,3,444,442,30,0,13,929
Fairhaven,-,4,597,504,39,2,23,"1,165"
Fairhaven,-,5,602,655,46,0,16,"1,319"
Fairhaven,-,6,593,576,47,1,17,"1,234"
"Fall River",1,A,557,445,50,0,33,"1,085"
"Fall River",1,B,390,276,30,1,32,729
"Fall River",1,C,388,320,24,0,30,762
"Fall River",2,A,340,151,13,0,22,526
"Fall River",2,B,293,152,27,2,16,490
"Fall River",2,C,338,211,22,0,33,604
"Fall River",3,A,477,276,30,0,35,818
"Fall River",3,B,407,253,24,0,34,718
"Fall River",3,C,460,293,25,1,22,801
"Fall River",4,A,333,174,18,0,17,542
"Fall River",4,B,305,121,13,0,15,454
"Fall River",4,C,386,108,12,0,38,544
"Fall River",5,A,229,96,10,0,16,351
"Fall River",5,B,199,74,13,0,11,297
"Fall River",5,B1,41,24,0,3,0,68
"Fall River",5,C,293,135,21,0,26,475
"Fall River",6,A,463,382,29,0,49,923
"Fall River",6,B,393,180,26,1,17,617
"Fall River",6,C,441,259,23,0,24,747
"Fall River",6,C1,8,4,0,0,0,12
"Fall River",7,A,483,301,32,0,35,851
"Fall River",7,B,355,179,23,1,16,574
"Fall River",7,C,434,247,22,0,31,734
"Fall River",8,A,425,224,26,0,26,701
"Fall River",8,B,617,451,44,1,35,"1,148"
"Fall River",8,C,694,471,41,0,53,"1,259"
"Fall River",9,A,789,618,43,0,64,"1,514"
"Fall River",9,B,547,385,20,0,42,994
"Fall River",9,C,577,352,23,1,57,"1,010"
Falmouth,-,1,"1,597",537,61,1,32,"2,228"
Falmouth,-,2,"1,158",659,70,0,26,"1,913"
Falmouth,-,3,945,791,62,1,24,"1,823"
Falmouth,-,4,"1,013",842,62,0,16,"1,933"
Falmouth,-,5,"1,192",940,80,4,28,"2,244"
Falmouth,-,6,"1,161",786,63,2,25,"2,037"
Falmouth,-,7,907,874,49,2,15,"1,847"
Falmouth,-,8,968,838,68,1,26,"1,901"
Falmouth,-,9,892,754,60,2,12,"1,720"
Fitchburg,1,A,440,270,35,0,10,755
Fitchburg,1,B,561,378,32,1,14,986
Fitchburg,2,A,447,192,21,1,13,674
Fitchburg,2,B,562,487,60,0,20,"1,129"
Fitchburg,3,A,749,758,47,0,24,"1,578"
Fitchburg,3,B,620,483,48,0,18,"1,169"
Fitchburg,4,A,273,199,24,0,12,508
Fitchburg,4,B,469,235,28,0,12,744
Fitchburg,5,A,690,703,50,1,27,"1,471"
Fitchburg,5,B,397,155,23,0,7,582
Fitchburg,6,A,631,568,60,0,24,"1,283"
Fitchburg,6,B,494,266,33,0,9,802
Florida,-,1,157,146,15,0,7,325
Foxborough,-,1,796,680,52,1,21,"1,550"
Foxborough,-,2,911,813,47,0,45,"1,816"
Foxborough,-,3,865,864,60,1,25,"1,815"
Foxborough,-,4,836,818,75,2,24,"1,755"
Foxborough,-,5,784,804,55,0,22,"1,665"
Framingham,-,1,"1,253",645,45,5,15,"1,963"
Framingham,-,2,"1,527",699,68,2,38,"2,334"
Framingham,-,3,"1,133",448,46,2,20,"1,649"
Framingham,-,4,"1,333",595,50,2,35,"2,015"
Framingham,-,5,"1,171",581,67,1,27,"1,847"
Framingham,-,6,"1,189",585,64,4,30,"1,872"
Framingham,-,7,"1,124",482,49,3,27,"1,685"
Framingham,-,8,"1,168",433,38,2,21,"1,662"
Framingham,-,9,820,306,36,4,17,"1,183"
Framingham,-,10,641,190,18,0,12,861
Framingham,-,11,"1,311",629,70,1,26,"2,037"
Framingham,-,12,648,245,21,1,5,920
Framingham,-,13,819,286,35,1,10,"1,151"
Framingham,-,14,541,153,15,2,8,719
Framingham,-,15,660,190,19,1,10,880
Framingham,-,16,311,93,10,1,5,420
Framingham,-,17,375,40,8,2,1,426
Framingham,-,18,544,182,30,0,10,766
Franklin,-,1,911,798,43,2,26,"1,780"
Franklin,-,2,917,812,69,3,32,"1,833"
Franklin,-,3,940,785,56,0,29,"1,810"
Franklin,-,4,967,"1,015",67,2,28,"2,079"
Franklin,-,5,"1,072",879,61,6,26,"2,044"
Franklin,-,6,893,670,63,2,28,"1,656"
Franklin,-,7,"1,024",882,45,5,41,"1,997"
Franklin,-,8,943,937,54,3,31,"1,968"
Freetown,-,1,523,690,46,0,15,"1,274"
Freetown,-,2,567,729,43,0,24,"1,363"
Freetown,-,3,520,746,32,0,18,"1,316"
Gardner,1,A,450,386,49,1,16,902
Gardner,1,B,138,184,20,0,10,352
Gardner,2,A,373,325,48,0,12,758
Gardner,2,B,384,417,76,0,17,894
Gardner,3,A,327,253,26,0,9,615
Gardner,3,B,422,342,41,2,20,827
Gardner,4,A,393,265,41,0,14,713
Gardner,4,B,231,161,25,0,12,429
Gardner,5,A,309,242,30,0,13,594
Gardner,5,B,402,423,50,0,17,892
Georgetown,-,1,681,789,58,0,20,"1,548"
Georgetown,-,2,632,647,77,1,15,"1,372"
Georgetown,-,3,596,616,60,0,19,"1,291"
Gill,-,1,545,219,19,0,14,797
Gloucester,1,1,"1,036",553,46,0,24,"1,659"
Gloucester,1,2,781,464,40,3,19,"1,307"
Gloucester,2,1,588,299,46,2,24,959
Gloucester,2,2,659,264,42,0,24,989
Gloucester,3,1,678,378,55,2,23,"1,136"
Gloucester,3,2,734,448,37,2,23,"1,244"
Gloucester,4,1,799,531,59,4,36,"1,429"
Gloucester,4,2,"1,216",500,49,1,41,"1,807"
Gloucester,5,1,997,656,42,1,25,"1,721"
Gloucester,5,2,917,643,57,2,32,"1,651"
Goshen,-,1,342,181,24,0,2,549
Gosnold,-,1,33,21,2,0,1,57
Grafton,-,1,853,716,71,1,24,"1,665"
Grafton,-,2,926,728,65,2,23,"1,744"
Grafton,-,3,936,724,63,0,21,"1,744"
Grafton,-,4,739,595,77,1,20,"1,432"
Grafton,-,5,"1,010",774,76,3,28,"1,891"
Granby,-,1,859,692,78,0,29,"1,658"
Granby,-,2,636,708,70,0,17,"1,431"
Granville,-,1,296,450,30,0,10,786
"Great Barrington",-,A,691,134,30,2,10,867
"Great Barrington",-,B,681,157,23,1,7,869
"Great Barrington",-,C,536,69,12,0,8,625
"Great Barrington",-,D,696,155,12,1,12,876
Greenfield,-,1,523,252,25,1,8,809
Greenfield,-,2,711,299,32,0,16,"1,058"
Greenfield,-,3,617,200,37,0,20,874
Greenfield,-,4,698,220,25,0,11,954
Greenfield,-,5,697,155,26,0,14,892
Greenfield,-,6,694,134,42,0,12,882
Greenfield,-,7,443,203,20,0,5,671
Greenfield,-,8,495,123,35,0,10,663
Greenfield,-,9,400,189,17,0,7,613
Groton,-,1,"1,216",706,66,8,22,"2,018"
Groton,-,2,"1,044",749,89,1,26,"1,909"
Groton,-,3,"1,105",723,60,2,20,"1,910"
Groveland,-,1,780,863,63,0,17,"1,723"
Groveland,-,2,761,897,83,1,27,"1,769"
Hadley,-,1,"1,891",753,96,4,37,"2,781"
Halifax,-,1,706,"1,138",49,1,26,"1,920"
Halifax,-,2,726,967,66,2,14,"1,775"
Hamilton,-,1,842,624,48,0,23,"1,537"
Hamilton,-,2,784,621,42,3,26,"1,476"
Hamilton,-,3,614,428,40,3,21,"1,106"
Hampden,-,1,"1,052","1,353",84,0,39,"2,528"
Hancock,-,1,194,151,7,0,6,358
Hanover,-,1,715,"1,123",51,0,20,"1,909"
Hanover,-,2,757,"1,095",57,2,23,"1,934"
Hanover,-,3,762,"1,039",46,3,23,"1,873"
Hanover,-,4,711,"1,102",54,1,15,"1,883"
Hanson,-,1,632,"1,075",43,0,22,"1,772"
Hanson,-,2,678,"1,082",32,2,30,"1,824"
Hanson,-,3,600,948,49,0,11,"1,608"
Hardwick,-,1,509,556,60,0,16,"1,141"
Harvard,-,1,"2,242",997,100,1,32,"3,372"
Harwich,-,1,"1,040",868,58,1,16,"1,983"
Harwich,-,2,"1,052",845,45,1,11,"1,954"
Harwich,-,3,"1,012",866,43,1,11,"1,933"
Harwich,-,4,929,685,67,0,15,"1,696"
Hatfield,-,1,"1,168",566,57,1,37,"1,829"
Haverhill,1,1,424,181,25,0,11,641
Haverhill,1,2,673,296,33,1,17,"1,020"
Haverhill,1,3,474,318,53,0,9,854
Haverhill,2,1,543,357,51,0,12,963
Haverhill,2,2,501,491,55,0,21,"1,068"
Haverhill,2,3,417,177,44,1,10,649
Haverhill,3,1,402,87,22,0,6,517
Haverhill,3,2,487,222,32,0,16,757
Haverhill,3,3,527,280,38,1,5,851
Haverhill,4,1,612,608,47,1,16,"1,284"
Haverhill,4,2,706,760,56,3,22,"1,547"
Haverhill,4,3,639,618,52,4,21,"1,334"
Haverhill,5,1,709,473,45,4,19,"1,250"
Haverhill,5,2,655,682,52,1,15,"1,405"
Haverhill,5,3,682,826,62,0,30,"1,600"
Haverhill,6,1,550,470,45,0,17,"1,082"
Haverhill,6,2,590,498,46,2,20,"1,156"
Haverhill,6,3,702,583,38,2,26,"1,351"
Haverhill,7,1,686,568,57,1,31,"1,343"
Haverhill,7,2,595,487,44,2,12,"1,140"
Haverhill,7,3,667,750,54,2,31,"1,504"
Hawley,-,1,112,49,6,0,5,172
Heath,-,1,224,129,9,0,9,371
Hingham,-,1,"1,024",794,72,0,17,"1,907"
Hingham,-,2,"1,171",875,62,0,39,"2,147"
Hingham,-,3,"1,142",857,56,0,35,"2,090"
Hingham,-,4,"1,045",861,63,0,38,"2,007"
Hingham,-,5,659,729,41,0,28,"1,457"
Hingham,-,5A,667,317,13,0,10,"1,007"
Hingham,-,6,992,891,59,0,40,"1,982"
Hinsdale,-,1,567,296,34,0,25,922
Holbrook,-,1,610,450,22,1,16,"1,099"
Holbrook,-,2,556,587,44,2,16,"1,205"
Holbrook,-,3,558,524,26,0,21,"1,129"
Holbrook,-,4,575,469,30,0,8,"1,082"
Holden,-,1,884,887,69,3,25,"1,868"
Holden,-,2,959,897,60,1,45,"1,962"
Holden,-,3,907,763,67,3,30,"1,770"
Holden,-,4,"1,005",989,86,1,25,"2,106"
Holden,-,5,982,946,81,2,32,"2,043"
Holland,-,1,461,607,60,2,21,"1,151"
Holliston,-,1,"1,225",786,58,5,28,"2,102"
Holliston,-,2,"1,224",629,72,0,35,"1,960"
Holliston,-,3,"1,141",571,56,1,24,"1,793"
Holliston,-,4,"1,019",630,67,3,21,"1,740"
Holyoke,1,A,413,64,13,1,11,502
Holyoke,1,B,496,66,12,0,9,583
Holyoke,2,A,398,100,13,0,14,525
Holyoke,2,B,374,50,13,0,9,446
Holyoke,3,A,673,202,29,0,20,924
Holyoke,3,B,736,391,52,0,30,"1,209"
Holyoke,4,A,367,56,14,0,10,447
Holyoke,4,B,609,107,27,0,20,763
Holyoke,5,A,793,675,52,0,35,"1,555"
Holyoke,5,B,599,311,31,0,11,952
Holyoke,6,A,525,176,34,0,19,754
Holyoke,6,B,708,255,45,1,25,"1,034"
Holyoke,7,A,897,519,52,1,24,"1,493"
Holyoke,7,B,900,309,38,0,17,"1,264"
Hopedale,-,1,"1,428","1,305",89,5,58,"2,885"
Hopkinton,-,1,"1,316",793,71,2,36,"2,218"
Hopkinton,-,2,"1,069",791,60,4,28,"1,952"
Hopkinton,-,3,"1,057",797,54,2,30,"1,940"
Hopkinton,-,4,"1,094",734,46,4,23,"1,901"
Hubbardston,-,1,906,"1,228",114,2,41,"2,291"
Hudson,-,1,746,542,44,2,17,"1,351"
Hudson,-,2,623,364,44,1,15,"1,047"
Hudson,-,3,691,620,44,0,24,"1,379"
Hudson,-,4,792,605,44,1,23,"1,465"
Hudson,-,5,985,657,55,1,11,"1,709"
Hudson,-,6,579,340,46,0,10,975
Hudson,-,7,620,324,54,0,18,"1,016"
Hull,-,1,"1,093",687,51,0,27,"1,858"
Hull,-,2,854,651,59,0,31,"1,595"
Hull,-,3,"1,110",834,55,1,29,"2,029"
Huntington,-,1,439,453,45,0,15,952
Ipswich,-,1,"1,207",582,67,0,37,"1,893"
Ipswich,-,2,"1,165",805,81,0,40,"2,091"
Ipswich,-,3,909,843,65,0,51,"1,868"
Ipswich,-,4,"1,036",797,74,0,59,"1,966"
Kingston,-,1,699,750,58,1,22,"1,530"
Kingston,-,2,747,950,48,3,20,"1,768"
Kingston,-,3,710,939,61,1,33,"1,744"
Kingston,-,4,663,730,47,1,27,"1,468"
Lakeville,-,1,640,"1,000",51,1,35,"1,727"
Lakeville,-,2,629,"1,047",56,0,33,"1,765"
Lakeville,-,3,750,"1,131",48,2,23,"1,954"
Lancaster,-,1,750,753,81,2,22,"1,608"
Lancaster,-,2,831,853,58,0,34,"1,776"
Lanesborough,-,1,879,477,46,2,34,"1,438"
Lawrence,A,1,567,121,15,2,13,718
Lawrence,A,2,420,38,10,0,13,481
Lawrence,A,3,495,130,17,0,12,654
Lawrence,A,4,543,88,13,0,10,654
Lawrence,B,1,628,76,14,0,17,735
Lawrence,B,2,450,41,10,1,7,509
Lawrence,B,3,472,83,6,0,19,580
Lawrence,B,4,721,41,9,1,30,802
Lawrence,C,1,417,59,10,0,7,493
Lawrence,C,2,602,154,22,2,9,789
Lawrence,C,3,446,23,1,1,6,477
Lawrence,C,4,554,44,5,2,25,630
Lawrence,D,1,537,102,20,1,19,679
Lawrence,D,2,518,36,8,0,6,568
Lawrence,D,3,411,38,6,0,18,473
Lawrence,D,4,396,46,6,0,8,456
Lawrence,E,1,666,377,40,0,26,"1,109"
Lawrence,E,2,615,342,43,3,14,"1,017"
Lawrence,E,3,432,115,25,0,12,584
Lawrence,E,4,542,98,17,1,13,671
Lawrence,F,1,578,248,27,0,13,866
Lawrence,F,2,446,48,11,0,17,522
Lawrence,F,3,449,61,19,1,9,539
Lawrence,F,4,431,86,18,1,7,543
Lee,-,1,"1,753",705,76,1,48,"2,583"
Leicester,-,1,489,669,51,1,24,"1,234"
Leicester,-,2,535,566,42,3,20,"1,166"
Leicester,-,3,457,604,60,0,12,"1,133"
Leicester,-,4,490,585,57,0,32,"1,164"
Lenox,-,1,"2,069",538,65,4,61,"2,737"
Leominster,1,A,611,650,60,0,24,"1,345"
Leominster,1,B,614,566,39,1,21,"1,241"
Leominster,1,C,518,365,36,0,11,930
Leominster,2,A,385,220,34,0,7,646
Leominster,2,B,481,399,51,0,14,945
Leominster,2,C,274,214,24,0,7,519
Leominster,3,A,451,351,25,1,7,835
Leominster,3,B,594,588,60,0,27,"1,269"
Leominster,3,C,643,667,51,0,14,"1,375"
Leominster,4,A,611,665,46,2,28,"1,352"
Leominster,4,B,569,651,52,0,28,"1,300"
Leominster,4,C,415,386,32,2,15,850
Leominster,5,A,476,372,47,0,15,910
Leominster,5,B,593,551,39,1,43,"1,227"
Leominster,5,C,441,306,36,1,17,801
Leverett,-,1,990,125,20,0,13,"1,148"
Lexington,-,1,"1,172",362,45,3,19,"1,601"
Lexington,-,2,"1,585",334,62,1,27,"2,009"
Lexington,-,3,"1,193",245,38,1,20,"1,497"
Lexington,-,4,"1,453",389,38,3,35,"1,918"
Lexington,-,5,"1,353",453,61,0,27,"1,894"
Lexington,-,6,"1,315",379,62,2,28,"1,786"
Lexington,-,7,"1,321",426,77,0,21,"1,845"
Lexington,-,8,"1,286",393,56,0,28,"1,763"
Lexington,-,9,"1,300",398,59,1,23,"1,781"
Leyden,-,1,289,128,13,0,3,433
Lincoln,-,1,"1,744",370,61,2,27,"2,204"
Lincoln,-,2,999,288,43,2,20,"1,352"
Littleton,-,1,"1,101",705,68,0,24,"1,898"
Littleton,-,2,"1,005",650,64,0,32,"1,751"
Littleton,-,3,979,564,59,0,21,"1,623"
Longmeadow,-,A,995,603,66,3,22,"1,689"
Longmeadow,-,B,890,548,62,2,36,"1,538"
Longmeadow,-,C,913,716,78,1,27,"1,735"
Longmeadow,-,D,870,731,55,3,33,"1,692"
Longmeadow,-,E,873,576,38,3,27,"1,517"
Lowell,1,1,450,141,24,0,10,625
Lowell,1,2,881,796,84,0,66,"1,827"
Lowell,1,3,839,566,66,0,44,"1,515"
Lowell,2,1,370,53,12,0,20,455
Lowell,2,2,520,75,10,0,35,640
Lowell,2,3,"1,026",185,43,0,41,"1,295"
Lowell,3,1,466,214,28,0,24,732
Lowell,3,2,417,113,15,0,32,577
Lowell,3,3,398,135,31,0,19,583
Lowell,4,1,575,225,29,0,38,867
Lowell,4,2,365,99,17,0,42,523
Lowell,4,3,388,115,16,0,36,555
Lowell,5,1,494,266,34,0,20,814
Lowell,5,2,387,153,26,0,18,584
Lowell,5,3,454,328,45,0,17,844
Lowell,6,1,568,398,56,0,20,"1,042"
Lowell,6,2,651,449,44,0,20,"1,164"
Lowell,6,3,550,343,27,0,37,957
Lowell,7,1,420,108,27,0,15,570
Lowell,7,2,509,95,16,0,18,638
Lowell,7,3,295,79,15,0,12,401
Lowell,8,1,511,182,19,0,28,740
Lowell,8,2,461,251,21,0,26,759
Lowell,8,3,754,513,43,0,44,"1,354"
Lowell,9,1,465,187,27,0,24,703
Lowell,9,2,612,358,42,0,11,"1,023"
Lowell,9,3,492,250,29,0,22,793
Lowell,10,1,491,228,24,0,18,761
Lowell,10,2,336,110,18,0,14,478
Lowell,10,3,265,89,19,0,13,386
Lowell,11,1,540,260,47,0,13,860
Lowell,11,2,514,407,43,0,22,986
Lowell,11,3,575,321,43,0,34,973
Ludlow,-,1,690,663,61,0,33,"1,447"
Ludlow,-,2,508,375,40,2,32,957
Ludlow,-,3,646,886,55,3,20,"1,610"
Ludlow,-,4,698,622,57,0,31,"1,408"
Ludlow,-,5,497,542,38,0,31,"1,108"
Ludlow,-,6,730,842,58,3,29,"1,662"
Lunenburg,-,A,684,651,58,2,24,"1,419"
Lunenburg,-,B,615,541,39,5,20,"1,220"
Lunenburg,-,C,614,722,56,5,18,"1,415"
Lunenburg,-,D,614,603,40,0,23,"1,280"
Lynn,1,1,719,749,52,4,45,"1,569"
Lynn,1,2,823,721,57,5,42,"1,648"
Lynn,1,3,767,485,51,4,22,"1,329"
Lynn,1,4,737,419,47,3,23,"1,229"
Lynn,2,1,842,634,52,0,32,"1,560"
Lynn,2,2,617,189,19,1,12,838
Lynn,2,3,475,86,11,0,11,583
Lynn,2,4,427,97,22,0,7,553
Lynn,3,1,644,338,42,0,26,"1,050"
Lynn,3,2,597,214,24,1,16,852
Lynn,3,3,638,248,32,1,15,934
Lynn,3,4,768,239,30,2,13,"1,052"
Lynn,4,1,296,38,16,0,4,354
Lynn,4,2,394,60,11,0,6,471
Lynn,4,3,527,127,21,2,9,686
Lynn,4,4,655,227,18,2,16,918
Lynn,5,1,629,264,20,0,22,935
Lynn,5,2,310,41,13,0,7,371
Lynn,5,3,392,73,11,0,8,484
Lynn,5,4,740,218,24,1,17,"1,000"
Lynn,6,1,470,144,15,1,14,644
Lynn,6,2,297,96,11,0,9,413
Lynn,6,3,494,115,12,0,9,630
Lynn,6,4,378,112,13,0,18,521
Lynn,7,1,849,416,42,2,30,"1,339"
Lynn,7,2,729,353,35,1,26,"1,144"
Lynn,7,3,498,211,13,0,20,742
Lynn,7,4,550,259,30,0,17,856
Lynnfield,-,1,649,904,58,0,21,"1,632"
Lynnfield,-,2,719,849,45,0,29,"1,642"
Lynnfield,-,3,581,798,42,0,18,"1,439"
Lynnfield,-,4,636,"1,004",50,0,18,"1,708"
Malden,1,1,658,152,16,3,15,844
Malden,1,2,798,286,35,2,20,"1,141"
Malden,2,1,668,216,34,1,18,937
Malden,2,2,710,327,28,0,22,"1,087"
Malden,3,1,980,295,35,1,22,"1,333"
Malden,3,2,"1,036",413,50,3,19,"1,521"
Malden,4,1,704,164,23,2,18,911
Malden,4,2,600,138,24,0,18,780
Malden,5,1,788,239,24,1,16,"1,068"
Malden,5,2,"1,033",448,45,2,36,"1,564"
Malden,6,1,838,380,45,2,12,"1,277"
Malden,6,2,802,325,28,0,19,"1,174"
Malden,7,1,713,143,25,2,14,897
Malden,7,2,695,221,37,1,16,970
Malden,8,1,764,349,37,0,27,"1,177"
Malden,8,2,742,308,30,0,11,"1,091"
Manchester-by-the-Sea,-,1,"1,863","1,140",100,7,66,"3,176"
Mansfield,-,1,871,902,61,0,24,"1,858"
Mansfield,-,2,949,864,59,0,28,"1,900"
Mansfield,-,3,990,997,67,0,25,"2,079"
Mansfield,-,4,895,807,56,0,26,"1,784"
