City/Town,Ward,Pct,"Daphne Devries","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,202,0,65,267
Chilmark,-,1,567,3,163,733
Edgartown,-,1,"1,888",20,506,"2,414"
Gosnold,-,1,40,0,17,57
"Oak Bluffs",-,1,"2,033",12,525,"2,570"
Tisbury,-,1,"1,899",7,412,"2,318"
"W. Tisbury",-,1,"1,594",5,321,"1,920"
TOTALS,,,"8,223",47,"2,009","10,279"
