City/Town,Ward,Pct,"Terrence W. Kennedy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,834,23,242,"1,099"
Boston,1,2,674,19,167,860
Boston,1,3,"1,754",51,407,"2,212"
Boston,1,4,692,18,168,878
Boston,1,5,735,21,204,960
Boston,1,6,587,20,190,797
Boston,1,7,661,30,184,875
Boston,1,8,833,35,220,"1,088"
Boston,1,9,617,33,154,804
Boston,1,10,353,22,103,478
Boston,1,11,794,30,257,"1,081"
Boston,1,12,689,40,281,"1,010"
Boston,1,13,946,38,357,"1,341"
Boston,1,14,440,23,219,682
Boston,2,1,"1,098",39,407,"1,544"
Boston,2,2,953,30,401,"1,384"
Boston,2,3,"1,084",28,445,"1,557"
Boston,2,4,"1,035",22,329,"1,386"
Boston,2,5,"1,113",23,339,"1,475"
Boston,2,6,919,22,333,"1,274"
Boston,2,7,700,10,171,881
Boston,2,8,599,19,209,827
Boston,3,1,971,28,351,"1,350"
Boston,3,2,"1,002",31,368,"1,401"
Boston,3,3,680,20,169,869
Boston,3,4,735,20,222,977
Boston,3,5,988,19,283,"1,290"
Boston,3,6,699,7,198,904
Boston,3,9,647,6,197,850
Boston,3,10,"1,199",18,252,"1,469"
Boston,3,11,846,16,254,"1,116"
Boston,3,12,931,19,330,"1,280"
Boston,3,13,636,8,276,920
Boston,3,17,708,18,192,918
Boston,4,6,648,11,278,937
Boston,4,7,612,6,170,788
Boston,4,8,635,18,172,825
Boston,5,3,"1,137",15,372,"1,524"
Boston,5,4,715,4,126,845
Boston,5,5,732,18,287,"1,037"
Boston,5,6,867,18,333,"1,218"
Boston,5,7,"1,144",17,391,"1,552"
Boston,5,8,"1,002",21,312,"1,335"
Boston,5,9,971,30,301,"1,302"
Boston,5,11,481,4,116,601
Cambridge,1,1,826,6,178,"1,010"
Cambridge,1,2,346,3,104,453
Cambridge,1,2A,33,0,5,38
Cambridge,1,3,"1,211",12,312,"1,535"
Cambridge,2,1,"1,327",11,295,"1,633"
Cambridge,2,2,"1,212",11,325,"1,548"
Cambridge,2,3,"1,120",5,260,"1,385"
Cambridge,2,3A,114,0,33,147
Cambridge,3,1,"1,104",3,264,"1,371"
Cambridge,3,2,"1,327",22,309,"1,658"
Cambridge,3,3,919,2,184,"1,105"
Cambridge,3,3A,461,4,91,556
Cambridge,4,1,"1,535",7,409,"1,951"
Cambridge,4,2,"1,198",4,301,"1,503"
Cambridge,4,2A,188,2,58,248
Cambridge,4,3,"1,392",9,326,"1,727"
Cambridge,5,1,"1,262",8,360,"1,630"
Cambridge,5,2,248,3,60,311
Cambridge,5,3,"1,254",12,294,"1,560"
Cambridge,6,1,"1,153",7,283,"1,443"
Cambridge,6,1A,343,0,68,411
Cambridge,6,2,859,3,211,"1,073"
Cambridge,6,3,"1,538",12,387,"1,937"
Cambridge,7,1,"1,372",7,310,"1,689"
Cambridge,7,2,975,8,254,"1,237"
Cambridge,7,2A,27,0,13,40
Cambridge,7,3,415,12,104,531
Cambridge,8,1,"1,207",5,299,"1,511"
Cambridge,8,3,453,5,89,547
Cambridge,10,1,"1,030",6,274,"1,310"
Cambridge,10,1A,686,5,187,878
Cambridge,10,2,"1,742",4,426,"2,172"
Cambridge,10,3,"1,369",13,340,"1,722"
Cambridge,11,1,657,2,117,776
Cambridge,11,1A,664,2,163,829
Cambridge,11,2,"1,034",2,283,"1,319"
Cambridge,11,3,"1,389",7,347,"1,743"
Cambridge,11,3A,138,0,38,176
Chelsea,1,1,323,0,146,469
Chelsea,1,2,220,0,86,306
Chelsea,1,3,303,0,114,417
Chelsea,1,4,300,0,99,399
Chelsea,2,1,721,0,362,"1,083"
Chelsea,2,2,492,0,144,636
Chelsea,2,3,267,0,115,382
Chelsea,2,4,336,0,115,451
Chelsea,3,1,372,0,153,525
Chelsea,3,2,425,0,162,587
Chelsea,3,3,372,0,135,507
Chelsea,3,4,383,0,154,537
Chelsea,4,1,495,0,156,651
Chelsea,4,2,462,0,215,677
Chelsea,4,3,440,0,225,665
Chelsea,4,4,402,0,175,577
Everett,1,1,524,23,159,706
Everett,1,2,389,21,114,524
Everett,1,3,296,10,86,392
Everett,1,3A,160,7,39,206
Everett,2,1,559,28,199,786
Everett,2,2,224,9,81,314
Everett,2,2A,238,4,68,310
Everett,2,3,457,24,133,614
Everett,3,1,696,22,257,975
Everett,3,2,558,23,183,764
Everett,3,3,409,14,131,554
Everett,4,1,631,19,161,811
Everett,4,2,560,25,161,746
Everett,4,3,524,25,181,730
Everett,5,1,512,17,179,708
Everett,5,2,470,22,153,645
Everett,5,3,494,17,142,653
Everett,6,1,605,14,150,769
Everett,6,2,473,21,161,655
Everett,6,3,608,22,166,796
Lynn,1,1,"1,452",47,710,"2,209"
Lynn,1,2,"1,070",39,536,"1,645"
Lynn,1,2A,250,7,98,355
Lynn,1,3,"1,256",44,430,"1,730"
Lynn,1,4,"1,052",49,281,"1,382"
Lynn,2,1,"1,322",35,496,"1,853"
Lynn,2,2,864,28,212,"1,104"
Lynn,2,3,607,24,150,781
Lynn,2,4,593,22,119,734
Lynn,3,1,964,36,294,"1,294"
Lynn,3,2,712,35,141,888
Lynn,3,3,971,38,243,"1,252"
Lynn,3,4,971,36,250,"1,257"
Lynn,4,1,453,20,111,584
Lynn,4,2,501,15,108,624
Lynn,4,3,643,27,169,839
Lynn,4,3A,141,10,30,181
Lynn,4,4,831,30,242,"1,103"
Lynn,5,1,965,42,279,"1,286"
Lynn,5,2,537,25,107,669
Lynn,5,3,460,18,117,595
Lynn,5,4,935,28,264,"1,227"
Lynn,6,1,649,24,159,832
Lynn,6,2,509,31,125,665
Lynn,6,3,558,22,136,716
Lynn,6,4,817,28,235,"1,080"
Lynn,7,1,"1,124",52,379,"1,555"
Lynn,7,2,"1,160",43,327,"1,530"
Lynn,7,3,758,35,168,961
Lynn,7,4,864,42,210,"1,116"
Lynnfield,-,1,"1,299",0,692,"1,991"
Lynnfield,-,2,"1,411",0,650,"2,061"
Lynnfield,-,3,"1,364",0,647,"2,011"
Lynnfield,-,4,"1,344",0,760,"2,104"
Malden,1,1,575,9,188,772
Malden,1,2,639,15,237,891
Malden,1,3,657,19,253,929
Malden,2,1,550,25,172,747
Malden,2,2,612,24,228,864
Malden,2,3,720,13,285,"1,018"
Malden,3,1,392,8,189,589
Malden,3,1A,486,8,222,716
Malden,3,2,713,20,244,977
Malden,3,3,817,17,305,"1,139"
Malden,4,1,679,13,202,894
Malden,4,2,450,12,142,604
Malden,4,3,628,17,205,850
Malden,5,1,708,16,231,955
Malden,5,2,966,19,367,"1,352"
Malden,5,3,354,12,131,497
Malden,5,3A,407,6,138,551
Malden,6,1,884,30,369,"1,283"
Malden,6,2,690,29,224,943
Malden,6,3,736,31,245,"1,012"
Malden,7,1,592,18,169,779
Malden,7,2,640,12,200,852
Malden,7,3,349,12,137,498
Malden,7,3A,247,7,108,362
Malden,8,1,794,20,285,"1,099"
Malden,8,2,705,31,224,960
Malden,8,3,545,14,183,742
Marblehead,-,1,"1,660",8,694,"2,362"
Marblehead,-,2,"1,672",6,660,"2,338"
Marblehead,-,3,"1,541",13,608,"2,162"
Marblehead,-,4,"1,575",5,751,"2,331"
Marblehead,-,5,"1,600",7,616,"2,223"
Marblehead,-,6,"1,641",16,687,"2,344"
Medford,1,1,"1,456",27,486,"1,969"
Medford,1,2,"1,513",32,465,"2,010"
Medford,2,1,"1,305",44,482,"1,831"
Medford,2,2,"1,711",40,716,"2,467"
Medford,3,1,"1,564",38,666,"2,268"
Medford,3,2,"1,706",42,677,"2,425"
Medford,4,1,769,5,154,928
Medford,4,2,"1,492",30,466,"1,988"
Medford,5,1,"1,420",37,320,"1,777"
Medford,5,2,"1,501",22,326,"1,849"
Medford,6,1,"1,681",19,481,"2,181"
Medford,6,2,"1,475",20,495,"1,990"
Medford,6,2A,104,4,45,153
Medford,7,1,933,23,234,"1,190"
Medford,7,2,"1,132",22,269,"1,423"
Medford,7,2A,46,0,4,50
Medford,8,1,"1,447",35,474,"1,956"
Medford,8,2,"1,294",33,425,"1,752"
Melrose,1,1,899,8,442,"1,349"
Melrose,1,2,777,16,373,"1,166"
Melrose,2,1,849,17,476,"1,342"
Melrose,2,2,848,17,377,"1,242"
Melrose,3,1,808,13,352,"1,173"
Melrose,3,2,839,15,399,"1,253"
Melrose,4,1,855,17,315,"1,187"
Melrose,4,2,858,22,544,"1,424"
Melrose,5,1,697,14,248,959
Melrose,5,2,697,10,210,917
Melrose,6,1,839,17,319,"1,175"
Melrose,6,2,912,22,493,"1,427"
Melrose,7,1,870,19,396,"1,285"
Melrose,7,2,904,27,471,"1,402"
Nahant,-,1,"1,635",40,677,"2,352"
Reading,-,1,"1,376",0,881,"2,257"
Reading,-,2,"1,325",0,623,"1,948"
Reading,-,3,"1,360",0,765,"2,125"
Reading,-,4,"1,331",0,678,"2,009"
Reading,-,5,"1,319",0,694,"2,013"
Reading,-,6,"1,426",0,745,"2,171"
Reading,-,7,"1,337",0,776,"2,113"
Reading,-,8,"1,246",0,768,"2,014"
Revere,1,1,713,33,335,"1,081"
Revere,1,2,780,24,373,"1,177"
Revere,1,3,589,18,265,872
Revere,2,1,545,16,188,749
Revere,2,2,691,29,256,976
Revere,2,3,224,11,88,323
Revere,2,3A,67,1,26,94
Revere,3,1,564,23,323,910
Revere,3,2,586,35,352,973
Revere,3,3,603,15,320,938
Revere,4,1,732,30,406,"1,168"
Revere,4,2,582,24,318,924
Revere,4,3,684,35,417,"1,136"
Revere,5,1,578,21,351,950
Revere,5,1A,384,5,254,643
Revere,5,2,743,30,358,"1,131"
Revere,5,3,613,20,342,975
Revere,6,1,740,33,521,"1,294"
Revere,6,2,737,35,511,"1,283"
Revere,6,3,638,33,325,996
Saugus,-,1,880,6,519,"1,405"
Saugus,-,2,922,2,484,"1,408"
Saugus,-,3,902,3,579,"1,484"
Saugus,-,4,950,0,614,"1,564"
Saugus,-,5,961,6,741,"1,708"
Saugus,-,6,876,6,586,"1,468"
Saugus,-,7,874,1,734,"1,609"
Saugus,-,8,916,0,601,"1,517"
Saugus,-,9,987,3,692,"1,682"
Saugus,-,10,811,2,516,"1,329"
Somerville,1,1,"1,021",26,221,"1,268"
Somerville,1,2,807,22,203,"1,032"
Somerville,1,3,"1,047",26,217,"1,290"
Somerville,1,4,595,12,113,720
Somerville,1,4A,310,8,60,378
Somerville,2,1,785,4,144,933
Somerville,2,1A,467,6,90,563
Somerville,2,2,"1,182",19,248,"1,449"
Somerville,2,3,"1,208",7,244,"1,459"
Somerville,2,4,"1,259",12,257,"1,528"
Somerville,3,1,"1,262",24,292,"1,578"
Somerville,3,2,"1,156",26,288,"1,470"
Somerville,3,3,"1,312",20,283,"1,615"
Somerville,3,4,"1,273",13,277,"1,563"
Somerville,4,1,910,24,290,"1,224"
Somerville,4,2,716,20,161,897
Somerville,4,2A,289,2,69,360
Somerville,4,3,"1,233",14,254,"1,501"
Somerville,4,4,818,9,174,"1,001"
Somerville,5,1,"1,287",25,271,"1,583"
Somerville,5,2,"1,291",25,301,"1,617"
Somerville,5,3,"1,295",19,285,"1,599"
Somerville,5,4,"1,429",30,273,"1,732"
Somerville,6,1,"1,499",22,276,"1,797"
Somerville,6,2,"1,532",18,322,"1,872"
Somerville,6,3,227,2,48,277
Somerville,6,3A,199,4,61,264
Somerville,6,4,"1,413",18,320,"1,751"
Somerville,7,1,"1,494",16,254,"1,764"
Somerville,7,2,"1,073",15,212,"1,300"
Somerville,7,3,961,18,237,"1,216"
Somerville,7,4,"1,078",20,265,"1,363"
Stoneham,-,1,"1,182",1,642,"1,825"
Stoneham,-,2,"1,308",1,637,"1,946"
Stoneham,-,3,"1,283",3,825,"2,111"
Stoneham,-,4,"1,133",0,697,"1,830"
Stoneham,-,5,"1,264",2,791,"2,057"
Stoneham,-,6,"1,376",2,781,"2,159"
Stoneham,-,7,"1,095",4,658,"1,757"
Swampscott,-,1,"1,073",39,374,"1,486"
Swampscott,-,2,"1,006",25,382,"1,413"
Swampscott,-,3,"1,128",18,349,"1,495"
Swampscott,-,4,"1,174",26,437,"1,637"
Swampscott,-,5,"1,182",27,449,"1,658"
Swampscott,-,6,"1,119",34,423,"1,576"
Wakefield,-,1,"1,383",28,853,"2,264"
Wakefield,-,2,"1,450",22,750,"2,222"
Wakefield,-,3,"1,541",27,842,"2,410"
Wakefield,-,4,"1,546",23,796,"2,365"
Wakefield,-,5,"1,620",27,821,"2,468"
Wakefield,-,6,"1,593",32,769,"2,394"
Wakefield,-,7,"1,473",30,852,"2,355"
Winchester,-,1,"1,156",16,550,"1,722"
Winchester,-,2,919,24,469,"1,412"
Winchester,-,3,"1,235",18,590,"1,843"
Winchester,-,4,"1,090",20,663,"1,773"
Winchester,-,5,"1,054",19,667,"1,740"
Winchester,-,6,"1,088",25,645,"1,758"
Winchester,-,7,"1,080",27,655,"1,762"
Winchester,-,8,909,22,455,"1,386"
Winthrop,-,1,"1,036",26,585,"1,647"
Winthrop,-,2,"1,017",21,622,"1,660"
Winthrop,-,3,"1,085",22,481,"1,588"
Winthrop,-,4,724,20,466,"1,210"
Winthrop,-,5,"1,086",22,660,"1,768"
Winthrop,-,6,"1,017",20,541,"1,578"
TOTALS,,,"282,836","5,449","105,121","393,406"
