City/Town,Ward,Pct,"Joseph C. Ferreira","Krysten Condon","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Westport,-,D,"1,049",725,2,260,"2,036"
Westport,-,E,"1,228",867,0,370,"2,465"
Yarmouth,-,1,"1,202",806,6,239,"2,253"
Yarmouth,-,2,"1,108",831,2,235,"2,176"
Yarmouth,-,3,792,695,4,138,"1,629"
Yarmouth,-,4,958,784,7,178,"1,927"
Yarmouth,-,5,849,769,4,164,"1,786"
Yarmouth,-,6,950,679,2,176,"1,807"
Yarmouth,-,7,"1,197",846,2,240,"2,285"
Yarmouth,-,8,649,587,4,135,"1,375"
Yarmouth,-,8A,126,115,2,26,269
TOTALS,,,"242,015","185,805","1,119","60,540","489,479"
