City/Town,Ward,Pct,"Tara J. Jacobs","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Adams,-,1,587,4,174,765
Adams,-,2,741,10,173,924
Adams,-,3,708,3,204,915
Adams,-,4,620,1,181,802
Adams,-,5,786,4,199,989
Agawam,-,1,"1,171",16,559,"1,746"
Agawam,-,2,"1,331",14,845,"2,190"
Agawam,-,3,"1,213",2,704,"1,919"
Agawam,-,4,"1,054",10,590,"1,654"
Agawam,-,5,"1,382",28,769,"2,179"
Agawam,-,6,"1,223",26,723,"1,972"
Agawam,-,7,"1,307",31,801,"2,139"
Agawam,-,8,"1,301",16,716,"2,033"
Alford,-,1,255,0,71,326
Amherst,-,1A,862,19,180,"1,061"
Amherst,-,1B,443,13,100,556
Amherst,-,2A,507,3,131,641
Amherst,-,2B,"1,426",21,297,"1,744"
Amherst,-,3A,473,7,126,606
Amherst,-,3B,"1,299",16,317,"1,632"
Amherst,-,4A,679,11,173,863
Amherst,-,4B,430,3,103,536
Amherst,-,5A,565,7,121,693
Amherst,-,5B,"1,968",17,426,"2,411"
Ashburnham,-,1,"1,311",57,578,"1,946"
Ashburnham,-,2,"1,350",53,544,"1,947"
Ashfield,-,1,962,6,248,"1,216"
Athol,-,1,"1,491",46,543,"2,080"
Athol,-,2,"1,326",11,529,"1,866"
Athol,-,3,"1,349",9,425,"1,783"
Becket,-,1,851,13,383,"1,247"
Belchertown,-,A,"1,670",4,725,"2,399"
Belchertown,-,B,"1,785",9,817,"2,611"
Belchertown,-,C,"1,678",0,771,"2,449"
Belchertown,-,D,"1,533",9,630,"2,172"
Bernardston,-,1,997,14,400,"1,411"
Blandford,-,1,505,28,287,820
Buckland,-,1,866,8,269,"1,143"
Charlemont,-,1,558,0,186,744
Cheshire,-,1,"1,340",13,601,"1,954"
Chester,-,1,478,0,273,751
Chesterfield,-,1,610,0,226,836
Chicopee,1,A,"1,050",38,373,"1,461"
Chicopee,1,B,"1,222",36,433,"1,691"
Chicopee,2,A,730,27,193,950
Chicopee,2,B,"1,076",35,404,"1,515"
Chicopee,3,A,808,37,284,"1,129"
Chicopee,3,A1,186,7,48,241
Chicopee,3,B,826,30,248,"1,104"
Chicopee,4,A,901,32,315,"1,248"
Chicopee,4,B,884,21,291,"1,196"
Chicopee,5,A,"1,082",33,317,"1,432"
Chicopee,5,B,990,25,293,"1,308"
Chicopee,6,AN,383,13,143,539
Chicopee,6,AS,659,17,278,954
Chicopee,6,BE,"1,012",45,434,"1,491"
Chicopee,6,BW,196,20,87,303
Chicopee,7,A,793,38,214,"1,045"
Chicopee,7,B,866,34,219,"1,119"
Chicopee,8,A,"1,064",55,339,"1,458"
Chicopee,8,B,"1,016",60,335,"1,411"
