City/Town,Ward,Pct,"Paul M. Depalo","Andrew J. Couture","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Grafton,-,4,"1,176",684,2,137,"1,999"
Grafton,-,5,"1,523",774,2,194,"2,493"
Groton,-,1,"1,564",818,0,216,"2,598"
Groton,-,2,"1,377",822,3,168,"2,370"
Groton,-,3,"1,421",750,2,183,"2,356"
Hardwick,-,1,732,734,0,118,"1,584"
Holden,-,1,"1,047",883,0,151,"2,081"
Holden,-,2,"1,115",713,0,150,"1,978"
Holden,-,3,"1,195",793,0,162,"2,150"
Holden,-,4,"1,253",798,0,150,"2,201"
Holden,-,5,"1,189",784,0,133,"2,106"
Holden,-,6,"1,176",813,0,136,"2,125"
Holland,-,1,663,818,1,107,"1,589"
Hopedale,-,1,"1,992","1,289",2,333,"3,616"
Hubbardston,-,1,"1,228","1,585",2,162,"2,977"
Lancaster,-,1,897,843,0,157,"1,897"
Lancaster,-,2,"1,207",979,1,191,"2,378"
Leicester,-,1,766,769,2,119,"1,656"
Leicester,-,2,825,640,1,88,"1,554"
Leicester,-,3,760,760,0,97,"1,617"
Leicester,-,4,747,665,2,107,"1,521"
Leominster,1,A,800,781,2,136,"1,719"
Leominster,1,B,831,657,0,153,"1,641"
Leominster,1,C,654,518,0,117,"1,289"
Leominster,2,A,557,411,0,86,"1,054"
Leominster,2,B,621,553,1,123,"1,298"
Leominster,2,C,426,417,0,63,906
Leominster,3,A,695,554,1,104,"1,354"
Leominster,3,B,895,666,0,163,"1,724"
Leominster,3,C,730,704,0,142,"1,576"
Leominster,4,A,822,776,0,162,"1,760"
Leominster,4,B,749,724,0,148,"1,621"
Leominster,4,C,649,543,0,123,"1,315"
Leominster,5,A,625,531,0,94,"1,250"
Leominster,5,B,770,619,0,116,"1,505"
Leominster,5,C,541,428,1,69,"1,039"
Lunenburg,-,A,859,840,0,114,"1,813"
Lunenburg,-,B,842,799,2,101,"1,744"
Lunenburg,-,B1,35,36,0,10,81
Lunenburg,-,C,771,829,0,125,"1,725"
Lunenburg,-,C1,9,4,0,0,13
Lunenburg,-,D,964,878,1,122,"1,965"
Mendon,-,1,900,839,1,176,"1,916"
Mendon,-,2,978,889,1,224,"2,092"
Millbury,-,1,"1,002",789,1,156,"1,948"
Millbury,-,2,"1,103",945,0,161,"2,209"
Millbury,-,3,"1,114",828,1,140,"2,083"
Millbury,-,4,"1,032",755,0,131,"1,918"
Millville,-,1,779,907,1,121,"1,808"
Monson,-,A,748,794,0,177,"1,719"
Monson,-,B,673,800,1,177,"1,651"
Monson,-,C,742,817,1,173,"1,733"
"New Braintree",-,1,321,301,0,53,675
"N. Brookfield",-,1,"1,211","1,463",1,179,"2,854"
Northborough,-,1,"1,432",706,6,152,"2,296"
Northborough,-,2,"1,412",674,2,143,"2,231"
Northborough,-,3,"1,441",734,2,184,"2,361"
Northborough,-,4,"1,390",788,3,171,"2,352"
Northbridge,-,1,"1,075",817,2,127,"2,021"
Northbridge,-,2,822,745,3,112,"1,682"
Northbridge,-,3,744,693,2,110,"1,549"
Northbridge,-,4,954,987,2,158,"2,101"
Northbridge,-,5,878,915,5,125,"1,923"
Oakham,-,1,528,655,0,83,"1,266"
Oxford,-,1,919,952,1,128,"2,000"
Oxford,-,2,873,862,0,96,"1,831"
Oxford,-,3,929,861,1,135,"1,926"
Oxford,-,4,835,855,0,131,"1,821"
Oxford,-,4A,10,19,0,3,32
Paxton,-,1,"1,603","1,201",1,192,"2,997"
Phillipston,-,1,415,694,0,61,"1,170"
Princeton,-,1,"1,384",981,3,191,"2,559"
Rutland,-,1,925,"1,018",0,130,"2,073"
Rutland,-,2,841,861,2,93,"1,797"
Rutland,-,3,"1,058",902,2,137,"2,099"
Shirley,-,1,"1,916","1,536",6,246,"3,704"
Shrewsbury,-,1,"1,394",778,1,164,"2,337"
Shrewsbury,-,2,"1,221",628,0,134,"1,983"
Shrewsbury,-,3,988,504,0,104,"1,596"
