City/Town,Ward,Pct,"Michael Joseph Donovan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Revere,5,3,598,12,202,812
Revere,6,1,607,20,357,984
Revere,6,2,633,16,380,"1,029"
Revere,6,3,496,14,150,660
Winthrop,-,1,919,17,428,"1,364"
Winthrop,-,2,879,10,371,"1,260"
Winthrop,-,3,950,21,321,"1,292"
Winthrop,-,4,800,17,325,"1,142"
Winthrop,-,5,954,12,420,"1,386"
Winthrop,-,6,935,16,308,"1,259"
TOTALS,,,"203,499","2,705","48,638","254,842"
