City/Town,Ward,Pct,"Jo Comerford","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amherst,-,1A,909,21,131,"1,061"
Amherst,-,1B,465,14,77,556
Amherst,-,2A,539,4,98,641
Amherst,-,2B,"1,498",22,224,"1,744"
Amherst,-,3A,512,4,90,606
Amherst,-,3B,"1,385",19,228,"1,632"
Amherst,-,4A,741,10,112,863
Amherst,-,4B,467,4,65,536
Amherst,-,5A,592,5,96,693
Amherst,-,5B,"2,121",18,272,"2,411"
Ashburnham,-,1,"1,302",59,585,"1,946"
Ashburnham,-,2,"1,344",53,550,"1,947"
Athol,-,1,"1,490",45,545,"2,080"
Athol,-,2,"1,320",11,535,"1,866"
Athol,-,3,"1,342",8,433,"1,783"
Bernardston,-,1,"1,058",14,339,"1,411"
Deerfield,-,1,"2,695",13,600,"3,308"
Erving,-,1,726,12,240,978
Gill,-,1,779,10,227,"1,016"
Greenfield,-,1,835,21,270,"1,126"
Greenfield,-,2,"1,057",16,262,"1,335"
Greenfield,-,3,940,12,244,"1,196"
Greenfield,-,4,947,16,189,"1,152"
Greenfield,-,5,988,6,193,"1,187"
Greenfield,-,6,883,8,161,"1,052"
Greenfield,-,7,725,15,177,917
Greenfield,-,8,732,27,162,921
Greenfield,-,9,537,8,147,692
Hadley,-,1,"2,570",4,768,"3,342"
Hatfield,-,1,"1,728",10,513,"2,251"
Leverett,-,1,"1,139",2,169,"1,310"
Leyden,-,1,385,1,110,496
Montague,-,1,869,10,156,"1,035"
Montague,-,2,628,21,190,839
Montague,-,3,668,12,174,854
Montague,-,4,652,10,134,796
Montague,-,5,501,11,99,611
Montague,-,6,570,10,127,707
"New Salem",-,1,535,5,174,714
Northampton,1,A,990,6,157,"1,153"
Northampton,1,B,"1,170",12,135,"1,317"
Northampton,2,A,880,2,116,998
Northampton,2,B,739,1,84,824
Northampton,3,A,"1,059",9,198,"1,266"
Northampton,3,B,"1,068",3,174,"1,245"
Northampton,4,A,867,2,122,991
Northampton,4,B,"1,138",5,184,"1,327"
Northampton,5,A,958,4,162,"1,124"
Northampton,5,B,"1,179",2,134,"1,315"
Northampton,6,A,"1,253",7,288,"1,548"
Northampton,6,B,"1,275",5,239,"1,519"
Northampton,7,A,"1,044",4,208,"1,256"
Northampton,7,B,"1,104",4,224,"1,332"
Northfield,-,1,"1,455",22,477,"1,954"
Orange,-,1,"1,360",55,544,"1,959"
Orange,-,2,"1,471",34,480,"1,985"
Pelham,-,1,751,0,110,861
Petersham,-,1,659,1,241,901
Royalston,-,1,566,8,240,814
Shutesbury,-,1,"1,087",1,176,"1,264"
Sunderland,-,1,"1,547",9,339,"1,895"
Warwick,-,1,400,0,111,511
Wendell,-,1,484,2,119,605
Winchendon,-,1,"1,078",65,514,"1,657"
Winchendon,-,2,"1,167",72,555,"1,794"
Winchendon,-,3,"1,155",82,578,"1,815"
TOTALS,,,"67,078",988,"16,775","84,841"
