City/Town,Ward,Pct,"Adam Gomez","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Chicopee,2,A,752,27,171,950
Chicopee,2,B,"1,116",33,366,"1,515"
Chicopee,3,A,835,34,260,"1,129"
Chicopee,3,A1,193,5,43,241
Chicopee,3,B,852,31,221,"1,104"
Chicopee,4,A,934,27,287,"1,248"
Chicopee,4,B,927,20,249,"1,196"
Chicopee,5,A,"1,104",32,296,"1,432"
Chicopee,5,B,"1,002",32,274,"1,308"
Chicopee,7,B,889,30,200,"1,119"
Chicopee,8,A,"1,088",42,328,"1,458"
Springfield,1,A,381,15,129,525
Springfield,1,B,513,13,87,613
Springfield,1,C,327,16,56,399
Springfield,1,C1,56,1,5,62
Springfield,1,D,338,3,47,388
Springfield,1,D1,80,2,9,91
Springfield,1,E,451,16,82,549
Springfield,1,F,430,12,103,545
Springfield,1,G,333,10,63,406
Springfield,1,H,681,20,111,812
Springfield,2,A,551,16,92,659
Springfield,2,B,788,37,190,"1,015"
Springfield,2,C,564,19,99,682
Springfield,2,D,775,24,144,943
Springfield,2,E,694,25,167,886
Springfield,2,F,732,28,135,895
Springfield,2,G,783,27,210,"1,020"
Springfield,2,H,798,20,171,989
Springfield,3,A,345,10,67,422
Springfield,3,B,382,15,73,470
Springfield,3,C,355,11,63,429
Springfield,3,D,483,14,76,573
Springfield,3,E,276,5,43,324
Springfield,3,F,401,7,67,475
Springfield,3,G,328,7,54,389
Springfield,3,H,425,17,72,514
Springfield,4,A,733,29,119,881
Springfield,4,B,494,7,68,569
Springfield,4,C,475,13,69,557
Springfield,4,D,474,14,75,563
Springfield,4,E,451,12,65,528
Springfield,4,F,143,2,16,161
Springfield,4,G,541,13,95,649
Springfield,4,H,551,5,69,625
Springfield,5,A,681,11,104,796
Springfield,5,B,828,28,147,"1,003"
Springfield,5,C,663,26,167,856
Springfield,5,C1,9,0,8,17
Springfield,5,D,936,31,264,"1,231"
Springfield,5,E,940,19,182,"1,141"
Springfield,5,F,835,27,225,"1,087"
Springfield,5,G,947,29,291,"1,267"
Springfield,5,H,779,15,220,"1,014"
Springfield,6,A,505,23,101,629
Springfield,6,C,621,25,212,858
Springfield,6,D1,32,0,12,44
Springfield,6,E,522,11,90,623
Springfield,6,F,607,16,86,709
Springfield,6,G,645,23,140,808
Springfield,6,H,865,25,230,"1,120"
Springfield,7,A,901,28,264,"1,193"
Springfield,7,A1,46,0,10,56
Springfield,7,B1,32,1,9,42
Springfield,7,H,440,19,134,593
Springfield,8,A,741,26,189,956
Springfield,8,B,768,28,119,915
Springfield,8,B1,37,0,23,60
Springfield,8,C,763,27,157,947
Springfield,8,D,547,13,95,655
Springfield,8,E,519,20,105,644
Springfield,8,F,773,32,151,956
Springfield,8,G,668,23,185,876
Springfield,8,G1,20,0,9,29
Springfield,8,H,717,16,136,869
TOTALS,,,"43,211","1,340","9,751","54,302"
