City/Town,Ward,Pct,"Robyn K. Kennedy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Berlin,-,1,"1,724",18,687,"2,429"
Bolton,-,1,"2,740",38,928,"3,706"
Boylston,-,1,"2,458",58,871,"3,387"
Northborough,-,1,"1,757",49,490,"2,296"
Northborough,-,2,"1,710",44,477,"2,231"
Northborough,-,3,"1,781",43,537,"2,361"
Northborough,-,4,"1,761",45,546,"2,352"
"W. Boylston",-,1,"1,508",43,522,"2,073"
"W. Boylston",-,2,"1,916",49,645,"2,610"
Worcester,1,1,690,22,182,894
Worcester,1,2,"1,610",56,472,"2,138"
Worcester,1,3,837,20,274,"1,131"
Worcester,1,4,"1,426",39,403,"1,868"
Worcester,1,5,"1,191",51,300,"1,542"
Worcester,1,6,"1,601",59,449,"2,109"
Worcester,2,1,"1,393",49,393,"1,835"
Worcester,2,2,"1,140",38,331,"1,509"
Worcester,2,3,"1,186",41,360,"1,587"
Worcester,2,4,957,33,156,"1,146"
Worcester,2,5,756,28,170,954
Worcester,2,6,"1,036",25,240,"1,301"
Worcester,2,6A,0,0,0,0
Worcester,3,1,559,27,91,677
Worcester,3,2,395,13,73,481
Worcester,3,3,"1,073",53,280,"1,406"
Worcester,3,3A,0,0,0,0
Worcester,3,4,576,15,120,711
Worcester,3,5,954,43,200,"1,197"
Worcester,3,5A,0,0,0,0
Worcester,3,6,990,21,222,"1,233"
Worcester,4,2,383,22,107,512
Worcester,4,2B,0,0,0,0
Worcester,4,3,561,10,76,647
Worcester,6,3,529,16,113,658
Worcester,7,1,"1,048",34,246,"1,328"
Worcester,7,3,726,32,146,904
Worcester,8,1,483,14,105,602
Worcester,8,2,424,21,94,539
Worcester,8,3,289,12,38,339
Worcester,8,4,551,24,122,697
Worcester,8,6,503,23,116,642
Worcester,9,1,822,36,192,"1,050"
Worcester,9,2,"1,282",23,380,"1,685"
Worcester,9,5,"1,592",57,460,"2,109"
Worcester,9,6,"1,337",57,375,"1,769"
Worcester,10,1,545,18,96,659
Worcester,10,2,676,22,119,817
Worcester,10,3,600,26,128,754
Worcester,10,4,517,22,109,648
Worcester,10,4A,0,0,0,0
Worcester,10,5,530,23,112,665
Worcester,10,6,490,19,101,610
TOTALS,,,"49,613","1,531","13,654","64,798"
