City/Town,Ward,Pct,"Rebecca L. Rausch","Dashe M. Videira","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bellingham,-,1,855,854,3,135,"1,847"
Bellingham,-,2,984,954,1,181,"2,120"
Bellingham,-,3,"1,052","1,005",5,176,"2,238"
Bellingham,-,4,833,917,3,145,"1,898"
Bellingham,-,5,860,961,3,159,"1,983"
Dover,-,1,"2,112","1,318",5,359,"3,794"
Franklin,-,1,"1,154",898,5,142,"2,199"
Franklin,-,2,906,816,2,138,"1,862"
Franklin,-,3,"1,115",998,4,130,"2,247"
Franklin,-,4,"1,207","1,078",2,134,"2,421"
Franklin,-,5,"1,239",901,3,140,"2,283"
Franklin,-,6,"1,187",921,2,141,"2,251"
Franklin,-,7,"1,348",994,2,146,"2,490"
Franklin,-,8,"1,187","1,138",2,170,"2,497"
Franklin,-,9,966,706,2,146,"1,820"
Medfield,-,1,"1,262",707,4,194,"2,167"
Medfield,-,2,"1,169",639,5,172,"1,985"
Medfield,-,3,"1,111",757,1,148,"2,017"
Medfield,-,4,"1,099",697,6,162,"1,964"
Milford,-,1,552,400,4,106,"1,062"
Milford,-,2,880,765,3,143,"1,791"
Milford,-,3,763,687,6,168,"1,624"
Milford,-,4,555,478,7,99,"1,139"
Milford,-,5,"1,084",955,4,198,"2,241"
Milford,-,6,967,703,4,149,"1,823"
Milford,-,7,"1,196",951,5,189,"2,341"
Milford,-,8,"1,062",788,7,155,"2,012"
Millis,-,1,971,698,4,121,"1,794"
Millis,-,2,938,760,0,161,"1,859"
Millis,-,3,"1,348",884,5,175,"2,412"
Needham,-,A,"1,167",416,9,138,"1,730"
Needham,-,B,"1,376",473,6,142,"1,997"
Needham,-,C,"1,292",443,3,137,"1,875"
Needham,-,D,"1,302",419,7,148,"1,876"
Needham,-,E,"1,390",446,6,174,"2,016"
Needham,-,F,"1,383",409,2,140,"1,934"
Needham,-,G,"1,398",471,6,147,"2,022"
Needham,-,H,"1,483",477,5,166,"2,131"
Needham,-,I,"1,583",420,6,136,"2,145"
Needham,-,J,"1,380",437,6,157,"1,980"
Norfolk,-,1,594,512,2,69,"1,177"
Norfolk,-,2,"1,034",909,0,130,"2,073"
Norfolk,-,3,850,804,1,103,"1,758"
Norfolk,-,4,950,820,4,109,"1,883"
Plainville,-,1,819,819,0,109,"1,747"
Plainville,-,2,937,829,1,142,"1,909"
Plainville,-,3,912,968,2,118,"2,000"
Sherborn,-,1,"1,893",716,0,197,"2,806"
Wrentham,-,1,882,948,1,119,"1,950"
Wrentham,-,2,916,967,5,92,"1,980"
Wrentham,-,3,898,934,3,100,"1,935"
Wrentham,-,4,908,"1,018",0,120,"2,046"
TOTALS,,,"57,309","39,983",184,"7,675","105,151"
