City/Town,Ward,Pct,"Pavel M. Payano","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Haverhill,1,1,534,1,160,695
Haverhill,1,2,573,3,168,744
Haverhill,1,3,474,1,195,670
Haverhill,2,3,685,5,218,908
Haverhill,3,1,799,3,270,"1,072"
Haverhill,3,2,731,8,260,999
Haverhill,3,3,766,6,237,"1,009"
Haverhill,5,1A,469,8,207,684
Haverhill,6,2A,347,3,118,468
Haverhill,7,2A,286,1,92,379
Lawrence,A,1,799,27,130,956
Lawrence,A,2,466,10,96,572
Lawrence,A,2A,116,4,19,139
Lawrence,A,3,594,43,118,755
Lawrence,A,4,855,29,125,"1,009"
Lawrence,B,1,755,21,116,892
Lawrence,B,2,505,24,94,623
Lawrence,B,3,616,21,124,761
Lawrence,B,4,651,26,142,819
Lawrence,C,1,606,13,121,740
Lawrence,C,2,727,30,167,924
Lawrence,C,3,497,11,102,610
Lawrence,C,4,515,24,140,679
Lawrence,D,1,824,32,157,"1,013"
Lawrence,D,2,650,28,138,816
Lawrence,D,3,386,15,102,503
Lawrence,D,4,693,21,106,820
Lawrence,E,1,998,36,293,"1,327"
Lawrence,E,1A,36,2,6,44
Lawrence,E,2,"1,022",38,245,"1,305"
Lawrence,E,3,730,40,142,912
Lawrence,E,4,708,31,135,874
Lawrence,F,1,"1,025",35,258,"1,318"
Lawrence,F,2,615,27,88,730
Lawrence,F,3,862,41,135,"1,038"
Lawrence,F,4,839,31,172,"1,042"
Methuen,-,1,831,46,184,"1,061"
Methuen,-,2,813,32,231,"1,076"
Methuen,-,3,"1,185",53,417,"1,655"
Methuen,-,4,"1,056",28,351,"1,435"
Methuen,-,5,"1,098",72,508,"1,678"
Methuen,-,6,968,42,413,"1,423"
Methuen,-,6A,131,3,35,169
Methuen,-,7,"1,350",67,516,"1,933"
Methuen,-,8,"1,215",51,609,"1,875"
Methuen,-,9,"1,175",62,692,"1,929"
Methuen,-,10,"1,189",78,542,"1,809"
Methuen,-,11,"1,322",69,791,"2,182"
Methuen,-,12,"1,197",51,595,"1,843"
Methuen,-,13,731,37,315,"1,083"
Methuen,-,13A,449,28,147,624
Methuen,-,14,"1,227",55,393,"1,675"
Methuen,-,15,941,42,270,"1,253"
TOTALS,,,"39,632","1,515","12,405","53,552"
