City/Town,Ward,Pct,"Julian Andre Cyr","Christopher Robert Lauzon","Joe Van Nes","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Aquinnah,-,1,274,25,22,0,30,351
Barnstable,-,1,"1,468","1,005",32,1,130,"2,636"
Barnstable,-,2,"1,189","1,083",42,6,90,"2,410"
Barnstable,-,3,943,743,25,2,103,"1,816"
Barnstable,-,4,"1,115",941,38,1,94,"2,189"
Barnstable,-,5,"1,199","1,338",47,3,110,"2,697"
Barnstable,-,6,"1,196","1,126",36,2,98,"2,458"
Barnstable,-,7,"1,394","1,131",53,1,121,"2,700"
Barnstable,-,8,819,643,36,2,71,"1,571"
Barnstable,-,9,456,342,28,4,43,873
Barnstable,-,10,982,"1,071",35,1,90,"2,179"
Barnstable,-,11,"1,168","1,202",32,1,81,"2,484"
Barnstable,-,12,"1,193","1,157",39,2,63,"2,454"
Barnstable,-,13,808,610,23,1,88,"1,530"
Brewster,-,1,"1,607",892,36,2,93,"2,630"
Brewster,-,2,"1,507",719,29,2,82,"2,339"
Brewster,-,3,"1,443",806,37,1,93,"2,380"
Chatham,-,1,"1,407",924,32,5,114,"2,482"
Chatham,-,2,"1,351",925,25,0,118,"2,419"
Chilmark,-,1,729,133,51,0,32,945
Dennis,-,1,"1,212","1,002",25,0,90,"2,329"
Dennis,-,2,"1,263",955,34,0,128,"2,380"
Dennis,-,3,869,590,34,1,79,"1,573"
Dennis,-,4,"1,119",901,44,1,112,"2,177"
Dennis,-,5,"1,013",743,21,1,79,"1,857"
Eastham,-,1,"2,782","1,162",59,1,160,"4,164"
Edgartown,-,1,"1,818",729,201,0,188,"2,936"
Gosnold,-,1,42,17,3,0,8,70
Harwich,-,1,"1,497",955,27,1,120,"2,600"
Harwich,-,2,"1,354",870,33,0,71,"2,328"
Harwich,-,3,"1,282",909,27,0,89,"2,307"
Harwich,-,4,"1,196",844,34,0,56,"2,130"
Nantucket,-,1,"4,542","2,066",180,7,379,"7,174"
"Oak Bluffs",-,1,"2,054",672,224,3,177,"3,130"
Orleans,-,1,"1,600",663,27,2,111,"2,403"
Orleans,-,2,"1,444",824,37,0,114,"2,419"
Provincetown,-,1,"2,382",177,32,77,3,"2,671"
Tisbury,-,1,"1,838",462,236,0,164,"2,700"
Truro,-,1,"1,325",433,36,0,46,"1,840"
Wellfleet,-,1,"1,858",514,33,5,107,"2,517"
"W. Tisbury",-,1,"1,601",321,171,0,112,"2,205"
Yarmouth,-,1,"1,268",846,40,2,97,"2,253"
Yarmouth,-,2,"1,172",854,51,14,85,"2,176"
Yarmouth,-,3,831,702,29,1,66,"1,629"
Yarmouth,-,4,"1,030",785,27,3,82,"1,927"
Yarmouth,-,5,882,795,39,1,69,"1,786"
Yarmouth,-,6,990,695,35,0,87,"1,807"
Yarmouth,-,7,"1,293",875,28,0,89,"2,285"
Yarmouth,-,8,699,594,26,0,56,"1,375"
Yarmouth,-,8A,132,122,2,1,12,269
TOTALS,,,"64,636","38,893","2,493",158,"4,780","110,960"
