City/Town,Ward,Pct,"Jacob R. Oliveira","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Belchertown,-,A,"1,749",5,645,"2,399"
Belchertown,-,B,"1,890",8,713,"2,611"
Belchertown,-,C,"1,755",0,694,"2,449"
Belchertown,-,D,"1,609",5,558,"2,172"
Chicopee,1,A,"1,084",36,341,"1,461"
Chicopee,1,B,"1,247",34,410,"1,691"
Chicopee,6,AN,398,12,129,539
Chicopee,6,AS,687,16,251,954
Chicopee,6,BE,"1,075",42,374,"1,491"
Chicopee,6,BW,209,17,77,303
Chicopee,8,B,"1,034",56,321,"1,411"
Chicopee,9,B,"1,218",55,390,"1,663"
"E. Longmeadow",-,1,"1,392",50,442,"1,884"
"E. Longmeadow",-,2,"1,333",59,499,"1,891"
"E. Longmeadow",-,2A,11,0,3,14
"E. Longmeadow",-,3,"1,350",50,517,"1,917"
"E. Longmeadow",-,3A,73,9,23,105
"E. Longmeadow",-,4,"1,157",44,553,"1,754"
"E. Longmeadow",-,4A,267,4,122,393
"E. Longmeadow",-,5,"1,255",51,622,"1,928"
Granby,-,1,"1,337",0,652,"1,989"
Granby,-,2,"1,243",0,707,"1,950"
Granby,-,2A,31,0,14,45
Hampden,-,1,"2,276",8,"1,009","3,293"
Longmeadow,-,A,"1,466",45,517,"2,028"
Longmeadow,-,B,"1,374",46,432,"1,852"
Longmeadow,-,C,"1,458",40,567,"2,065"
Longmeadow,-,D,"1,437",35,536,"2,008"
Longmeadow,-,E,"1,350",33,506,"1,889"
Ludlow,-,1,"1,429",46,486,"1,961"
Ludlow,-,2,"1,084",8,332,"1,424"
Ludlow,-,3,"1,627",27,678,"2,332"
Ludlow,-,4,"1,354",32,480,"1,866"
Ludlow,-,5,"1,087",23,410,"1,520"
Ludlow,-,6,"1,602",44,536,"2,182"
Palmer,-,1,"1,240",5,521,"1,766"
Palmer,-,2,"1,166",0,592,"1,758"
Palmer,-,3,997,0,380,"1,377"
Palmer,-,4,"1,033",0,531,"1,564"
"S. Hadley",-,A,"1,480",6,449,"1,935"
"S. Hadley",-,B,"1,599",14,587,"2,200"
"S. Hadley",-,C,"1,684",8,624,"2,316"
"S. Hadley",-,D,964,6,324,"1,294"
"S. Hadley",-,E,"1,652",17,589,"2,258"
Springfield,6,B,750,13,178,941
Springfield,6,D,902,35,298,"1,235"
Springfield,7,B,991,24,321,"1,336"
Springfield,7,C,991,31,328,"1,350"
Springfield,7,D,865,26,281,"1,172"
Springfield,7,E,622,19,164,805
Springfield,7,F,"1,058",24,309,"1,391"
Springfield,7,G,"1,055",32,336,"1,423"
Springfield,7,H1,83,4,28,115
Warren,-,A,"1,335",13,671,"2,019"
Warren,-,B,446,3,212,661
Wilbraham,-,A,"1,681",29,636,"2,346"
Wilbraham,-,B,"1,576",39,605,"2,220"
Wilbraham,-,C,"1,587",52,678,"2,317"
Wilbraham,-,D,"1,715",40,667,"2,422"
TOTALS,,,"68,420","1,380","25,855","95,655"
