City/Town,Ward,Pct,"Patrick A. O'Connor","All Others",Blanks,"Total Votes Cast"
,,,Republican
Cohasset,-,1,"1,255",19,475,"1,749"
Cohasset,-,2,"1,402",10,453,"1,865"
Cohasset,-,3,"1,328",15,474,"1,817"
Duxbury,-,1,"1,465",12,529,"2,006"
Duxbury,-,2,"1,320",11,474,"1,805"
Duxbury,-,3,"1,357",12,414,"1,783"
Duxbury,-,4,"1,331",10,438,"1,779"
Duxbury,-,5,"1,304",9,411,"1,724"
Duxbury,-,6,"1,249",15,436,"1,700"
Hingham,-,1,"1,586",30,558,"2,174"
Hingham,-,2,"1,709",36,567,"2,312"
Hingham,-,3,"1,571",23,543,"2,137"
Hingham,-,4,"1,686",26,574,"2,286"
Hingham,-,5,"1,761",32,479,"2,272"
Hingham,-,6,"1,650",25,482,"2,157"
Hingham,-,7,981,14,306,"1,301"
Hingham,-,7A,788,8,414,"1,210"
Hull,-,1,"1,665",20,682,"2,367"
Hull,-,2,"1,613",8,526,"2,147"
Hull,-,3,"1,744",22,638,"2,404"
Marshfield,-,1,"1,968",0,578,"2,546"
Marshfield,-,2,"1,684",0,520,"2,204"
Marshfield,-,2A,197,0,92,289
Marshfield,-,3,"2,004",0,601,"2,605"
Marshfield,-,4,"1,699",0,523,"2,222"
Marshfield,-,5,"1,754",0,569,"2,323"
Marshfield,-,6,"2,152",0,652,"2,804"
Marshfield,-,7,"2,003",0,576,"2,579"
Norwell,-,1,"1,705",21,507,"2,233"
Norwell,-,2,"1,925",40,576,"2,541"
Norwell,-,3,"1,727",38,616,"2,381"
Scituate,-,1,"1,697",9,547,"2,253"
Scituate,-,2,"1,702",14,540,"2,256"
Scituate,-,3,"1,666",6,521,"2,193"
Scituate,-,4,"1,782",6,580,"2,368"
Scituate,-,5,"1,580",17,542,"2,139"
Scituate,-,6,"1,773",3,590,"2,366"
Weymouth,-,1,"1,389",32,360,"1,781"
Weymouth,-,2,"1,556",23,459,"2,038"
Weymouth,-,3,"1,661",18,350,"2,029"
Weymouth,-,4,"1,354",21,319,"1,694"
Weymouth,-,5,"1,312",34,351,"1,697"
Weymouth,-,6,"1,618",25,392,"2,035"
Weymouth,-,7,"1,219",28,293,"1,540"
Weymouth,-,8,"1,323",21,359,"1,703"
Weymouth,-,9,977,13,243,"1,233"
Weymouth,-,9A,392,9,106,507
Weymouth,-,10,"1,146",21,319,"1,486"
Weymouth,-,11,"1,147",25,302,"1,474"
Weymouth,-,12,"1,597",20,385,"2,002"
Weymouth,-,13,903,23,287,"1,213"
Weymouth,-,14,"1,619",25,430,"2,074"
Weymouth,-,15,"1,601",15,351,"1,967"
Weymouth,-,16,"1,776",27,464,"2,267"
Weymouth,-,17,"1,158",24,314,"1,496"
Weymouth,-,18,"1,189",20,356,"1,565"
TOTALS,,,"82,720",935,"25,443","109,098"
