City/Town,Ward,Pct,"Cindy F. Friedman","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Arlington,-,1,787,17,184,988
Arlington,-,2,"1,104",6,273,"1,383"
Arlington,-,3,"1,079",4,229,"1,312"
Arlington,-,4,994,10,237,"1,241"
Arlington,-,5,"1,140",12,252,"1,404"
Arlington,-,6,992,2,265,"1,259"
Arlington,-,7,"1,032",3,261,"1,296"
Arlington,-,8,"1,118",4,307,"1,429"
Arlington,-,9,887,8,224,"1,119"
Arlington,-,10,"1,170",6,257,"1,433"
Arlington,-,11,"1,168",8,313,"1,489"
Arlington,-,12,"1,251",10,271,"1,532"
Arlington,-,13,"1,070",14,347,"1,431"
Arlington,-,14,"1,001",4,228,"1,233"
Arlington,-,15,"1,005",7,265,"1,277"
Arlington,-,16,"1,080",2,272,"1,354"
Arlington,-,17,948,4,253,"1,205"
Arlington,-,18,"1,047",10,314,"1,371"
Arlington,-,19,"1,116",1,239,"1,356"
Arlington,-,20,"1,042",3,252,"1,297"
Arlington,-,21,"1,113",7,235,"1,355"
Billerica,-,1,"1,055",37,480,"1,572"
Billerica,-,2,"1,420",58,629,"2,107"
Billerica,-,3,"1,337",46,712,"2,095"
Billerica,-,4,"1,172",42,605,"1,819"
Billerica,-,5,"1,533",54,829,"2,416"
Billerica,-,6,"1,192",36,554,"1,782"
Billerica,-,7,"1,279",50,589,"1,918"
Billerica,-,8,"1,317",45,631,"1,993"
Billerica,-,9,"1,424",53,721,"2,198"
Billerica,-,10,"1,487",75,774,"2,336"
Billerica,-,11,"1,113",51,571,"1,735"
Billerica,-,12,"1,257",31,622,"1,910"
Burlington,-,1,"1,421",54,897,"2,372"
Burlington,-,2,"1,007",28,416,"1,451"
Burlington,-,3,"1,381",56,696,"2,133"
Burlington,-,4,"1,167",37,494,"1,698"
Burlington,-,5,"1,608",58,767,"2,433"
Burlington,-,6,"1,546",51,755,"2,352"
Burlington,-,7,"1,451",44,666,"2,161"
Lexington,-,1,"1,454",19,473,"1,946"
Lexington,-,2,"1,738",30,490,"2,258"
Lexington,-,4,"1,583",13,496,"2,092"
Lexington,-,5,"1,545",12,522,"2,079"
Lexington,-,6,"1,625",16,548,"2,189"
Lexington,-,7,"1,562",14,498,"2,074"
Woburn,1,1,843,2,494,"1,339"
Woburn,1,2,898,12,498,"1,408"
Woburn,1,2A,57,0,30,87
Woburn,2,1,"1,046",7,645,"1,698"
Woburn,2,2,921,2,427,"1,350"
Woburn,3,1,"1,002",7,554,"1,563"
Woburn,3,2,"1,073",12,785,"1,870"
Woburn,4,1,"1,019",3,691,"1,713"
Woburn,4,2,892,2,504,"1,398"
Woburn,5,1,"1,096",3,486,"1,585"
Woburn,5,2,926,9,576,"1,511"
Woburn,6,1,673,3,380,"1,056"
Woburn,6,2,"1,026",5,602,"1,633"
Woburn,7,1,"1,020",8,799,"1,827"
Woburn,7,2,"1,150",8,872,"2,030"
TOTALS,,,"70,460","1,235","29,256","100,951"
