City/Town,Ward,Pct,"Nicholas P. Collins","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,15,0,0,0,0
Boston,3,7,897,9,249,"1,155"
Boston,3,8,844,17,265,"1,126"
Boston,3,13A,0,0,0,0
Boston,3,14,689,13,336,"1,038"
Boston,3,15,909,18,193,"1,120"
Boston,3,16,"1,136",19,299,"1,454"
Boston,4,1,849,13,258,"1,120"
Boston,4,2,734,30,226,990
Boston,4,3,"1,012",21,297,"1,330"
Boston,4,4,"1,091",18,304,"1,413"
Boston,4,5,838,15,303,"1,156"
Boston,5,1,478,10,237,725
Boston,5,13,794,14,306,"1,114"
Boston,5,14,743,15,214,972
Boston,6,1,"1,213",29,255,"1,497"
Boston,6,2,790,19,176,985
Boston,6,3,945,15,236,"1,196"
Boston,6,4,764,15,171,950
Boston,6,5,986,11,235,"1,232"
Boston,6,6,"1,074",22,210,"1,306"
Boston,6,7,958,36,226,"1,220"
Boston,6,8,"1,120",24,282,"1,426"
Boston,6,9,"1,014",29,316,"1,359"
Boston,6,10,816,27,218,"1,061"
Boston,6,11,919,18,243,"1,180"
Boston,6,12,"1,576",45,478,"2,099"
Boston,6,12A,0,0,0,0
Boston,7,1,859,18,206,"1,083"
Boston,7,2,"1,001",18,241,"1,260"
Boston,7,3,"1,101",28,270,"1,399"
Boston,7,4,804,17,205,"1,026"
Boston,7,5,958,25,202,"1,185"
Boston,7,6,743,25,193,961
Boston,7,7,474,18,97,589
Boston,7,8,792,17,161,970
Boston,7,9,581,15,157,753
Boston,7,10,609,12,99,720
Boston,8,1,"1,055",18,318,"1,391"
Boston,8,2,753,10,162,925
Boston,8,6,151,7,48,206
Boston,8,6A,0,0,0,0
Boston,9,1,895,18,313,"1,226"
Boston,9,2,912,14,196,"1,122"
Boston,13,3,677,14,142,833
Boston,13,5,435,14,111,560
Boston,13,6,646,16,124,786
Boston,13,7,700,27,208,935
Boston,13,8,599,21,170,790
Boston,13,9,714,14,162,890
Boston,13,10,"1,034",15,277,"1,326"
Boston,15,1,672,13,156,841
Boston,15,2,411,14,98,523
Boston,15,3,288,10,80,378
Boston,15,4,819,36,149,"1,004"
Boston,15,5,500,13,124,637
Boston,15,6,387,21,162,570
Boston,15,7,437,8,105,550
Boston,15,8,363,14,151,528
Boston,15,9,399,6,169,574
Boston,16,1,480,16,168,664
Boston,16,2,528,18,149,695
Boston,16,3,617,6,201,824
Boston,16,4,643,17,172,832
Boston,16,5,766,26,207,999
Boston,16,6,848,28,336,"1,212"
Boston,16,7,738,16,222,976
Boston,16,8,"1,134",34,320,"1,488"
Boston,16,9,924,21,287,"1,232"
Boston,16,10,741,16,228,985
Boston,16,11,510,7,131,648
Boston,16,12,820,15,209,"1,044"
Boston,17,1,526,13,107,646
Boston,17,2,398,9,91,498
Boston,17,3,867,23,192,"1,082"
Boston,17,4,"1,079",20,246,"1,345"
Boston,17,5,400,13,73,486
Boston,17,6,701,19,138,858
Boston,17,7,347,7,60,414
Boston,17,8,567,17,108,692
Boston,17,9,511,6,111,628
Boston,17,10,736,13,160,909
Boston,17,11,295,4,65,364
Boston,17,12,538,10,110,658
Boston,17,13,706,23,192,921
Boston,17,14,749,22,179,950
TOTALS,,,"61,127","1,437","16,251","78,815"
