City/Town,Ward,Pct,"Liz Miranda","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,4,9,220,7,37,264
Boston,4,11,51,0,7,58
Boston,8,3,716,10,139,865
Boston,8,4,524,15,99,638
Boston,8,5,844,11,107,962
Boston,9,3,719,22,185,926
Boston,9,4,686,14,170,870
Boston,9,5,736,12,137,885
Boston,9,6,886,15,176,"1,077"
Boston,9,7,283,10,61,354
Boston,10,1,424,5,112,541
Boston,10,2,393,8,121,522
Boston,10,3,364,6,65,435
Boston,10,4,687,19,262,968
Boston,10,5,461,16,112,589
Boston,10,6,575,12,128,715
Boston,10,7,707,13,178,898
Boston,10,8,996,19,185,"1,200"
Boston,10,9,"1,200",8,201,"1,409"
Boston,11,1,513,6,71,590
Boston,11,2,796,15,129,940
Boston,11,3,594,11,91,696
Boston,11,4,"1,025",23,163,"1,211"
Boston,11,5,846,16,156,"1,018"
Boston,11,6,786,8,120,914
Boston,11,7,979,11,176,"1,166"
Boston,11,8,"1,454",12,205,"1,671"
Boston,11,9,707,4,128,839
Boston,11,10,825,4,125,954
Boston,12,1,776,13,128,917
Boston,12,2,958,27,141,"1,126"
Boston,12,3,437,10,78,525
Boston,12,4,555,11,96,662
Boston,12,5,308,8,64,380
Boston,12,6,459,4,66,529
Boston,12,7,"1,014",22,215,"1,251"
Boston,12,8,366,7,61,434
Boston,12,9,483,16,70,569
Boston,13,1,664,8,93,765
Boston,13,2,270,7,37,314
Boston,13,4,520,6,75,601
Boston,14,1,997,26,166,"1,189"
Boston,14,2,"1,098",23,164,"1,285"
Boston,14,3,273,6,50,329
Boston,14,4,617,15,101,733
Boston,14,5,462,12,70,544
Boston,14,6,501,14,79,594
Boston,14,7,486,13,63,562
Boston,14,8,582,8,102,692
Boston,14,9,528,16,88,632
Boston,14,10,575,14,119,708
Boston,14,11,554,9,105,668
Boston,14,12,337,7,44,388
Boston,14,13,535,8,54,597
Boston,14,14,567,10,84,661
Boston,18,1,"1,158",16,184,"1,358"
Boston,18,2,709,5,107,821
Boston,18,3,874,11,117,"1,002"
Boston,18,4,899,13,137,"1,049"
Boston,18,5,965,5,128,"1,098"
Boston,18,6,"1,188",24,173,"1,385"
Boston,18,7,867,25,164,"1,056"
Boston,18,8,"1,419",33,275,"1,727"
Boston,18,13,551,10,92,653
Boston,18,14,532,9,119,660
Boston,18,15,861,9,143,"1,013"
Boston,18,18,"1,028",22,275,"1,325"
Boston,18,21,"1,035",15,170,"1,220"
Boston,19,1,874,10,146,"1,030"
Boston,19,4,"1,198",4,204,"1,406"
Boston,19,6,"1,185",9,228,"1,422"
Boston,19,7,"1,015",16,180,"1,211"
Boston,19,12,795,9,185,989
TOTALS,,,"52,072",897,"9,286","62,255"
