City/Town,Ward,Pct,"Bruce E. Tarr","All Others",Blanks,"Total Votes Cast"
,,,Republican
Boxford,-,1,"1,434",27,367,"1,828"
Boxford,-,2,"1,480",17,436,"1,933"
Boxford,-,3,"1,296",18,388,"1,702"
Essex,-,1,"1,963",35,440,"2,438"
Georgetown,-,1,"1,496",18,392,"1,906"
Georgetown,-,2,"1,388",19,389,"1,796"
Georgetown,-,3,"1,474",12,387,"1,873"
Gloucester,1,1,"1,693",30,435,"2,158"
Gloucester,1,2,"1,381",16,337,"1,734"
Gloucester,2,1,"1,199",21,242,"1,462"
Gloucester,2,2,988,25,224,"1,237"
Gloucester,3,1,"1,120",23,225,"1,368"
Gloucester,3,2,"1,308",15,255,"1,578"
Gloucester,4,1,"1,540",15,285,"1,840"
Gloucester,4,2,"1,746",25,427,"2,198"
Gloucester,5,1,"1,729",14,380,"2,123"
Gloucester,5,2,"1,768",30,402,"2,200"
Groveland,-,1,"1,725",10,462,"2,197"
Groveland,-,2,"1,762",16,494,"2,272"
Hamilton,-,1,"1,861",14,570,"2,445"
Hamilton,-,2,"1,853",20,521,"2,394"
Ipswich,-,1,"1,618",27,583,"2,228"
Ipswich,-,2,"1,847",21,583,"2,451"
Ipswich,-,3,"1,946",18,524,"2,488"
Ipswich,-,4,"1,894",21,551,"2,466"
Manchester-by-the-Sea,-,1,"2,780",22,880,"3,682"
Middleton,-,1,"1,771",26,526,"2,323"
Middleton,-,2,"1,173",10,283,"1,466"
Middleton,-,3,"1,595",26,436,"2,057"
Newbury,-,1,"1,780",24,651,"2,455"
Newbury,-,2,"1,841",29,576,"2,446"
Newburyport,1,1,"1,019",28,583,"1,630"
Newburyport,2,1,"1,361",33,677,"2,071"
Newburyport,3,1,"1,430",47,775,"2,252"
Newburyport,4,1,"1,498",37,654,"2,189"
Newburyport,5,1,"1,376",29,486,"1,891"
Newburyport,6,1,"1,432",26,608,"2,066"
Newburyport,1,P,362,9,109,480
"N. Andover",-,7,"1,642",24,650,"2,316"
"N. Andover",-,8,"1,770",22,571,"2,363"
"N. Reading",-,1,"1,797",3,669,"2,469"
"N. Reading",-,2,"1,838",16,791,"2,645"
"N. Reading",-,3,"1,801",8,630,"2,439"
"N. Reading",-,4,"1,849",10,624,"2,483"
Rockport,-,1,"1,002",10,284,"1,296"
Rockport,-,2,"1,381",27,380,"1,788"
Rockport,-,3,"1,683",19,446,"2,148"
Rowley,-,1,"3,270",40,810,"4,120"
Salisbury,-,1,"1,436",2,470,"1,908"
Salisbury,-,2,"1,411",11,405,"1,827"
Salisbury,-,3,"1,454",2,366,"1,822"
Topsfield,-,1,"1,701",15,546,"2,262"
Topsfield,-,2,"1,533",17,516,"2,066"
Wenham,-,1,736,0,211,947
Wenham,-,1A,"1,292",8,381,"1,681"
"W. Newbury",-,1,"2,395",25,879,"3,299"
TOTALS,,,"88,918","1,112","27,172","117,202"
