City/Town,Ward,Pct,"Lydia Marie Edwards","Jeannamarie Tamas","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Boston,1,1,797,212,3,87,"1,099"
Boston,1,2,605,179,10,66,860
Boston,1,3,"1,614",404,11,183,"2,212"
Boston,1,4,647,157,7,67,878
Boston,1,5,700,181,2,77,960
Boston,1,6,568,140,7,82,797
Boston,1,7,631,172,8,64,875
Boston,1,8,787,192,10,99,"1,088"
Boston,1,9,573,163,5,63,804
Boston,1,10,317,111,3,47,478
Boston,1,11,688,278,7,108,"1,081"
Boston,1,12,589,302,13,106,"1,010"
Boston,1,13,878,320,8,135,"1,341"
Boston,1,14,390,195,9,88,682
Boston,3,1,856,356,9,129,"1,350"
Boston,3,2,873,383,5,140,"1,401"
Boston,3,3,586,218,2,63,869
Boston,3,4,671,217,2,87,977
Boston,3,5,942,226,3,119,"1,290"
Boston,3,6,640,184,1,79,904
Boston,3,9,610,151,2,87,850
Boston,3,10,"1,058",305,7,99,"1,469"
Boston,3,11,757,267,1,91,"1,116"
Boston,3,12,896,230,2,152,"1,280"
Boston,3,13,567,250,0,103,920
Boston,3,17,669,164,3,82,918
Boston,4,6,614,183,1,139,937
Boston,4,7,583,109,2,94,788
Boston,4,8,605,126,4,90,825
Boston,5,3,"1,057",317,3,147,"1,524"
Boston,5,4,672,111,1,61,845
Boston,5,5,677,240,2,118,"1,037"
Boston,5,6,773,299,2,144,"1,218"
Boston,5,7,"1,053",324,1,174,"1,552"
Boston,5,8,907,292,3,133,"1,335"
Boston,5,9,897,268,1,136,"1,302"
Boston,5,11,446,105,0,50,601
Revere,1,1,612,301,5,163,"1,081"
Revere,1,2,673,325,6,173,"1,177"
Revere,1,3,493,231,5,143,872
Revere,2,1,457,196,5,91,749
Revere,2,2,606,238,8,124,976
Revere,2,3,187,70,3,63,323
Revere,2,3A,50,22,1,21,94
Revere,3,1,446,284,6,174,910
Revere,3,2,477,297,6,193,973
Revere,3,3,502,258,7,171,938
Revere,4,1,612,344,8,204,"1,168"
Revere,4,2,457,314,2,151,924
Revere,4,3,574,340,5,217,"1,136"
Revere,5,1,465,317,4,164,950
Revere,5,1A,349,184,0,110,643
Revere,5,2,658,305,8,160,"1,131"
Revere,5,3,502,292,2,179,975
Revere,6,1,576,460,9,249,"1,294"
Revere,6,2,552,466,8,257,"1,283"
Revere,6,3,526,305,4,161,996
Winthrop,-,1,770,715,3,159,"1,647"
Winthrop,-,2,749,754,3,154,"1,660"
Winthrop,-,3,877,573,4,134,"1,588"
Winthrop,-,4,608,457,3,142,"1,210"
Winthrop,-,5,855,733,1,179,"1,768"
Winthrop,-,6,864,569,5,140,"1,578"
TOTALS,,,"41,690","17,681",281,"7,865","67,517"
