City/Town,Ward,Pct,"Stephen F. Lynch","Robert G. Burke","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Canton,-,4,"1,268",691,1,123,"2,083"
Canton,-,5,"1,337",696,2,94,"2,129"
Canton,-,6,"1,285",585,1,95,"1,966"
Canton,-,7,"1,413",617,0,110,"2,140"
Dedham,-,1,"1,443",528,3,143,"2,117"
Dedham,-,2,"1,511",685,3,120,"2,319"
Dedham,-,3,"1,245",515,3,88,"1,851"
Dedham,-,4,"1,376",580,1,104,"2,061"
Dedham,-,5,"1,469",704,5,91,"2,269"
Dedham,-,6,"1,444",592,5,114,"2,155"
Dedham,-,7,"1,471",810,3,123,"2,407"
"E. Bridgewater",-,1,"1,059",980,3,119,"2,161"
"E. Bridgewater",-,2,"1,135",968,3,97,"2,203"
"E. Bridgewater",-,3,"1,116","1,024",1,99,"2,240"
"E. Bridgewater",-,4,"1,058",909,0,89,"2,056"
Easton,-,1,"1,414",840,3,119,"2,376"
Easton,-,2,"1,375",767,1,126,"2,269"
Easton,-,3,547,345,2,49,943
Easton,-,4A,608,408,0,63,"1,079"
Easton,-,4B,715,457,0,64,"1,236"
Easton,-,5,"1,277",684,4,93,"2,058"
Easton,-,6,"1,182",903,1,140,"2,226"
Easton,-,7,"1,277",779,2,91,"2,149"
Hingham,-,1,"1,456",639,1,78,"2,174"
Hingham,-,2,"1,538",688,6,80,"2,312"
Hingham,-,3,"1,390",672,4,71,"2,137"
Hingham,-,4,"1,491",693,3,99,"2,286"
Hingham,-,5,"1,349",829,2,92,"2,272"
Hingham,-,6,"1,391",673,2,91,"2,157"
Hingham,-,7,785,457,0,59,"1,301"
Hingham,-,7A,931,219,0,60,"1,210"
Holbrook,-,1,988,413,1,68,"1,470"
Holbrook,-,2,942,543,0,75,"1,560"
Holbrook,-,3,962,471,4,76,"1,513"
Holbrook,-,4,938,459,1,63,"1,461"
Hull,-,1,"1,683",590,1,93,"2,367"
Hull,-,2,"1,344",728,2,73,"2,147"
Hull,-,3,"1,645",682,2,75,"2,404"
Milton,-,3,"1,345",363,2,103,"1,813"
Milton,-,4,804,198,1,49,"1,052"
Milton,-,6,"1,256",453,3,101,"1,813"
Milton,-,7,"1,155",416,6,100,"1,677"
Milton,-,8,"1,303",490,7,97,"1,897"
Milton,-,9,"1,239",539,6,124,"1,908"
Norwood,-,1,"1,299",522,3,84,"1,908"
Norwood,-,2,"1,203",528,1,66,"1,798"
Norwood,-,3,"1,292",546,2,106,"1,946"
Norwood,-,4,"1,400",611,0,97,"2,108"
Norwood,-,5,886,346,2,75,"1,309"
Norwood,-,6,902,486,2,78,"1,468"
Norwood,-,7,"1,205",570,5,101,"1,881"
Norwood,-,8,"1,313",591,4,88,"1,996"
Norwood,-,9,"1,223",628,1,78,"1,930"
Quincy,1,1,869,304,3,62,"1,238"
Quincy,1,2,716,288,1,114,"1,119"
Quincy,1,3,"1,017",251,1,67,"1,336"
Quincy,1,4,"1,329",591,5,103,"2,028"
Quincy,1,5,"1,350",619,6,101,"2,076"
Quincy,2,1,744,306,5,63,"1,118"
Quincy,2,2,850,279,3,67,"1,199"
Quincy,2,3,570,235,1,62,868
Quincy,2,4,806,322,2,88,"1,218"
Quincy,2,5,918,341,2,69,"1,330"
Quincy,3,1,"1,265",422,4,90,"1,781"
Quincy,3,2,992,323,7,67,"1,389"
Quincy,3,3,794,331,5,56,"1,186"
Quincy,3,4,"1,165",447,4,90,"1,706"
Quincy,3,5,823,255,4,80,"1,162"
Quincy,4,1,984,359,3,65,"1,411"
Quincy,4,2,"1,139",419,6,86,"1,650"
Quincy,4,3,"1,260",514,3,109,"1,886"
Quincy,4,4,822,245,1,58,"1,126"
Quincy,4,5,821,321,3,47,"1,192"
Quincy,5,1,490,170,2,33,695
Quincy,5,1A,332,105,3,31,471
Quincy,5,2,909,259,5,81,"1,254"
Quincy,5,3,"1,319",408,6,96,"1,829"
Quincy,5,4,826,305,0,66,"1,197"
Quincy,5,5,"1,127",406,3,74,"1,610"
Quincy,6,1,926,338,5,81,"1,350"
Quincy,6,2,894,279,3,71,"1,247"
Quincy,6,3,"1,094",439,2,88,"1,623"
Quincy,6,4,805,263,5,82,"1,155"
Quincy,6,5,"1,487",583,8,97,"2,175"
Stoughton,-,1,"1,218",472,1,98,"1,789"
Stoughton,-,2,"1,049",463,1,116,"1,629"
Stoughton,-,2A,163,57,0,9,229
Stoughton,-,3,"1,371",586,3,113,"2,073"
Stoughton,-,4,"1,339",704,2,122,"2,167"
Stoughton,-,4A,130,40,0,11,181
Stoughton,-,5,908,475,2,100,"1,485"
Stoughton,-,5A,79,42,0,14,135
Stoughton,-,6,"1,313",535,3,102,"1,953"
Stoughton,-,7,"1,171",495,2,68,"1,736"
Stoughton,-,7A,73,25,0,3,101
Stoughton,-,8,856,359,3,87,"1,305"
Stoughton,-,8A,47,35,2,4,88
Walpole,-,1,"1,212",592,3,59,"1,866"
Walpole,-,2,"1,220",794,1,96,"2,111"
Walpole,-,2A,26,12,0,2,40
Walpole,-,3,"1,486",807,3,113,"2,409"
Walpole,-,4,"1,033",553,3,55,"1,644"
Walpole,-,5,992,630,3,61,"1,686"
Walpole,-,5A,28,15,0,4,47
Walpole,-,6,"1,315",678,1,82,"2,076"
Walpole,-,7,"1,214",758,1,83,"2,056"
Walpole,-,8,"1,188",777,2,100,"2,067"
"W. Bridgewater",-,1,"1,163","1,038",0,120,"2,321"
"W. Bridgewater",-,2,"1,184","1,009",0,119,"2,312"
Westwood,-,1,"1,375",613,0,84,"2,072"
Westwood,-,2,"1,333",685,0,110,"2,128"
Westwood,-,3,"1,217",611,2,85,"1,915"
Westwood,-,4,"1,095",718,0,93,"1,906"
Westwood,-,5,"1,349",714,4,118,"2,185"
Weymouth,-,1,"1,129",565,10,77,"1,781"
Weymouth,-,2,"1,291",670,0,77,"2,038"
Weymouth,-,3,"1,225",732,3,69,"2,029"
Weymouth,-,4,"1,112",522,4,56,"1,694"
Weymouth,-,5,"1,165",471,3,58,"1,697"
Weymouth,-,6,"1,346",610,1,78,"2,035"
Weymouth,-,7,969,520,1,50,"1,540"
Weymouth,-,8,"1,092",544,0,67,"1,703"
Weymouth,-,9,774,410,2,47,"1,233"
Weymouth,-,9A,298,184,0,25,507
Weymouth,-,10,938,489,3,56,"1,486"
Weymouth,-,11,945,479,2,48,"1,474"
Weymouth,-,12,"1,266",657,2,77,"2,002"
Weymouth,-,13,809,351,1,52,"1,213"
Weymouth,-,14,"1,360",625,0,89,"2,074"
Weymouth,-,15,"1,209",686,5,67,"1,967"
Weymouth,-,16,"1,435",722,1,109,"2,267"
Weymouth,-,17,953,481,1,61,"1,496"
Weymouth,-,18,"1,080",421,0,64,"1,565"
Whitman,-,1,"1,341",928,1,106,"2,376"
Whitman,-,2,"1,107",860,2,83,"2,052"
Whitman,-,3,"1,198",877,1,91,"2,167"
Whitman,-,4,"1,211",825,3,89,"2,128"
TOTALS,,,"265,432","110,638",760,"20,937","397,767"
