City/Town,Ward,Pct,"Katherine M. Clark","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Medford,8,1,"1,498",45,413,"1,956"
Medford,8,2,"1,315",38,399,"1,752"
Melrose,1,1,"1,039",31,279,"1,349"
Melrose,1,2,865,29,272,"1,166"
Melrose,2,1,946,22,374,"1,342"
Melrose,2,2,906,29,307,"1,242"
Melrose,3,1,897,32,244,"1,173"
Melrose,3,2,926,32,295,"1,253"
Melrose,4,1,913,18,256,"1,187"
Melrose,4,2,926,36,462,"1,424"
Melrose,5,1,750,18,191,959
Melrose,5,2,722,16,179,917
Melrose,6,1,897,28,250,"1,175"
Melrose,6,2,994,47,386,"1,427"
Melrose,7,1,949,29,307,"1,285"
Melrose,7,2,970,45,387,"1,402"
Natick,-,1,"1,051",9,290,"1,350"
Natick,-,2,"1,571",12,478,"2,061"
Natick,-,3,"1,578",22,504,"2,104"
Natick,-,4,"1,557",19,409,"1,985"
Natick,-,5,"1,587",22,510,"2,119"
Natick,-,6,"1,522",13,474,"2,009"
Natick,-,7,"1,914",10,499,"2,423"
Natick,-,8,"1,719",12,522,"2,253"
Natick,-,9,"1,754",15,495,"2,264"
Natick,-,10,"1,964",29,587,"2,580"
Revere,1,1,744,27,310,"1,081"
Revere,1,2,811,23,343,"1,177"
Revere,1,3,600,22,250,872
Revere,2,1,561,21,167,749
Revere,2,2,709,33,234,976
Revere,2,3,221,13,89,323
Revere,2,3A,65,2,27,94
Revere,3,1,586,30,294,910
Revere,3,2,606,36,331,973
Revere,3,3,619,30,289,938
Revere,4,1,778,32,358,"1,168"
Revere,4,2,600,28,296,924
Revere,4,3,698,37,401,"1,136"
Revere,5,1,610,24,316,950
Revere,5,1A,420,8,215,643
Revere,5,2,772,33,326,"1,131"
Revere,5,3,640,30,305,975
Revere,6,1,753,53,488,"1,294"
Revere,6,2,753,41,489,"1,283"
Revere,6,3,670,39,287,996
Stoneham,-,1,"1,228",1,596,"1,825"
Stoneham,-,2,"1,370",4,572,"1,946"
Stoneham,-,3,"1,351",6,754,"2,111"
Stoneham,-,4,"1,179",3,648,"1,830"
Stoneham,-,5,"1,313",8,736,"2,057"
Stoneham,-,6,"1,461",9,689,"2,159"
Stoneham,-,7,"1,134",17,606,"1,757"
Sudbury,-,1,"1,606",40,459,"2,105"
Sudbury,-,2,"1,564",37,390,"1,991"
Sudbury,-,3,"1,346",39,414,"1,799"
Sudbury,-,4,"1,615",41,466,"2,122"
Sudbury,-,5,"1,459",25,442,"1,926"
Sudbury,-,6,"1,522",51,427,"2,000"
Waltham,1,1,"1,475",0,574,"2,049"
Waltham,1,2,"1,347",0,641,"1,988"
Waltham,1,2A,11,0,5,16
Waltham,2,1,"1,438",0,488,"1,926"
Waltham,2,2,"1,141",0,247,"1,388"
Waltham,3,1,"1,383",0,704,"2,087"
Waltham,3,2,"1,431",0,514,"1,945"
Waltham,3,2A,24,0,12,36
Waltham,4,1,"1,435",0,572,"2,007"
Waltham,4,1A,28,0,5,33
Waltham,4,2,274,0,90,364
Waltham,5,1,"1,105",0,427,"1,532"
Waltham,5,2,792,0,190,982
Waltham,5,2A,139,0,31,170
Waltham,6,1,"1,188",0,319,"1,507"
Waltham,6,2,725,0,238,963
Waltham,6,2A,152,0,58,210
Waltham,7,1,"1,361",0,437,"1,798"
Waltham,7,2,478,0,136,614
Waltham,8,1,"1,160",0,306,"1,466"
Waltham,8,2,"1,175",0,324,"1,499"
Waltham,8,2A,12,0,5,17
