City/Town,Ward,Pct,"Bill Keating","Dan Sullivan","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Acushnet,-,1,834,996,3,97,"1,930"
Acushnet,-,2,751,"1,054",109,4,"1,918"
Acushnet,-,2A,99,121,0,13,233
Acushnet,-,3,924,"1,153",0,113,"2,190"
Aquinnah,-,1,293,39,0,19,351
Barnstable,-,1,"1,606",948,1,81,"2,636"
Barnstable,-,2,"1,331","1,024",1,54,"2,410"
Barnstable,-,3,"1,015",720,4,77,"1,816"
Barnstable,-,4,"1,235",889,2,63,"2,189"
Barnstable,-,5,"1,337","1,276",2,82,"2,697"
Barnstable,-,6,"1,313","1,070",3,72,"2,458"
Barnstable,-,7,"1,513","1,106",1,80,"2,700"
Barnstable,-,8,895,603,6,67,"1,571"
Barnstable,-,9,518,313,1,41,873
Barnstable,-,10,"1,119",976,4,80,"2,179"
Barnstable,-,11,"1,301","1,126",2,55,"2,484"
Barnstable,-,12,"1,291","1,098",3,62,"2,454"
Barnstable,-,13,879,589,1,61,"1,530"
Bourne,-,1,939,959,1,86,"1,985"
Bourne,-,2,984,914,1,63,"1,962"
Bourne,-,3,548,465,1,33,"1,047"
Bourne,-,4,"1,234",802,3,81,"2,120"
Bourne,-,5,992,663,1,58,"1,714"
Bourne,-,5A,197,143,0,10,350
Bourne,-,6,903,524,0,37,"1,464"
Bourne,-,7,884,677,0,69,"1,630"
Brewster,-,1,"1,646",912,0,72,"2,630"
Brewster,-,2,"1,519",752,1,67,"2,339"
Brewster,-,3,"1,505",821,1,53,"2,380"
Bridgewater,-,1,892,976,0,97,"1,965"
Bridgewater,-,2,901,917,1,97,"1,916"
Bridgewater,-,3,"1,079","1,109",1,137,"2,326"
Bridgewater,-,4,454,544,2,62,"1,062"
Bridgewater,-,5,135,78,0,15,228
Bridgewater,-,6,760,640,0,75,"1,475"
Bridgewater,-,7,947,878,1,114,"1,940"
Bridgewater,-,8,912,646,0,101,"1,659"
Bridgewater,-,9,990,987,0,109,"2,086"
Carver,-,1,977,"1,279",25,101,"2,382"
Carver,-,2,922,"1,249",11,109,"2,291"
Carver,-,3,"1,146","1,233",14,118,"2,511"
Chatham,-,1,"1,463",951,2,66,"2,482"
Chatham,-,2,"1,406",943,1,69,"2,419"
Chilmark,-,1,777,151,0,17,945
Cohasset,-,1,"1,027",655,1,66,"1,749"
Cohasset,-,2,"1,058",734,1,72,"1,865"
Cohasset,-,3,"1,072",670,1,74,"1,817"
Dartmouth,-,1,"1,005","1,271",1,158,"2,435"
Dartmouth,-,2,817,741,2,108,"1,668"
Dartmouth,-,3,176,123,0,15,314
Dartmouth,-,4,"1,032","1,002",2,126,"2,162"
Dartmouth,-,5,"1,123",921,0,121,"2,165"
Dartmouth,-,6,978,885,0,136,"1,999"
Dartmouth,-,7,"1,183","1,031",1,147,"2,362"
Dartmouth,-,8,"1,523",987,2,138,"2,650"
Dartmouth,-,9,"1,569","1,080",0,145,"2,794"
Dennis,-,1,"1,293",979,0,57,"2,329"
Dennis,-,2,"1,369",922,1,88,"2,380"
Dennis,-,3,903,609,0,61,"1,573"
Dennis,-,4,"1,209",902,1,65,"2,177"
Dennis,-,5,"1,072",740,3,42,"1,857"
Duxbury,-,1,"1,071",859,1,75,"2,006"
Duxbury,-,2,962,775,1,67,"1,805"
Duxbury,-,3,"1,013",715,3,52,"1,783"
Duxbury,-,4,974,742,1,62,"1,779"
Duxbury,-,5,966,714,0,44,"1,724"
Duxbury,-,6,934,712,2,52,"1,700"
Eastham,-,1,"2,832","1,204",2,126,"4,164"
Edgartown,-,1,"1,946",847,0,143,"2,936"
Fairhaven,-,1,959,575,3,77,"1,614"
Fairhaven,-,2,872,639,1,62,"1,574"
Fairhaven,-,3,683,618,2,77,"1,380"
Fairhaven,-,4,871,717,0,92,"1,680"
Fairhaven,-,5,863,739,1,99,"1,702"
Fairhaven,-,6,791,801,0,86,"1,678"
Falmouth,-,1,"1,981",512,1,83,"2,577"
Falmouth,-,2,"1,563",715,0,90,"2,368"
Falmouth,-,3,"1,444",864,1,86,"2,395"
Falmouth,-,4,"1,481",977,2,88,"2,548"
Falmouth,-,5,"1,688",941,3,97,"2,729"
Falmouth,-,6,"1,677",854,2,97,"2,630"
Falmouth,-,7,"1,380",943,1,92,"2,416"
Falmouth,-,8,"1,401",933,0,114,"2,448"
Falmouth,-,9,"1,228",819,2,92,"2,141"
Gosnold,-,1,45,22,0,3,70
Halifax,-,1,"1,056","1,371",104,0,"2,531"
Halifax,-,2,"1,019","1,221",0,76,"2,316"
Halifax,-,2A,32,58,0,3,93
Hanover,-,1,"1,254","1,297",2,114,"2,667"
Hanover,-,2,"1,145","1,150",5,101,"2,401"
Hanover,-,3,"1,080","1,056",1,98,"2,235"
Hanover,-,4,"1,206","1,212",2,95,"2,515"
Hanson,-,1,"1,025","1,149",2,91,"2,267"
Hanson,-,2,"1,127","1,233",0,88,"2,448"
Hanson,-,3,937,"1,127",1,91,"2,156"
Harwich,-,1,"1,560",964,2,74,"2,600"
Harwich,-,2,"1,406",868,0,54,"2,328"
Harwich,-,3,"1,325",920,0,62,"2,307"
Harwich,-,4,"1,244",841,0,45,"2,130"
Kingston,-,1,"1,087",985,0,91,"2,163"
Kingston,-,2,"1,129","1,097",2,85,"2,313"
Kingston,-,3,"1,086","1,090",1,83,"2,260"
Kingston,-,4,"1,043",912,2,67,"2,024"
Marion,-,1,"2,190","1,333",3,154,"3,680"
Marshfield,-,1,"1,245","1,205",0,96,"2,546"
Marshfield,-,2,"1,126",991,0,87,"2,204"
Marshfield,-,2A,178,100,0,11,289
Marshfield,-,3,"1,404","1,099",0,102,"2,605"
Marshfield,-,4,"1,146",993,0,83,"2,222"
Marshfield,-,5,"1,230","1,006",0,87,"2,323"
Marshfield,-,6,"1,430","1,278",0,96,"2,804"
Marshfield,-,7,"1,379","1,120",0,80,"2,579"
Mashpee,-,1,"1,272",730,0,56,"2,058"
Mashpee,-,2,"1,014",791,1,61,"1,867"
Mashpee,-,3,996,834,0,64,"1,894"
Mashpee,-,4,"1,157",707,0,58,"1,922"
Mashpee,-,5,"1,485","1,182",0,90,"2,757"
Mattapoisett,-,1,"1,341","1,041",2,83,"2,467"
Mattapoisett,-,2,"1,400","1,025",1,68,"2,494"
Middleborough,-,1,"1,236","1,304",0,118,"2,658"
Middleborough,-,2,861,814,2,98,"1,775"
Middleborough,-,3,859,"1,155",5,98,"2,117"
Middleborough,-,4,740,751,3,93,"1,587"
Middleborough,-,5,731,"1,045",0,95,"1,871"
Middleborough,-,5A,152,238,0,24,414
Middleborough,-,6,858,"1,113",3,117,"2,091"
Middleborough,-,7,639,761,0,80,"1,480"
Middleborough,-,7A,193,329,1,21,544
Nantucket,-,1,"4,698","2,181",5,290,"7,174"
"New Bedford",1,A,594,530,2,57,"1,183"
"New Bedford",1,A1,71,39,0,13,123
"New Bedford",1,B,690,623,1,78,"1,392"
"New Bedford",1,B1,55,39,0,10,104
"New Bedford",1,C,461,424,2,63,950
"New Bedford",1,C1,96,81,2,11,190
"New Bedford",1,D,759,738,4,92,"1,593"
"New Bedford",1,E,718,583,0,82,"1,383"
"New Bedford",1,F,703,643,4,77,"1,427"
"New Bedford",2,A,181,108,1,25,315
"New Bedford",2,B,249,220,2,31,502
"New Bedford",2,C,308,239,2,44,593
"New Bedford",2,D,573,369,4,66,"1,012"
"New Bedford",2,E,599,570,3,62,"1,234"
"New Bedford",2,F,485,379,0,44,908
"New Bedford",3,A,365,195,1,23,584
"New Bedford",3,B,350,204,2,60,616
"New Bedford",3,C,256,213,4,28,501
"New Bedford",3,D,417,302,0,56,775
"New Bedford",3,E,619,425,1,57,"1,102"
"New Bedford",3,F,519,334,1,82,936
"New Bedford",3,F1,252,168,4,22,446
"New Bedford",4,A,203,88,0,21,312
"New Bedford",4,A1,228,91,1,19,339
"New Bedford",4,B,606,288,3,60,957
"New Bedford",4,C,666,235,5,70,976
"New Bedford",4,D,506,304,2,62,874
"New Bedford",4,E,505,301,3,52,861
"New Bedford",4,F,641,305,1,68,"1,015"
"New Bedford",5,A,721,339,62,3,"1,125"
"New Bedford",5,B,639,334,0,73,"1,046"
"New Bedford",5,C,584,384,3,63,"1,034"
"New Bedford",5,D,772,353,5,60,"1,190"
"New Bedford",5,E,848,479,1,68,"1,396"
"New Bedford",5,F,812,504,2,78,"1,396"
"New Bedford",6,A,652,493,2,66,"1,213"
"New Bedford",6,B,533,375,0,51,959
"New Bedford",6,C,294,226,1,52,573
"New Bedford",6,D,241,166,1,30,438
"New Bedford",6,E,290,206,0,59,555
"New Bedford",6,F,443,295,6,64,808
Norwell,-,1,"1,196",954,0,83,"2,233"
Norwell,-,2,"1,278","1,139",2,122,"2,541"
Norwell,-,3,"1,305",968,2,106,"2,381"
"Oak Bluffs",-,1,"2,210",794,5,121,"3,130"
Orleans,-,1,"1,630",690,1,82,"2,403"
Orleans,-,2,"1,481",852,1,85,"2,419"
Pembroke,-,1,"1,209","1,186",4,79,"2,478"
Pembroke,-,2,"1,024","1,085",2,86,"2,197"
Pembroke,-,3,"1,089","1,139",2,90,"2,320"
Pembroke,-,3A,14,4,0,0,18
Pembroke,-,4,"1,139","1,162",4,102,"2,407"
Pembroke,-,5,"1,095","1,026",3,60,"2,184"
Plymouth,-,1,913,655,0,67,"1,635"
Plymouth,-,2,"1,037",826,1,82,"1,946"
Plymouth,-,3,"1,152",777,0,80,"2,009"
Plymouth,-,4,"1,093",858,1,66,"2,018"
Plymouth,-,5,"1,070",891,0,65,"2,026"
Plymouth,-,6,"1,276","1,026",1,80,"2,383"
Plymouth,-,7,"1,142","1,028",2,82,"2,254"
Plymouth,-,8,"1,198","1,186",2,78,"2,464"
Plymouth,-,9,939,"1,082",2,58,"2,081"
Plymouth,-,10,"1,175","1,114",1,76,"2,366"
Plymouth,-,11,"1,157","1,110",3,76,"2,346"
Plymouth,-,12,895,"1,042",0,64,"2,001"
Plymouth,-,13,"1,221","1,086",0,76,"2,383"
Plymouth,-,14,"1,073","1,328",0,56,"2,457"
Plymouth,-,15,"2,060","1,312",0,93,"3,465"
Plymouth,-,16,"1,415","1,045",0,70,"2,530"
Plymouth,-,17,"1,535","1,278",0,83,"2,896"
Plymouth,-,18,720,793,0,62,"1,575"
Plympton,-,1,879,"1,021",2,98,"2,000"
Provincetown,-,1,"2,400",198,5,68,"2,671"
Raynham,-,1,"1,034","1,052",0,165,"2,251"
Raynham,-,2,626,607,0,91,"1,324"
Raynham,-,4A,20,40,0,1,61
Rochester,-,1,"1,649","2,215",5,164,"4,033"
Rockland,-,1,968,728,2,69,"1,767"
Rockland,-,2,953,785,2,93,"1,833"
Rockland,-,3,750,573,1,50,"1,374"
Rockland,-,4,726,648,4,61,"1,439"
Rockland,-,5,787,770,5,69,"1,631"
Rockland,-,6,903,774,0,56,"1,733"
Sandwich,-,1,"1,465",981,1,69,"2,516"
Sandwich,-,2,"1,326",994,0,53,"2,373"
Sandwich,-,3,"1,186","1,009",2,62,"2,259"
Sandwich,-,4,"1,158","1,095",1,83,"2,337"
Sandwich,-,5,"1,106",953,1,81,"2,141"
Sandwich,-,6,"1,040","1,036",2,66,"2,144"
Scituate,-,1,"1,280",883,1,89,"2,253"
Scituate,-,2,"1,320",847,0,89,"2,256"
Scituate,-,3,"1,281",841,0,71,"2,193"
Scituate,-,4,"1,310",948,0,110,"2,368"
Scituate,-,5,"1,307",741,0,91,"2,139"
Scituate,-,6,"1,402",881,0,83,"2,366"
Tisbury,-,1,"2,020",574,1,105,"2,700"
Truro,-,1,"1,422",372,0,46,"1,840"
Wareham,-,1,"1,117",910,0,94,"2,121"
Wareham,-,2,"1,276",943,0,113,"2,332"
Wareham,-,3,"1,213",925,0,94,"2,232"
Wareham,-,4,"1,106",974,0,99,"2,179"
Wareham,-,5,"1,131","1,127",0,96,"2,354"
Wareham,-,6,970,957,0,84,"2,011"
Wellfleet,-,1,"1,871",546,5,95,"2,517"
"W. Tisbury",-,1,"1,756",368,2,79,"2,205"
Westport,-,A,878,"1,022",0,120,"2,020"
Westport,-,B,"1,182","1,060",2,132,"2,376"
Westport,-,C,817,"1,054",1,140,"2,012"
Westport,-,D,909,"1,005",0,122,"2,036"
Westport,-,E,"1,219","1,087",1,158,"2,465"
Yarmouth,-,1,"1,338",847,4,64,"2,253"
Yarmouth,-,2,"1,267",835,1,73,"2,176"
Yarmouth,-,3,880,691,2,56,"1,629"
Yarmouth,-,4,"1,080",765,3,79,"1,927"
Yarmouth,-,5,927,795,1,63,"1,786"
Yarmouth,-,6,"1,061",675,1,70,"1,807"
Yarmouth,-,7,"1,356",865,1,63,"2,285"
Yarmouth,-,8,753,579,0,43,"1,375"
Yarmouth,-,8A,140,118,1,10,269
TOTALS,,,"251,931","193,822",642,"18,702","465,097"
