City/Town,Ward,Pct,"Ayanna S. Pressley","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,868,38,193,"1,099"
Boston,1,2,685,38,137,860
Boston,1,3,"1,792",75,345,"2,212"
Boston,1,4,715,21,142,878
Boston,1,5,756,33,171,960
Boston,1,6,617,29,151,797
Boston,1,7,687,38,150,875
Boston,1,8,869,37,182,"1,088"
Boston,1,9,631,30,143,804
Boston,1,10,356,20,102,478
Boston,1,11,791,51,239,"1,081"
Boston,1,12,671,61,278,"1,010"
Boston,1,13,958,62,321,"1,341"
Boston,1,14,429,42,211,682
Boston,2,1,"1,091",72,381,"1,544"
Boston,2,2,960,64,360,"1,384"
Boston,2,3,"1,096",67,394,"1,557"
Boston,2,4,"1,022",64,300,"1,386"
Boston,2,5,"1,098",56,321,"1,475"
Boston,2,6,910,46,318,"1,274"
Boston,2,7,697,24,160,881
Boston,2,8,614,22,191,827
Boston,3,7,920,31,204,"1,155"
Boston,3,8,894,34,198,"1,126"
Boston,3,14,742,30,266,"1,038"
Boston,3,15,917,35,168,"1,120"
Boston,3,16,"1,197",37,220,"1,454"
Boston,4,1,890,29,201,"1,120"
Boston,4,2,733,68,189,990
Boston,4,3,"1,052",44,234,"1,330"
Boston,4,4,"1,145",38,230,"1,413"
Boston,4,5,896,36,224,"1,156"
Boston,4,6,653,37,247,937
Boston,4,7,643,13,132,788
Boston,4,8,663,22,140,825
Boston,4,9,222,6,36,264
Boston,4,10,238,7,33,278
Boston,4,11,49,0,9,58
Boston,4,12,215,11,39,265
Boston,5,1,567,17,141,725
Boston,5,2,756,16,130,902
Boston,5,9,992,52,258,"1,302"
Boston,5,10,559,23,108,690
Boston,5,12,589,23,82,694
Boston,5,13,820,40,254,"1,114"
Boston,5,14,760,28,184,972
Boston,5,15,641,28,152,821
Boston,6,12A,0,0,0,0
Boston,8,1,"1,122",35,234,"1,391"
Boston,8,2,774,18,133,925
Boston,8,3,754,19,92,865
Boston,8,4,545,16,77,638
Boston,8,5,841,19,102,962
Boston,8,6,160,8,38,206
Boston,9,1,992,30,204,"1,226"
Boston,9,2,953,34,135,"1,122"
Boston,9,3,764,15,147,926
Boston,9,4,745,16,109,870
Boston,9,5,788,7,90,885
Boston,9,6,921,21,135,"1,077"
Boston,9,7,292,10,52,354
Boston,10,1,448,11,82,541
Boston,10,2,428,9,85,522
Boston,10,3,374,10,51,435
Boston,10,4,754,21,193,968
Boston,10,5,480,21,88,589
Boston,10,6,595,19,101,715
Boston,10,7,781,13,104,898
Boston,10,8,"1,037",21,142,"1,200"
Boston,10,9,"1,242",17,150,"1,409"
Boston,11,1,541,8,41,590
Boston,11,2,836,16,88,940
Boston,11,3,617,12,67,696
Boston,11,4,"1,085",22,104,"1,211"
Boston,11,5,878,17,123,"1,018"
Boston,11,6,822,15,77,914
Boston,11,7,"1,024",16,126,"1,166"
Boston,11,8,"1,513",28,130,"1,671"
Boston,12,1,825,16,76,917
Boston,12,2,"1,017",21,88,"1,126"
Boston,12,3,471,12,42,525
Boston,12,4,587,8,67,662
Boston,12,5,340,3,37,380
Boston,12,6,480,3,46,529
Boston,12,7,"1,098",21,132,"1,251"
Boston,12,8,401,3,30,434
Boston,12,9,520,11,38,569
Boston,13,1,691,7,67,765
Boston,13,2,269,11,34,314
Boston,13,4,530,8,63,601
Boston,13,5,479,9,72,560
Boston,13,6,678,18,90,786
Boston,14,1,"1,029",25,135,"1,189"
Boston,14,2,"1,157",23,105,"1,285"
Boston,14,3,295,5,29,329
Boston,14,4,645,19,69,733
Boston,14,5,504,5,35,544
Boston,14,6,532,6,56,594
Boston,14,7,506,15,41,562
Boston,14,8,620,5,67,692
Boston,14,9,558,12,62,632
Boston,14,10,607,11,90,708
Boston,14,11,601,12,55,668
Boston,14,12,353,4,31,388
Boston,14,13,556,9,32,597
Boston,14,14,604,10,47,661
Boston,15,1,735,13,93,841
Boston,15,2,456,9,58,523
Boston,15,3,310,9,59,378
Boston,15,4,843,45,116,"1,004"
Boston,15,5,545,8,84,637
Boston,15,6,407,17,146,570
Boston,15,7,476,12,62,550
Boston,15,8,384,16,128,528
Boston,15,9,429,9,136,574
Boston,16,1,515,24,125,664
Boston,16,3,679,10,135,824
Boston,16,4,665,21,146,832
Boston,16,6,916,32,264,"1,212"
Boston,17,1,570,11,65,646
Boston,17,2,437,14,47,498
Boston,17,3,962,15,105,"1,082"
Boston,17,4,"1,143",27,175,"1,345"
Boston,17,5,445,7,34,486
Boston,17,6,755,24,79,858
Boston,17,7,374,12,28,414
Boston,17,8,610,15,67,692
Boston,17,9,556,10,62,628
Boston,17,10,821,7,81,909
Boston,17,11,318,4,42,364
Boston,17,12,595,9,54,658
Boston,17,14,803,24,123,950
Boston,18,1,"1,234",18,106,"1,358"
Boston,18,2,741,6,74,821
Boston,18,3,924,9,69,"1,002"
Boston,18,4,950,15,84,"1,049"
Boston,18,5,"1,010",10,78,"1,098"
Boston,18,6,"1,282",17,86,"1,385"
Boston,18,7,906,23,127,"1,056"
Boston,18,8,"1,497",35,195,"1,727"
Boston,18,9,898,29,206,"1,133"
Boston,18,10,"1,327",45,261,"1,633"
Boston,18,11,726,18,105,849
Boston,18,12,906,23,194,"1,123"
Boston,18,13,569,20,64,653
Boston,18,14,561,14,85,660
Boston,18,15,910,13,90,"1,013"
Boston,18,16,869,63,295,"1,227"
Boston,18,17,890,32,178,"1,100"
Boston,18,18,"1,091",31,203,"1,325"
Boston,18,19,"1,453",49,299,"1,801"
Boston,18,20,"1,064",58,384,"1,506"
Boston,18,21,"1,119",13,88,"1,220"
Boston,18,22,996,61,306,"1,363"
Boston,18,23,725,17,79,821
Boston,19,7,"1,060",21,130,"1,211"
Boston,19,10,"1,136",40,174,"1,350"
Boston,19,11,817,17,103,937
Boston,19,12,837,10,142,989
Boston,19,13,671,21,105,797
Boston,20,3,838,49,289,"1,176"
Boston,21,1,965,26,124,"1,115"
Boston,21,2,268,6,25,299
Boston,21,3,553,11,77,641
Boston,21,4,489,11,77,577
Boston,21,5,815,21,97,933
Boston,21,6,597,16,90,703
Boston,21,7,715,21,109,845
Boston,21,8,978,26,99,"1,103"
Boston,21,9,"1,178",34,145,"1,357"
Boston,21,10,791,23,131,945
Boston,21,11,949,21,133,"1,103"
Boston,21,12,751,20,194,965
Boston,21,13,955,40,357,"1,352"
Boston,21,14,587,6,95,688
Boston,21,15,734,16,88,838
Boston,21,16,885,28,200,"1,113"
Boston,22,1,"1,029",43,188,"1,260"
Boston,22,2,"1,201",34,231,"1,466"
Boston,22,3,"1,027",47,227,"1,301"
Boston,22,4,772,29,171,972
Boston,22,5,783,23,149,955
Boston,22,6,598,26,120,744
Boston,22,7,890,25,205,"1,120"
Boston,22,8,585,29,173,787
Boston,22,9,650,49,228,927
Boston,22,10,879,27,184,"1,090"
Boston,22,11,584,23,156,763
Boston,22,12,608,36,185,829
Boston,22,13,540,21,117,678
Cambridge,1,1,846,20,144,"1,010"
Cambridge,1,2,366,7,80,453
Cambridge,1,2A,34,1,3,38
Cambridge,1,3,"1,269",26,240,"1,535"
Cambridge,2,1,"1,379",20,234,"1,633"
Cambridge,2,2,"1,264",32,252,"1,548"
Cambridge,2,3,"1,159",23,203,"1,385"
Cambridge,2,3A,126,1,20,147
Cambridge,3,1,"1,186",11,174,"1,371"
Cambridge,3,2,"1,422",40,196,"1,658"
Cambridge,3,3,"1,002",12,91,"1,105"
Cambridge,4,1,"1,672",17,262,"1,951"
Cambridge,4,2A,216,5,27,248
Cambridge,4,3,"1,549",17,161,"1,727"
Cambridge,5,1,"1,384",23,223,"1,630"
Cambridge,5,2,257,6,48,311
Cambridge,5,3,"1,354",19,187,"1,560"
Cambridge,6,1,"1,259",8,176,"1,443"
Cambridge,7,2A,33,1,6,40
Cambridge,10,1,"1,116",19,175,"1,310"
Cambridge,10,3,"1,485",22,215,"1,722"
Cambridge,11,1,696,4,76,776
Cambridge,11,1A,702,9,118,829
Cambridge,11,2,"1,102",5,212,"1,319"
Cambridge,11,3A,158,0,18,176
Chelsea,1,1,324,0,145,469
Chelsea,1,2,223,0,83,306
Chelsea,1,3,317,0,100,417
Chelsea,1,4,315,0,84,399
Chelsea,2,1,765,0,318,"1,083"
Chelsea,2,2,516,0,120,636
