City/Town,Ward,Pct,"Lori Loureiro Trahan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,194",28,251,"1,473"
Acton,-,2,"1,584",29,391,"2,004"
Acton,-,3,"1,827",44,370,"2,241"
Acton,-,4,"1,693",29,335,"2,057"
Acton,-,5,"1,636",34,330,"2,000"
Acton,-,6,"1,132",26,217,"1,375"
Acton,-,6A,486,10,88,584
Acton,-,7,"1,256",35,306,"1,597"
Ashburnham,-,1,"1,358",68,520,"1,946"
Ashburnham,-,2,"1,393",61,493,"1,947"
Ashby,-,1,"1,329",0,674,"2,003"
Ayer,-,1,"1,126",0,393,"1,519"
Ayer,-,2,"1,274",0,484,"1,758"
Ayer,-,3,"1,070",0,357,"1,427"
Berlin,-,1,"1,741",23,665,"2,429"
Billerica,-,1,"1,085",39,448,"1,572"
Billerica,-,2,"1,464",65,578,"2,107"
Billerica,-,6,"1,237",44,501,"1,782"
Billerica,-,7,"1,321",62,535,"1,918"
Billerica,-,8,"1,354",48,591,"1,993"
Billerica,-,11,"1,160",58,517,"1,735"
Billerica,-,12,"1,309",39,562,"1,910"
Bolton,-,1,"2,783",99,824,"3,706"
Boxborough,-,1,"2,528",0,664,"3,192"
Carlisle,-,1,"2,700",53,708,"3,461"
Chelmsford,-,1,"1,277",28,458,"1,763"
Chelmsford,-,2,"1,455",17,463,"1,935"
Chelmsford,-,3A,684,9,213,906
Chelmsford,-,3B,748,10,191,949
Chelmsford,-,4,"1,609",26,523,"2,158"
Chelmsford,-,5A,"1,254",15,451,"1,720"
Chelmsford,-,5B,369,3,160,532
Chelmsford,-,6,"1,458",27,480,"1,965"
Chelmsford,-,7,"1,347",33,479,"1,859"
Chelmsford,-,8,"1,414",13,447,"1,874"
Chelmsford,-,9,"1,520",24,611,"2,155"
Chelmsford,-,10,"1,290",30,440,"1,760"
Chelmsford,-,11,"1,556",23,550,"2,129"
Clinton,-,1,"1,581",76,451,"2,108"
Clinton,-,2,"1,219",50,335,"1,604"
Clinton,-,3,"1,492",65,450,"2,007"
Clinton,-,4,"1,319",61,467,"1,847"
Concord,-,1,"1,709",17,360,"2,086"
Concord,-,2,"2,050",19,409,"2,478"
Concord,-,3,"1,997",22,460,"2,479"
Concord,-,4,"2,189",16,444,"2,649"
Concord,-,5,"1,939",15,380,"2,334"
Dracut,-,1,"1,193",0,471,"1,664"
Dracut,-,2,"1,208",0,505,"1,713"
Dracut,-,3,"1,269",0,621,"1,890"
Dracut,-,4,"1,543",0,851,"2,394"
Dracut,-,5,"1,378",0,618,"1,996"
Dracut,-,6,"1,211",0,520,"1,731"
Dracut,-,6A,58,0,24,82
