City/Town,Ward,Pct,"Allison S. Cartwright","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,843,25,231,"1,099"
Boston,1,2,680,20,160,860
Boston,1,3,"1,725",53,434,"2,212"
Boston,1,4,685,13,180,878
Boston,1,5,741,19,200,960
Boston,1,6,589,17,191,797
Boston,1,7,666,30,179,875
Boston,1,8,832,26,230,"1,088"
Boston,1,9,611,30,163,804
Boston,1,10,356,19,103,478
Boston,1,11,775,31,275,"1,081"
Boston,1,12,682,40,288,"1,010"
Boston,1,13,932,47,362,"1,341"
Boston,1,14,437,27,218,682
Boston,1,15,0,0,0,0
Boston,2,1,"1,081",35,428,"1,544"
Boston,2,2,977,22,385,"1,384"
Boston,2,3,"1,083",31,443,"1,557"
Boston,2,4,"1,048",20,318,"1,386"
Boston,2,5,"1,109",24,342,"1,475"
Boston,2,6,912,20,342,"1,274"
Boston,2,7,693,11,177,881
Boston,2,8,588,17,222,827
Boston,3,1,963,28,359,"1,350"
Boston,3,2,"1,011",25,365,"1,401"
Boston,3,3,686,20,163,869
Boston,3,4,738,23,216,977
Boston,3,5,"1,000",18,272,"1,290"
Boston,3,6,710,4,190,904
Boston,3,7,905,6,244,"1,155"
Boston,3,8,841,15,270,"1,126"
Boston,3,9,645,10,195,850
Boston,3,10,"1,213",18,238,"1,469"
Boston,3,11,845,11,260,"1,116"
Boston,3,12,948,18,314,"1,280"
Boston,3,13,647,8,265,920
Boston,3,13A,0,0,0,0
Boston,3,14,652,8,378,"1,038"
Boston,3,15,916,15,189,"1,120"
Boston,3,16,"1,159",17,278,"1,454"
Boston,3,17,715,12,191,918
Boston,4,1,866,12,242,"1,120"
Boston,4,2,738,22,230,990
Boston,4,3,993,20,317,"1,330"
Boston,4,4,"1,110",13,290,"1,413"
Boston,4,5,856,17,283,"1,156"
Boston,4,6,653,8,276,937
Boston,4,7,618,13,157,788
Boston,4,8,640,15,170,825
Boston,4,9,213,6,45,264
Boston,4,10,221,7,50,278
Boston,4,11,48,0,10,58
Boston,4,12,208,5,52,265
Boston,5,1,448,7,270,725
Boston,5,2,725,7,170,902
Boston,5,3,"1,177",13,334,"1,524"
Boston,5,4,723,8,114,845
Boston,5,5,752,19,266,"1,037"
Boston,5,6,887,14,317,"1,218"
Boston,5,7,"1,170",17,365,"1,552"
Boston,5,8,"1,020",13,302,"1,335"
Boston,5,9,982,24,296,"1,302"
Boston,5,10,538,14,138,690
Boston,5,11,496,2,103,601
Boston,5,12,583,9,102,694
Boston,5,13,800,14,300,"1,114"
Boston,5,14,742,17,213,972
Boston,5,15,635,16,170,821
Boston,6,1,"1,198",25,274,"1,497"
Boston,6,2,743,27,215,985
Boston,6,3,898,17,281,"1,196"
Boston,6,4,726,12,212,950
Boston,6,5,937,10,285,"1,232"
Boston,6,6,963,25,318,"1,306"
Boston,6,7,871,41,308,"1,220"
Boston,6,8,"1,016",20,390,"1,426"
Boston,6,9,885,25,449,"1,359"
Boston,6,10,799,19,243,"1,061"
Boston,6,11,909,18,253,"1,180"
Boston,6,12,"1,570",41,488,"2,099"
Boston,6,12A,0,0,0,0
Boston,7,1,755,14,314,"1,083"
Boston,7,2,865,23,372,"1,260"
Boston,7,3,"1,011",32,356,"1,399"
Boston,7,4,743,16,267,"1,026"
Boston,7,5,914,21,250,"1,185"
Boston,7,6,718,22,221,961
Boston,7,7,449,21,119,589
Boston,7,8,759,20,191,970
Boston,7,9,571,15,167,753
Boston,7,10,595,16,109,720
Boston,8,1,"1,060",17,314,"1,391"
Boston,8,2,757,12,156,925
Boston,8,3,696,18,151,865
Boston,8,4,520,14,104,638
Boston,8,5,770,18,174,962
Boston,8,6,154,6,46,206
Boston,8,6A,0,0,0,0
Boston,9,1,888,15,323,"1,226"
Boston,9,2,920,14,188,"1,122"
Boston,9,3,709,20,197,926
Boston,9,4,644,17,209,870
Boston,9,5,699,14,172,885
Boston,9,6,877,14,186,"1,077"
Boston,9,7,274,9,71,354
Boston,10,1,409,9,123,541
Boston,10,2,386,6,130,522
Boston,10,3,356,8,71,435
Boston,10,4,667,15,286,968
Boston,10,5,455,14,120,589
Boston,10,6,543,14,158,715
Boston,10,7,674,17,207,898
Boston,10,8,964,18,218,"1,200"
Boston,10,9,"1,178",8,223,"1,409"
Boston,10,9A,0,0,0,0
Boston,11,1,492,7,91,590
Boston,11,2,772,12,156,940
Boston,11,3,552,12,132,696
Boston,11,4,992,23,196,"1,211"
Boston,11,5,815,15,188,"1,018"
Boston,11,6,760,8,146,914
Boston,11,7,950,8,208,"1,166"
Boston,11,8,"1,423",11,237,"1,671"
Boston,11,9,674,5,160,839
Boston,11,10,802,8,144,954
Boston,12,1,736,17,164,917
Boston,12,2,920,24,182,"1,126"
Boston,12,3,423,9,93,525
Boston,12,4,547,9,106,662
Boston,12,5,303,6,71,380
Boston,12,6,451,5,73,529
Boston,12,7,995,22,234,"1,251"
Boston,12,8,352,4,78,434
Boston,12,9,463,20,86,569
Boston,13,1,632,6,127,765
Boston,13,2,248,11,55,314
Boston,13,3,668,18,147,833
Boston,13,4,488,11,102,601
Boston,13,5,430,10,120,560
Boston,13,6,625,16,145,786
Boston,13,7,681,24,230,935
Boston,13,8,591,15,184,790
Boston,13,9,698,9,183,890
Boston,13,10,960,16,350,"1,326"
Boston,14,1,952,31,206,"1,189"
Boston,14,2,"1,061",24,200,"1,285"
Boston,14,3,264,5,60,329
Boston,14,4,598,20,115,733
Boston,14,5,445,13,86,544
Boston,14,6,484,11,99,594
Boston,14,7,458,13,91,562
Boston,14,8,567,13,112,692
Boston,14,9,497,18,117,632
Boston,14,10,556,12,140,708
Boston,14,11,536,15,117,668
Boston,14,12,319,4,65,388
Boston,14,13,507,11,79,597
Boston,14,14,542,16,103,661
Boston,15,1,673,14,154,841
Boston,15,2,409,16,98,523
Boston,15,3,289,5,84,378
Boston,15,4,820,41,143,"1,004"
Boston,15,5,505,10,122,637
