City/Town,Ward,Pct,"Deborah B. Goldberg","Keiko M. Orrall","Jamie M. Guerin","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-rainbow
Abington,-,1,756,469,35,0,83,"1,343"
Abington,-,2,754,469,38,0,100,"1,361"
Abington,-,3,768,548,28,0,102,"1,446"
Abington,-,4,951,611,25,0,79,"1,666"
Abington,-,5,927,535,37,0,97,"1,596"
Acton,-,1,"1,258",381,38,1,88,"1,766"
Acton,-,2,"1,364",435,55,1,86,"1,941"
Acton,-,3,"1,377",367,69,0,105,"1,918"
Acton,-,4,"1,474",363,71,1,82,"1,991"
Acton,-,5,"1,385",367,71,0,80,"1,903"
Acton,-,6,"1,196",346,53,0,70,"1,665"
Acushnet,-,1,644,525,40,0,60,"1,269"
Acushnet,-,2,676,729,37,0,82,"1,524"
Acushnet,-,3,718,685,24,0,77,"1,504"
Adams,-,1,372,121,25,0,30,548
Adams,-,2,449,143,29,0,33,654
Adams,-,3,450,151,30,0,29,660
Adams,-,4,396,143,23,0,12,574
Adams,-,5,521,178,30,1,25,755
Agawam,-,1,630,504,57,1,61,"1,253"
Agawam,-,2,858,691,93,1,106,"1,749"
Agawam,-,3,770,523,76,0,89,"1,458"
Agawam,-,4,631,469,70,0,72,"1,242"
Agawam,-,5,919,675,65,0,101,"1,760"
Agawam,-,6,700,544,65,0,102,"1,411"
Agawam,-,7,762,644,52,0,83,"1,541"
Agawam,-,8,848,627,70,1,100,"1,646"
Alford,-,1,204,35,10,0,12,261
Amesbury,-,1,910,451,45,1,74,"1,481"
Amesbury,-,2,852,327,63,0,60,"1,302"
Amesbury,-,3,898,365,32,0,59,"1,354"
Amesbury,-,4,689,285,42,0,62,"1,078"
Amesbury,-,5,797,525,34,2,71,"1,429"
Amesbury,-,6,782,293,51,1,55,"1,182"
Amherst,-,1,703,59,74,0,39,875
Amherst,-,2,"1,054",97,78,1,75,"1,305"
Amherst,-,3,542,56,58,1,39,696
Amherst,-,4,535,61,25,0,40,661
Amherst,-,5,807,49,80,0,58,994
Amherst,-,6,"1,203",102,96,0,77,"1,478"
Amherst,-,7,"1,142",83,125,1,71,"1,422"
Amherst,-,8,"1,347",115,111,0,95,"1,668"
Amherst,-,9,959,68,107,1,76,"1,211"
Amherst,-,10,654,56,58,1,58,827
Andover,-,1,"1,023",371,51,1,69,"1,515"
Andover,-,2,"1,193",602,47,1,102,"1,945"
Andover,-,3,"1,268",490,61,0,78,"1,897"
Andover,-,4,"1,113",630,30,2,89,"1,864"
Andover,-,5,"1,186",644,36,0,79,"1,945"
Andover,-,6,"1,058",655,30,0,73,"1,816"
Andover,-,7,880,473,39,1,71,"1,464"
Andover,-,7A,233,120,8,0,15,376
Andover,-,8,"1,122",565,53,1,101,"1,842"
Andover,-,9,"1,108",622,42,2,95,"1,869"
Aquinnah,-,1,221,21,17,0,8,267
Arlington,-,1,659,101,35,0,44,839
Arlington,-,2,957,171,50,0,65,"1,243"
Arlington,-,3,998,126,52,2,49,"1,227"
Arlington,-,4,888,117,61,1,53,"1,120"
Arlington,-,5,849,148,57,0,62,"1,116"
Arlington,-,6,900,128,49,0,40,"1,117"
Arlington,-,7,811,132,37,0,57,"1,037"
Arlington,-,8,995,154,55,0,67,"1,271"
Arlington,-,9,814,170,40,3,70,"1,097"
Arlington,-,10,978,132,45,0,72,"1,227"
Arlington,-,11,945,212,37,1,65,"1,260"
Arlington,-,12,"1,102",167,48,0,50,"1,367"
Arlington,-,13,818,275,21,1,60,"1,175"
Arlington,-,14,873,138,46,0,51,"1,108"
Arlington,-,15,928,200,46,0,53,"1,227"
Arlington,-,16,869,171,42,0,57,"1,139"
Arlington,-,17,815,140,37,0,41,"1,033"
Arlington,-,18,886,242,33,0,100,"1,261"
Arlington,-,19,915,166,52,0,69,"1,202"
Arlington,-,20,893,152,53,0,43,"1,141"
Arlington,-,21,913,138,63,0,40,"1,154"
Ashburnham,-,1,"1,531","1,079",107,3,129,"2,849"
Ashby,-,1,804,691,57,0,51,"1,603"
Ashfield,-,1,768,152,92,0,39,"1,051"
Ashland,-,1,"1,025",356,45,0,81,"1,507"
Ashland,-,2,"1,101",446,26,0,88,"1,661"
Ashland,-,3,"1,025",406,30,0,71,"1,532"
Ashland,-,4,"1,018",367,41,0,69,"1,495"
Ashland,-,5,"1,107",394,44,0,79,"1,624"
Athol,-,1,760,524,71,0,59,"1,414"
Athol,-,2,645,500,71,0,49,"1,265"
Athol,-,3,690,420,76,0,50,"1,236"
Attleboro,1,A,632,430,40,0,29,"1,131"
Attleboro,1,B,630,437,30,2,53,"1,152"
Attleboro,2,A,886,511,39,1,91,"1,528"
Attleboro,2,B,888,561,42,0,62,"1,553"
Attleboro,3,A,828,439,25,0,43,"1,335"
Attleboro,3,B,857,467,31,0,78,"1,433"
Attleboro,4,A,680,285,41,2,56,"1,064"
Attleboro,4,B,"1,042",716,37,0,97,"1,892"
Attleboro,5,A,520,197,47,0,0,764
Attleboro,5,B,852,440,44,1,67,"1,404"
Attleboro,6,A,681,441,37,1,59,"1,219"
Attleboro,6,B,822,510,46,2,78,"1,458"
Auburn,-,1,944,555,45,0,91,"1,635"
Auburn,-,2,941,519,60,0,87,"1,607"
Auburn,-,3,944,559,50,0,82,"1,635"
Auburn,-,4,865,471,52,3,60,"1,451"
Auburn,-,5,838,465,49,0,64,"1,416"
Avon,-,1,"1,202",606,46,0,96,"1,950"
Ayer,-,1,"1,045",474,68,0,68,"1,655"
Ayer,-,2,"1,110",516,57,0,74,"1,757"
Barnstable,-,1,"1,274",775,47,0,73,"2,169"
Barnstable,-,2,"1,047",748,45,0,68,"1,908"
Barnstable,-,3,809,450,40,0,50,"1,349"
Barnstable,-,4,978,690,37,4,69,"1,778"
Barnstable,-,5,993,928,36,0,73,"2,030"
Barnstable,-,6,"1,017",750,57,3,75,"1,902"
Barnstable,-,7,"1,221",847,51,0,66,"2,185"
Barnstable,-,8,751,388,41,1,38,"1,219"
Barnstable,-,9,500,234,19,0,27,780
Barnstable,-,10,860,707,50,0,61,"1,678"
Barnstable,-,11,"1,070",855,48,1,92,"2,066"
Barnstable,-,12,997,789,55,2,64,"1,907"
Barnstable,-,13,776,444,47,1,43,"1,311"
Barre,-,1,660,422,75,1,48,"1,206"
Barre,-,2,526,441,52,1,49,"1,069"
Becket,-,1,498,228,41,0,38,805
Bedford,-,1,"1,260",478,53,0,100,"1,891"
Bedford,-,2,"1,069",485,43,1,77,"1,675"
Bedford,-,3,"1,213",426,40,0,86,"1,765"
Bedford,-,4,"1,022",429,53,4,87,"1,595"
Belchertown,-,A,"1,067",487,126,0,88,"1,768"
Belchertown,-,B,976,557,117,0,73,"1,723"
Belchertown,-,C,"1,041",639,94,0,81,"1,855"
Belchertown,-,D,"1,167",403,134,0,64,"1,768"
Bellingham,-,1,783,512,37,2,57,"1,391"
Bellingham,-,2,836,567,51,5,84,"1,543"
Bellingham,-,3,833,520,44,4,73,"1,474"
Bellingham,-,4,646,526,32,12,60,"1,276"
Bellingham,-,4A,89,69,3,0,6,167
Bellingham,-,5,726,532,55,5,67,"1,385"
Belmont,-,1,"1,217",280,45,1,112,"1,655"
Belmont,-,2,"1,151",425,36,1,121,"1,734"
Belmont,-,3,"1,124",299,46,0,109,"1,578"
Belmont,-,4,995,256,64,0,81,"1,396"
Belmont,-,5,"1,121",290,54,0,87,"1,552"
Belmont,-,6,"1,225",281,67,1,106,"1,680"
Belmont,-,7,"1,205",263,65,1,74,"1,608"
Belmont,-,8,"1,174",426,57,0,131,"1,788"
Berkley,-,1,637,885,27,0,68,"1,617"
Berkley,-,2,491,729,17,0,36,"1,273"
Berlin,-,1,"1,032",575,83,0,70,"1,760"
Bernardston,-,1,692,244,67,2,47,"1,052"
Beverly,1,1,918,420,33,1,80,"1,452"
Beverly,1,2,"1,056",430,51,0,112,"1,649"
Beverly,2,1,"1,060",295,72,0,63,"1,490"
Beverly,2,2,"1,178",359,72,0,91,"1,700"
Beverly,3,1,896,259,40,0,50,"1,245"
Beverly,3,2,941,376,48,0,69,"1,434"
Beverly,4,1,713,271,26,0,56,"1,066"
Beverly,4,2,"1,401",422,66,0,105,"1,994"
Beverly,5,1,"1,045",459,32,0,81,"1,617"
Beverly,5,2,"1,014",481,48,0,98,"1,641"
Beverly,6,1,"1,141",526,41,0,97,"1,805"
Beverly,6,2,"1,115",622,37,0,106,"1,880"
Billerica,-,1,977,538,57,3,99,"1,674"
Billerica,-,2,"1,052",571,48,2,85,"1,758"
Billerica,-,3,965,576,21,0,89,"1,651"
Billerica,-,4,778,514,35,2,85,"1,414"
Billerica,-,5,979,659,51,1,115,"1,805"
Billerica,-,6,832,546,43,3,86,"1,510"
Billerica,-,7,939,527,37,3,79,"1,585"
Billerica,-,8,994,666,46,0,92,"1,798"
Billerica,-,9,884,602,39,2,92,"1,619"
Billerica,-,10,909,642,59,2,113,"1,725"
Billerica,-,11,829,570,54,3,79,"1,535"
Blackstone,-,1,568,434,34,1,48,"1,085"
Blackstone,-,2,684,513,47,0,44,"1,288"
Blackstone,-,3,607,542,28,0,47,"1,224"
Blandford,-,1,269,291,23,0,21,604
Bolton,-,1,"1,783",937,101,1,130,"2,952"
Boston,1,1,650,120,42,0,56,868
Boston,1,2,458,70,15,0,38,581
Boston,1,3,"1,056",150,59,2,82,"1,349"
Boston,1,4,401,67,25,1,40,534
Boston,1,5,516,95,25,1,49,686
Boston,1,6,433,64,33,3,49,582
Boston,1,7,433,90,27,2,39,591
Boston,1,8,596,84,29,5,65,779
Boston,1,9,461,76,19,2,36,594
Boston,1,10,284,47,12,0,27,370
Boston,1,11,570,172,35,0,74,851
Boston,1,12,525,193,37,1,70,826
Boston,1,13,682,179,46,3,86,996
Boston,1,14,289,109,16,0,36,450
Boston,1,15,2,0,0,0,0,2
Boston,2,1,"1,000",274,41,2,141,"1,458"
Boston,2,2,"1,182",289,34,5,115,"1,625"
Boston,2,3,778,186,19,2,62,"1,047"
