City/Town,Ward,Pct,"William Francis Galvin","Anthony M. Amore","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-rainbow
Abington,-,1,858,381,40,0,64,"1,343"
Abington,-,2,852,395,44,0,70,"1,361"
Abington,-,3,902,448,29,0,67,"1,446"
Abington,-,4,"1,070",515,29,0,52,"1,666"
Abington,-,5,"1,045",445,42,0,64,"1,596"
Acton,-,1,"1,298",358,47,2,61,"1,766"
Acton,-,2,"1,433",383,66,2,57,"1,941"
Acton,-,3,"1,459",316,70,0,73,"1,918"
Acton,-,4,"1,552",309,76,0,54,"1,991"
Acton,-,5,"1,450",312,84,0,57,"1,903"
Acton,-,6,"1,256",302,57,0,50,"1,665"
Acushnet,-,1,711,470,32,0,56,"1,269"
Acushnet,-,2,796,624,37,0,67,"1,524"
Acushnet,-,3,828,584,23,0,69,"1,504"
Adams,-,1,386,120,16,0,26,548
Adams,-,2,454,155,21,0,24,654
Adams,-,3,448,154,34,0,24,660
Adams,-,4,405,147,12,0,10,574
Adams,-,5,533,171,21,1,29,755
Agawam,-,1,693,465,51,0,44,"1,253"
Agawam,-,2,963,654,68,1,63,"1,749"
Agawam,-,3,832,502,65,0,59,"1,458"
Agawam,-,4,715,439,42,0,46,"1,242"
Agawam,-,5,985,641,66,0,68,"1,760"
Agawam,-,6,777,513,41,1,79,"1,411"
Agawam,-,7,840,600,39,0,62,"1,541"
Agawam,-,8,935,603,37,2,69,"1,646"
Alford,-,1,207,37,9,0,8,261
Amesbury,-,1,981,407,54,0,39,"1,481"
Amesbury,-,2,895,305,60,0,42,"1,302"
Amesbury,-,3,940,329,49,0,36,"1,354"
Amesbury,-,4,733,262,41,1,41,"1,078"
Amesbury,-,5,885,464,27,2,51,"1,429"
Amesbury,-,6,813,274,51,0,44,"1,182"
Amherst,-,1,702,53,88,0,32,875
Amherst,-,2,"1,070",89,88,1,57,"1,305"
Amherst,-,3,532,62,72,1,29,696
Amherst,-,4,527,54,43,1,36,661
Amherst,-,5,811,44,83,0,56,994
Amherst,-,6,"1,197",94,123,0,64,"1,478"
Amherst,-,7,"1,148",79,138,0,57,"1,422"
Amherst,-,8,"1,358",104,126,0,80,"1,668"
Amherst,-,9,953,64,130,0,64,"1,211"
Amherst,-,10,640,52,77,1,57,827
Andover,-,1,"1,059",344,67,2,43,"1,515"
Andover,-,2,"1,239",575,50,0,81,"1,945"
Andover,-,3,"1,345",452,53,1,46,"1,897"
Andover,-,4,"1,195",570,34,0,65,"1,864"
