City/Town,Ward,Pct,"John E. Powers, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,823,20,256,"1,099"
Boston,1,2,677,13,170,860
Boston,1,3,"1,705",47,460,"2,212"
Boston,1,4,684,14,180,878
Boston,1,5,718,20,222,960
Boston,1,6,571,19,207,797
Boston,1,7,651,35,189,875
Boston,1,8,809,26,253,"1,088"
Boston,1,9,600,30,174,804
Boston,1,10,351,19,108,478
Boston,1,11,781,33,267,"1,081"
Boston,1,12,698,31,281,"1,010"
Boston,1,13,929,41,371,"1,341"
Boston,1,14,435,24,223,682
Boston,1,15,0,0,0,0
Boston,2,1,"1,103",36,405,"1,544"
Boston,2,2,981,19,384,"1,384"
Boston,2,3,"1,088",26,443,"1,557"
Boston,2,4,"1,056",19,311,"1,386"
Boston,2,5,"1,111",22,342,"1,475"
Boston,2,6,943,17,314,"1,274"
Boston,2,7,698,11,172,881
Boston,2,8,565,18,244,827
Boston,3,1,963,27,360,"1,350"
Boston,3,2,"1,010",24,367,"1,401"
Boston,3,3,684,16,169,869
Boston,3,4,739,21,217,977
Boston,3,5,992,15,283,"1,290"
Boston,3,6,698,5,201,904
Boston,3,7,884,8,263,"1,155"
Boston,3,8,818,18,290,"1,126"
Boston,3,9,652,7,191,850
Boston,3,10,"1,198",21,250,"1,469"
Boston,3,11,839,10,267,"1,116"
Boston,3,12,902,18,360,"1,280"
Boston,3,13,633,7,280,920
Boston,3,13A,0,0,0,0
Boston,3,14,640,7,391,"1,038"
Boston,3,15,904,16,200,"1,120"
Boston,3,16,"1,136",16,302,"1,454"
Boston,3,17,703,10,205,918
Boston,4,1,855,12,253,"1,120"
Boston,4,2,715,26,249,990
Boston,4,3,988,20,322,"1,330"
Boston,4,4,"1,076",13,324,"1,413"
Boston,4,5,837,20,299,"1,156"
Boston,4,6,648,7,282,937
Boston,4,7,597,11,180,788
Boston,4,8,626,17,182,825
Boston,4,9,208,7,49,264
Boston,4,10,216,8,54,278
Boston,4,11,47,0,11,58
Boston,4,12,196,3,66,265
Boston,5,1,437,8,280,725
Boston,5,2,718,7,177,902
Boston,5,3,"1,155",13,356,"1,524"
Boston,5,4,719,6,120,845
Boston,5,5,745,18,274,"1,037"
Boston,5,6,870,16,332,"1,218"
