City/Town,Ward,Pct,"Deborah B. Goldberg","Cristina Crawford","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Libertarian
Malden,4,3,447,60,2,33,542
Malden,5,1,465,103,7,68,643
Malden,5,2,750,154,7,97,"1,008"
Malden,5,3,281,54,9,29,373
Malden,5,3A,145,9,0,9,163
Malden,6,1,670,168,6,95,939
Malden,6,2,413,105,4,66,588
Malden,6,3,450,129,4,56,639
Malden,7,1,387,60,3,29,479
Malden,7,2,370,69,0,41,480
Malden,7,3,227,58,1,34,320
Malden,7,3A,181,26,1,12,220
Malden,8,1,527,129,3,77,736
Malden,8,2,425,87,5,45,562
Malden,8,3,331,57,1,49,438
Manchester-by-the-Sea,,,"2,052",553,2,300,"2,907"
Mansfield,-,1,943,388,6,234,"1,571"
Mansfield,-,2,641,266,1,128,"1,036"
Mansfield,-,2A,277,98,0,67,442
Mansfield,-,3,"1,150",414,7,235,"1,806"
Mansfield,-,4,941,309,3,167,"1,420"
Mansfield,-,5,917,283,0,113,"1,313"
Mansfield,-,6,650,211,0,99,960
Mansfield,-,6A,147,50,0,33,230
Mansfield,-,7,991,315,4,144,"1,454"
Marblehead,-,1,"1,327",351,1,221,"1,900"
Marblehead,-,2,"1,295",307,1,177,"1,780"
Marblehead,-,3,"1,156",291,3,174,"1,624"
Marblehead,-,4,"1,259",359,2,212,"1,832"
Marblehead,-,5,"1,221",308,2,150,"1,681"
Marblehead,-,6,"1,309",322,2,186,"1,819"
Marion,,,"1,832",665,9,307,"2,813"
Marlborough,1,1,586,170,3,102,861
Marlborough,1,1A,22,3,0,1,26
Marlborough,1,2,947,281,4,165,"1,397"
Marlborough,2,1,742,239,2,158,"1,141"
Marlborough,2,2,590,156,2,89,837
Marlborough,2,2A,6,1,0,2,9
Marlborough,3,1,391,153,3,60,607
Marlborough,3,2,831,257,0,108,"1,196"
Marlborough,4,1,335,132,1,48,516
Marlborough,4,2,873,254,3,153,"1,283"
Marlborough,5,1,415,125,2,58,600
Marlborough,5,2,731,197,1,103,"1,032"
Marlborough,6,1,443,143,0,75,661
Marlborough,6,2,845,296,3,170,"1,314"
Marlborough,7,1,581,189,3,97,870
Marlborough,7,2,606,190,5,111,912
Marlborough,7,2A,22,11,0,3,36
Marshfield,-,1,"1,190",510,0,240,"1,940"
Marshfield,-,2,"1,021",406,0,217,"1,644"
Marshfield,-,2A,161,37,0,21,219
Marshfield,-,3,"1,218",455,0,229,"1,902"
Marshfield,-,4,976,465,0,162,"1,603"
Marshfield,-,5,"1,020",413,0,213,"1,646"
Marshfield,-,6,"1,383",602,0,263,"2,248"
Marshfield,-,7,"1,231",498,0,234,"1,963"
Mashpee,-,1,"1,140",341,7,219,"1,707"
Mashpee,-,2,840,340,3,215,"1,398"
Mashpee,-,3,800,375,7,162,"1,344"
Mashpee,-,4,897,320,13,146,"1,376"
Mashpee,-,5,"1,383",493,10,329,"2,215"
Mattapoisett,-,1,"1,141",462,7,285,"1,895"
Mattapoisett,-,2,"1,184",451,7,248,"1,890"
Maynard,-,1,"1,022",212,6,107,"1,347"
Maynard,-,2,877,174,3,78,"1,132"
Maynard,-,3,"1,176",256,4,137,"1,573"
Maynard,-,4,841,203,6,80,"1,130"
Medfield,-,1,"1,118",351,7,181,"1,657"
Medfield,-,2,"1,018",345,5,155,"1,523"
Medfield,-,3,"1,063",390,2,172,"1,627"
Medfield,-,4,995,363,6,182,"1,546"
Medford,1,1,943,180,0,145,"1,268"
Medford,1,2,"1,066",221,0,140,"1,427"
Medford,2,1,892,223,0,152,"1,267"
Medford,2,2,"1,344",265,0,237,"1,846"
Medford,3,1,"1,269",267,0,208,"1,744"
Medford,3,2,"1,429",297,0,229,"1,955"
Medford,4,1,548,70,0,48,666
Medford,4,2,"1,165",181,0,152,"1,498"
Medford,5,1,"1,028",162,0,93,"1,283"
Medford,5,2,"1,008",108,0,83,"1,199"
Medford,6,1,"1,441",139,0,140,"1,720"
Medford,6,2,"1,241",177,0,161,"1,579"
Medford,6,2A,56,16,0,9,81
Medford,7,1,544,102,0,70,716
Medford,7,2,669,94,0,73,836
Medford,7,2A,75,16,0,11,102
Medford,8,1,"1,133",223,0,159,"1,515"
Medford,8,2,938,158,0,144,"1,240"
Medway,-,1,943,351,11,147,"1,452"
Medway,-,2,"1,017",377,14,147,"1,555"
Medway,-,3,"1,060",422,8,165,"1,655"
Medway,-,4,980,392,9,166,"1,547"
Melrose,1,1,871,152,2,104,"1,129"
Melrose,1,2,680,130,3,97,910
Melrose,2,1,770,166,7,164,"1,107"
Melrose,2,2,716,142,6,111,975
Melrose,3,1,689,124,1,94,908
Melrose,3,2,725,152,2,108,987
Melrose,4,1,671,124,3,83,881
Melrose,4,2,741,215,8,152,"1,116"
Melrose,5,1,496,104,1,54,655
Melrose,5,2,529,78,3,44,654
Melrose,6,1,663,143,2,84,892
Melrose,6,2,811,186,5,139,"1,141"
Melrose,7,1,740,150,3,105,998
Melrose,7,2,760,198,5,121,"1,084"
Mendon,-,1,761,433,2,185,"1,381"
Mendon,-,2,785,434,3,220,"1,442"
Merrimac,-,1,972,412,13,165,"1,562"
Merrimac,-,2,"1,043",467,8,210,"1,728"
Methuen,-,1,384,115,8,50,557
Methuen,-,2,442,144,5,60,651
Methuen,-,3,660,264,7,142,"1,073"
Methuen,-,4,576,213,11,97,897
Methuen,-,5,630,293,15,141,"1,079"
Methuen,-,6,555,261,8,158,982
Methuen,-,6A,72,26,0,16,114
Methuen,-,7,808,352,6,209,"1,375"
Methuen,-,8,764,380,17,227,"1,388"
Methuen,-,9,725,383,11,245,"1,364"
Methuen,-,10,650,327,11,188,"1,176"
Methuen,-,11,866,490,6,301,"1,663"
Methuen,-,12,679,291,12,203,"1,185"
Methuen,-,13,449,197,9,111,766
Methuen,-,13A,261,99,3,52,415
Methuen,-,14,634,220,6,110,970
Methuen,-,15,473,160,4,83,720
Middleborough,-,1,"1,139",597,1,328,"2,065"
Middleborough,-,2,643,351,3,134,"1,131"
Middleborough,-,3,746,491,6,208,"1,451"
Middleborough,-,4,536,295,10,106,947
Middleborough,-,5,653,400,7,220,"1,280"
Middleborough,-,5A,111,98,0,53,262
Middleborough,-,6,729,444,2,204,"1,379"
Middleborough,-,7,503,316,6,141,966
Middleborough,-,7A,163,146,1,54,364
Middlefield,,,169,66,0,22,257
Middleton,-,1,984,474,20,268,"1,746"
Middleton,-,2,666,293,11,200,"1,170"
Middleton,-,3,757,431,21,275,"1,484"
Milford,-,1,448,167,0,79,694
Milford,-,2,806,289,0,158,"1,253"
Milford,-,3,623,296,0,149,"1,068"
Milford,-,4,487,173,2,111,773
Milford,-,5,"1,007",407,3,201,"1,618"
Milford,-,6,827,288,10,149,"1,274"
Milford,-,7,"1,065",397,1,205,"1,668"
Milford,-,8,952,294,2,173,"1,421"
Millbury,-,1,825,431,1,128,"1,385"
Millbury,-,2,962,464,0,207,"1,633"
Millbury,-,3,770,402,0,147,"1,319"
Millbury,-,4,824,370,3,139,"1,336"
Millis,-,1,879,326,0,128,"1,333"
Millis,-,2,832,382,0,179,"1,393"
Millis,-,3,"1,153",419,0,201,"1,773"
Millville,,,615,442,0,153,"1,210"
Milton,-,1,952,105,2,89,"1,148"
Milton,-,2,"1,119",152,2,127,"1,400"
Milton,-,3,"1,039",202,2,169,"1,412"
Milton,-,4,594,114,2,85,795
Milton,-,4A,361,61,0,42,464
Milton,-,5,828,155,2,143,"1,128"
Milton,-,6,934,264,3,187,"1,388"
Milton,-,7,891,201,1,171,"1,264"
Milton,-,8,"1,023",241,5,176,"1,445"
Milton,-,9,931,284,7,237,"1,459"
Milton,-,10,753,106,0,75,934
Monroe,,,29,9,0,0,38
Monson,-,A,664,353,0,216,"1,233"
Monson,-,B,647,386,0,188,"1,221"
Monson,-,C,683,406,0,198,"1,287"
Montague,-,1,706,90,2,42,840
Montague,-,2,378,122,0,43,543
Montague,-,3,441,104,2,54,601
Montague,-,4,427,81,4,41,553
Montague,-,5,313,52,1,26,392
Montague,-,6,366,96,0,38,500
Monterey,,,421,46,0,33,500
Montgomery,,,233,144,0,71,448
"Mount Washington",,,83,18,0,5,106
Nahant,,,"1,352",386,5,232,"1,975"
Nantucket,,,"3,546",921,11,477,"4,955"
Natick,-,1,682,149,0,78,909
Natick,-,2,"1,197",251,1,155,"1,604"
Natick,-,3,"1,142",63,2,384,"1,591"
Natick,-,4,"1,102",279,2,127,"1,510"
Natick,-,5,"1,190",295,1,179,"1,665"
Natick,-,6,"1,147",269,3,148,"1,567"
Natick,-,7,"1,457",320,2,135,"1,914"
Natick,-,8,"1,287",282,4,182,"1,755"
Natick,-,9,"1,353",245,2,169,"1,769"
Natick,-,10,"1,544",356,5,204,"2,109"
Needham,-,A,985,196,4,110,"1,295"
Needham,-,B,"1,194",235,6,124,"1,559"
Needham,-,C,"1,196",214,7,136,"1,553"
Needham,-,D,"1,107",233,4,128,"1,472"
Needham,-,E,"1,246",231,1,163,"1,641"
Needham,-,F,"1,135",208,6,152,"1,501"
Needham,-,G,"1,276",219,6,158,"1,659"
Needham,-,H,"1,234",229,4,149,"1,616"
Needham,-,I,"1,351",210,3,146,"1,710"
Needham,-,J,"1,184",194,5,109,"1,492"
"New Ashford",,,81,25,0,12,118
"New Bedford",1,A,486,170,1,86,743
"New Bedford",1,A1,57,19,2,18,96
"New Bedford",1,B,521,216,4,133,874
"New Bedford",1,B1,56,20,0,13,89
"New Bedford",1,C,377,164,9,91,641
"New Bedford",1,C1,74,27,0,10,111
"New Bedford",1,D,619,295,7,137,"1,058"
"New Bedford",1,E,572,191,7,98,868
"New Bedford",1,F,572,263,12,102,949
"New Bedford",2,A,81,25,3,7,116
"New Bedford",2,B,145,57,6,19,227
"New Bedford",2,C,188,68,1,32,289
"New Bedford",2,D,425,116,9,70,620
"New Bedford",2,E,454,214,10,103,781
"New Bedford",2,F,309,130,3,44,486
"New Bedford",3,A,212,59,5,19,295
"New Bedford",3,B,193,50,0,24,267
"New Bedford",3,C,151,60,1,32,244
"New Bedford",3,D,290,82,2,74,448
"New Bedford",3,E,455,156,11,70,692
"New Bedford",3,F,419,122,3,93,637
"New Bedford",3,F1,191,43,1,23,258
"New Bedford",4,A,117,17,0,17,151
"New Bedford",4,A1,134,20,1,17,172
"New Bedford",4,B,395,95,2,57,549
"New Bedford",4,C,438,84,0,37,559
"New Bedford",4,D,370,101,5,39,515
"New Bedford",4,E,328,100,0,42,470
"New Bedford",4,F,387,106,6,54,553
"New Bedford",5,A,269,92,6,39,406
"New Bedford",5,B,569,135,5,78,787
"New Bedford",5,C,426,141,4,97,668
"New Bedford",5,D,672,156,3,78,909
"New Bedford",5,E,690,224,4,140,"1,058"
"New Bedford",5,F,647,182,5,111,945
"New Bedford",6,A,495,209,3,97,804
"New Bedford",6,B,399,121,5,63,588
"New Bedford",6,C,181,56,4,31,272
"New Bedford",6,D,166,40,1,17,224
"New Bedford",6,E,184,60,1,29,274
"New Bedford",6,F,321,101,3,36,461
"New Braintree",,,290,136,0,62,488
"New Marlborough",,,515,147,0,104,766
"New Salem",,,387,126,6,43,562
Newbury,-,1,"1,308",439,8,236,"1,991"
Newbury,-,2,"1,254",472,10,239,"1,975"
Newburyport,1,1,"1,044",222,3,120,"1,389"
Newburyport,2,1,"1,287",229,4,126,"1,646"
Newburyport,3,1,"1,344",260,5,135,"1,744"
Newburyport,4,1,"1,287",270,5,152,"1,714"
Newburyport,5,1,994,274,5,174,"1,447"
Newburyport,6,1,"1,080",304,13,190,"1,587"
Newburyport,1,P,259,94,1,39,393
Newton,1,1,708,142,7,110,967
Newton,1,2,946,122,2,74,"1,144"
Newton,1,2A,48,4,0,4,56
Newton,1,3,975,120,1,60,"1,156"
Newton,1,4,809,163,3,136,"1,111"
Newton,2,1,869,121,5,99,"1,094"
Newton,2,2,695,94,2,74,865
Newton,2,3,"1,106",137,1,110,"1,354"
Newton,2,4,"1,236",126,3,112,"1,477"
Newton,3,1,997,163,9,97,"1,266"
Newton,3,1A,0,0,0,0,0
Newton,3,2,"1,095",124,4,97,"1,320"
Newton,3,3,959,182,6,122,"1,269"
Newton,3,4,947,183,6,124,"1,260"
Newton,4,1,887,136,5,107,"1,135"
Newton,4,2,913,108,4,71,"1,096"
Newton,4,3,655,77,0,75,807
Newton,4,4,803,138,9,118,"1,068"
Newton,5,1,877,136,10,95,"1,118"
Newton,5,2,"1,029",113,2,85,"1,229"
Newton,5,3,"1,218",121,2,94,"1,435"
Newton,5,4,"1,163",153,0,100,"1,416"
Newton,6,1,930,146,3,76,"1,155"
Newton,6,2,976,110,1,88,"1,175"
Newton,6,3,"1,169",95,3,92,"1,359"
Newton,6,4,"1,247",138,2,90,"1,477"
Newton,7,1,779,134,2,91,"1,006"
Newton,7,2,"1,165",131,3,94,"1,393"
Newton,7,3,308,51,1,27,387
Newton,7,4,522,73,0,54,649
Newton,8,1,926,173,4,118,"1,221"
Newton,8,2,849,171,2,92,"1,114"
Newton,8,3,959,149,3,108,"1,219"
Newton,8,4,845,143,2,111,"1,101"
Norfolk,-,1,546,256,8,96,906
Norfolk,-,2,992,424,18,198,"1,632"
Norfolk,-,3,821,370,8,188,"1,387"
Norfolk,-,4,911,340,3,198,"1,452"
"N. Adams",1,1,631,147,0,89,867
"N. Adams",2,2,604,131,3,65,803
"N. Adams",3,3,440,64,0,52,556
"N. Adams",4,4,692,149,0,95,936
"N. Adams",5,5,553,127,0,60,740
"N. Andover",-,1,862,296,5,130,"1,293"
"N. Andover",-,2,"1,017",331,6,207,"1,561"
"N. Andover",-,3,972,303,10,169,"1,454"
"N. Andover",-,4,"1,332",445,7,255,"2,039"
"N. Andover",-,5,582,180,2,103,867
"N. Andover",-,6,"1,181",497,9,257,"1,944"
"N. Andover",-,7,"1,154",352,13,189,"1,708"
"N. Andover",-,8,"1,061",462,10,227,"1,760"
"N. Attleborough",-,1,564,219,2,91,876
"N. Attleborough",-,2,798,340,4,156,"1,298"
"N. Attleborough",-,3,751,394,2,208,"1,355"
"N. Attleborough",-,4,675,251,7,113,"1,046"
"N. Attleborough",-,5,715,332,0,114,"1,161"
"N. Attleborough",-,6,904,360,4,164,"1,432"
"N. Attleborough",-,7,983,430,1,218,"1,632"
"N. Attleborough",-,8,838,354,8,181,"1,381"
"N. Attleborough",-,9,738,345,1,155,"1,239"
"N. Brookfield",,,"1,059",723,4,218,"2,004"
"N. Reading",-,1,"1,113",443,4,281,"1,841"
"N. Reading",-,2,"1,137",456,5,261,"1,859"
"N. Reading",-,3,"1,053",428,6,298,"1,785"
"N. Reading",-,4,"1,145",426,2,280,"1,853"
Northampton,1,A,804,83,0,42,929
Northampton,1,B,992,66,0,50,"1,108"
Northampton,2,A,771,29,1,27,828
Northampton,2,B,588,29,0,34,651
Northampton,3,A,767,73,0,43,883
Northampton,3,B,893,67,2,47,"1,009"
Northampton,4,A,666,37,0,31,734
Northampton,4,B,992,61,0,69,"1,122"
Northampton,5,A,789,70,2,43,904
Northampton,5,B,993,74,0,45,"1,112"
Northampton,6,A,992,141,1,98,"1,232"
Northampton,6,B,"1,038",101,1,81,"1,221"
Northampton,7,A,936,86,1,59,"1,082"
Northampton,7,B,950,83,0,72,"1,105"
Northborough,-,1,"1,162",391,4,153,"1,710"
Northborough,-,2,"1,172",370,4,148,"1,694"
Northborough,-,3,"1,234",390,7,169,"1,800"
Northborough,-,4,"1,243",463,10,168,"1,884"
Northbridge,-,1,794,375,2,164,"1,335"
Northbridge,-,2,638,328,4,129,"1,099"
Northbridge,-,3,609,322,1,149,"1,081"
Northbridge,-,4,810,463,5,212,"1,490"
Northbridge,-,5,756,453,4,145,"1,358"
Northfield,,,"1,021",295,6,141,"1,463"
Norton,-,1,946,460,13,240,"1,659"
Norton,-,2,954,422,16,209,"1,601"
Norton,-,3,935,409,14,181,"1,539"
Norton,-,4,977,426,5,229,"1,637"
Norton,-,5,550,300,9,127,986
Norwell,-,1,"1,058",435,4,254,"1,751"
Norwell,-,2,"1,166",551,11,272,"2,000"
Norwell,-,3,"1,179",488,9,199,"1,875"
Norwood,-,1,985,268,4,154,"1,411"
Norwood,-,2,889,240,4,151,"1,284"
Norwood,-,3,967,308,11,145,"1,431"
Norwood,-,4,"1,090",311,1,234,"1,636"
Norwood,-,5,607,153,3,79,842
Norwood,-,6,655,216,3,120,994
Norwood,-,7,866,294,9,160,"1,329"
Norwood,-,8,"1,040",299,6,145,"1,490"
Norwood,-,9,954,309,12,191,"1,466"
"Oak Bluffs",,,"1,738",336,3,243,"2,320"
Oakham,,,488,315,11,120,934
Orange,-,1,753,420,11,164,"1,348"
Orange,-,2,823,357,13,162,"1,355"
Orleans,-,1,"1,448",334,3,212,"1,997"
Orleans,-,2,"1,334",431,7,267,"2,039"
Otis,,,470,205,1,93,769
Oxford,-,1,740,460,0,158,"1,358"
Oxford,-,2,719,421,1,152,"1,293"
Oxford,-,3,743,416,0,150,"1,309"
Oxford,-,4,645,397,0,180,"1,222"
Oxford,-,4A,5,12,0,3,20
Palmer,-,1,670,397,5,159,"1,231"
Palmer,-,2,639,394,12,191,"1,236"
Palmer,-,3,556,256,4,113,929
Palmer,-,4,519,370,7,148,"1,044"
Paxton,,,"1,378",565,10,261,"2,214"
Peabody,1,1,801,286,14,158,"1,259"
Peabody,1,2,823,323,13,222,"1,381"
Peabody,1,3,841,341,14,206,"1,402"
Peabody,2,1,528,137,4,57,726
Peabody,2,2,472,146,7,66,691
Peabody,2,3,603,216,9,114,942
Peabody,3,1,381,91,5,60,537
Peabody,3,2,604,177,7,92,880
Peabody,3,3,678,199,4,156,"1,037"
Peabody,4,1,760,227,14,123,"1,124"
Peabody,4,2,457,167,5,96,725
Peabody,4,3,325,96,0,62,483
Peabody,4,3A,"1,010",153,2,139,"1,304"
Peabody,5,1,933,329,8,228,"1,498"
Peabody,5,2,607,242,11,166,"1,026"
Peabody,5,3,664,245,11,150,"1,070"
Peabody,6,1,970,402,14,261,"1,647"
Peabody,6,2,790,375,9,248,"1,422"
Peabody,6,3,882,416,19,274,"1,591"
Pelham,,,649,45,0,44,738
Pembroke,-,1,"1,085",512,17,248,"1,862"
Pembroke,-,2,910,459,7,221,"1,597"
Pembroke,-,3,988,520,13,218,"1,739"
Pembroke,-,3A,7,1,1,3,12
Pembroke,-,4,"1,002",477,18,212,"1,709"
Pembroke,-,5,955,437,7,208,"1,607"
Pepperell,-,1,725,373,10,168,"1,276"
Pepperell,-,2,949,462,8,190,"1,609"
Pepperell,-,3,824,402,13,190,"1,429"
Pepperell,-,4,732,279,4,110,"1,125"
Peru,,,213,95,0,56,364
Petersham,,,479,177,3,85,744
Phillipston,,,397,321,0,91,809
Pittsfield,1,A,510,110,1,61,682
Pittsfield,1,B,837,160,0,118,"1,115"
Pittsfield,2,A,330,79,0,39,448
Pittsfield,2,B,818,165,0,97,"1,080"
Pittsfield,3,A,936,163,2,103,"1,204"
Pittsfield,3,B,987,199,1,124,"1,311"
Pittsfield,4,A,965,191,1,98,"1,255"
Pittsfield,4,B,"1,152",234,5,164,"1,555"
Pittsfield,5,A,772,147,3,87,"1,009"
Pittsfield,5,B,817,195,1,106,"1,119"
Pittsfield,6,A,822,137,0,95,"1,054"
Pittsfield,6,B,566,123,1,62,752
Pittsfield,7,A,427,129,0,53,609
Pittsfield,7,B,765,163,0,113,"1,041"
Plainfield,,,279,60,1,28,368
Plainville,-,1,740,341,5,168,"1,254"
Plainville,-,2,871,358,7,174,"1,410"
Plainville,-,3,894,440,9,175,"1,518"
Plymouth,-,1,722,258,5,92,"1,077"
Plymouth,-,2,905,322,5,143,"1,375"
Plymouth,-,3,975,325,4,147,"1,451"
Plymouth,-,4,932,350,1,175,"1,458"
Plymouth,-,5,958,349,4,169,"1,480"
Plymouth,-,6,"1,177",441,4,174,"1,796"
Plymouth,-,7,"1,009",380,6,162,"1,557"
Plymouth,-,8,"1,100",512,0,221,"1,833"
Plymouth,-,9,818,441,6,133,"1,398"
Plymouth,-,10,979,467,6,179,"1,631"
Plymouth,-,11,"1,050",490,10,216,"1,766"
Plymouth,-,12,751,397,5,162,"1,315"
Plymouth,-,13,"1,065",424,7,189,"1,685"
Plymouth,-,14,973,525,14,220,"1,732"
Plymouth,-,15,"1,829",510,4,291,"2,634"
Plymouth,-,16,"1,404",472,12,239,"2,127"
Plymouth,-,17,"1,092",530,12,172,"1,806"
Plymouth,-,18,655,331,7,152,"1,145"
Plympton,,,807,481,0,205,"1,493"
Princeton,,,"1,256",480,8,216,"1,960"
Provincetown,,,"2,073",109,3,52,"2,237"
Quincy,1,1,621,154,2,97,874
Quincy,1,2,514,151,6,105,776
Quincy,1,3,728,157,9,76,970
Quincy,1,4,"1,019",373,13,201,"1,606"
Quincy,1,5,"1,023",374,4,175,"1,576"
Quincy,2,1,527,146,3,58,734
Quincy,2,2,570,143,3,78,794
Quincy,2,3,419,116,2,59,596
Quincy,2,4,504,170,3,70,747
Quincy,2,5,686,230,6,111,"1,033"
Quincy,3,1,911,227,4,105,"1,247"
Quincy,3,2,758,188,5,108,"1,059"
Quincy,3,3,604,190,3,82,879
Quincy,3,4,904,259,3,144,"1,310"
Quincy,3,5,545,134,0,64,743
Quincy,4,1,631,171,1,70,873
Quincy,4,2,821,246,6,123,"1,196"
Quincy,4,3,865,280,3,157,"1,305"
Quincy,4,4,537,136,5,55,733
Quincy,4,5,581,152,3,54,790
Quincy,5,1,328,88,3,41,460
Quincy,5,1A,216,61,1,42,320
Quincy,5,2,680,152,5,88,925
Quincy,5,3,849,211,4,91,"1,155"
Quincy,5,4,640,159,7,76,882
Quincy,5,5,888,236,3,106,"1,233"
Quincy,6,1,665,195,0,94,954
Quincy,6,2,559,136,6,62,763
Quincy,6,3,784,280,3,119,"1,186"
Quincy,6,4,627,137,5,84,853
Quincy,6,5,"1,153",389,7,212,"1,761"
Randolph,-,1,787,141,6,99,"1,033"
Randolph,-,2,614,121,0,63,798
Randolph,-,3,536,71,2,62,671
Randolph,-,4,685,128,4,68,885
Randolph,-,5,677,141,4,88,910
Randolph,-,6,377,59,5,29,470
Randolph,-,7,588,109,10,70,777
Randolph,-,8,557,130,6,77,770
Randolph,-,9,680,97,1,67,845
Randolph,-,10,655,129,5,81,870
Randolph,-,11,597,162,8,81,848
Randolph,-,12,571,116,5,77,769
Raynham,-,1,892,381,2,236,"1,511"
Raynham,-,2,529,252,2,146,929
Raynham,-,2A,312,180,0,116,608
Raynham,-,3,914,505,0,263,"1,682"
Raynham,-,4,762,417,0,241,"1,420"
Raynham,-,4A,19,15,0,13,47
Reading,-,1,"1,148",339,0,268,"1,755"
Reading,-,2,955,297,0,203,"1,455"
Reading,-,3,"1,103",330,0,227,"1,660"
Reading,-,4,"1,081",281,0,210,"1,572"
Reading,-,5,"1,084",270,0,178,"1,532"
Reading,-,6,"1,111",310,0,215,"1,636"
Reading,-,7,"1,127",299,0,218,"1,644"
Reading,-,8,973,287,0,247,"1,507"
Rehoboth,-,1,697,448,0,231,"1,376"
Rehoboth,-,2,724,400,0,193,"1,317"
Rehoboth,-,3,709,439,0,249,"1,397"
Rehoboth,-,4,673,442,0,224,"1,339"
Revere,1,1,510,146,5,100,761
Revere,1,2,464,146,4,102,716
Revere,1,3,380,90,3,75,548
Revere,2,1,303,88,2,58,451
Revere,2,2,387,91,2,63,543
Revere,2,3,106,27,1,13,147
Revere,2,3A,26,3,0,5,34
Revere,3,1,311,122,4,90,527
Revere,3,2,327,120,4,83,534
Revere,3,3,351,107,7,104,569
Revere,4,1,431,165,9,103,708
Revere,4,2,323,116,3,92,534
Revere,4,3,424,146,2,130,702
Revere,5,1,683,227,1,184,"1,095"
Revere,5,2,457,135,6,89,687
Revere,5,3,316,101,8,75,500
Revere,6,1,456,209,11,191,867
Revere,6,2,420,194,9,195,818
Revere,6,3,384,114,3,80,581
Richmond,,,662,98,1,63,824
Rochester,,,"1,459",979,14,437,"2,889"
Rockland,-,1,839,311,7,131,"1,288"
Rockland,-,2,800,352,10,149,"1,311"
Rockland,-,3,599,238,12,85,934
Rockland,-,4,633,270,13,110,"1,026"
Rockland,-,5,666,326,13,139,"1,144"
Rockland,-,6,776,336,12,133,"1,257"
Rockport,-,1,810,167,4,100,"1,081"
Rockport,-,2,"1,082",211,3,128,"1,424"
Rockport,-,3,"1,311",310,4,165,"1,790"
Rowe,,,131,47,0,35,213
Rowley,,,"1,865",882,18,438,"3,203"
Royalston,,,395,178,1,59,633
Russell,,,324,228,1,86,639
Rutland,-,1,802,460,0,180,"1,442"
Rutland,-,2,713,360,0,180,"1,253"
Rutland,-,3,903,406,0,185,"1,494"
Salem,1,1,"1,187",235,3,162,"1,587"
Salem,1,2,383,57,0,35,475
Salem,2,1,"1,150",180,0,102,"1,432"
Salem,2,2,"1,231",200,0,96,"1,527"
Salem,3,1,789,155,1,100,"1,045"
Salem,3,2,852,191,0,127,"1,170"
Salem,4,1,765,233,3,116,"1,117"
Salem,4,2,868,221,0,159,"1,248"
Salem,5,1,994,156,0,121,"1,271"
Salem,5,2,839,133,3,64,"1,039"
Salem,6,1,921,172,0,130,"1,223"
Salem,6,2,"1,044",223,3,97,"1,367"
Salem,7,1,624,167,0,78,869
Salem,7,2,"1,012",177,0,143,"1,332"
Salisbury,-,1,828,356,1,189,"1,374"
Salisbury,-,2,832,353,1,186,"1,372"
Salisbury,-,3,725,388,1,196,"1,310"
Sandisfield,,,233,90,0,35,358
Sandwich,-,1,"1,297",502,7,253,"2,059"
Sandwich,-,2,"1,164",510,5,254,"1,933"
Sandwich,-,3,"1,022",464,6,220,"1,712"
Sandwich,-,4,"1,085",483,4,238,"1,810"
Sandwich,-,5,940,448,7,191,"1,586"
Sandwich,-,6,892,486,5,195,"1,578"
Saugus,-,1,610,266,0,169,"1,045"
Saugus,-,2,564,222,0,174,960
Saugus,-,3,577,241,0,180,998
Saugus,-,4,605,227,0,173,"1,005"
Saugus,-,5,635,315,0,239,"1,189"
Saugus,-,6,580,260,0,161,"1,001"
Saugus,-,7,628,311,0,213,"1,152"
Saugus,-,8,584,260,0,196,"1,040"
Saugus,-,9,655,291,0,214,"1,160"
Saugus,-,10,530,196,0,160,886
Savoy,,,176,68,0,61,305
Scituate,-,1,"1,121",409,5,230,"1,765"
Scituate,-,2,"1,146",390,10,204,"1,750"
Scituate,-,3,"1,161",407,3,154,"1,725"
Scituate,-,4,"1,178",391,2,220,"1,791"
Scituate,-,5,"1,092",388,1,178,"1,659"
Scituate,-,6,"1,217",377,3,234,"1,831"
Seekonk,-,1,870,433,14,198,"1,515"
Seekonk,-,2,"1,130",482,15,213,"1,840"
Seekonk,-,3,838,378,12,177,"1,405"
Seekonk,-,4,920,379,15,162,"1,476"
Sharon,-,1,"1,355",241,4,128,"1,728"
Sharon,-,2,"1,187",215,7,120,"1,529"
Sharon,-,3,"1,302",250,1,138,"1,691"
Sharon,-,4,"1,236",233,5,127,"1,601"
Sharon,-,5,"1,169",264,6,152,"1,591"
Sheffield,,,"1,124",243,3,164,"1,534"
Shelburne,,,694,157,2,168,"1,021"
Sherborn,,,"1,484",554,3,179,"2,220"
Shirley,,,"1,670",725,16,285,"2,696"
Shrewsbury,-,1,"1,186",383,2,218,"1,789"
Shrewsbury,-,2,969,281,6,182,"1,438"
Shrewsbury,-,3,755,280,1,136,"1,172"
Shrewsbury,-,4,"1,077",354,2,156,"1,589"
Shrewsbury,-,5,983,288,4,145,"1,420"
Shrewsbury,-,6,984,317,3,184,"1,488"
Shrewsbury,-,7,"1,176",366,7,246,"1,795"
Shrewsbury,-,8,"1,299",362,8,237,"1,906"
Shrewsbury,-,9,763,206,3,89,"1,061"
Shrewsbury,-,10,985,294,5,173,"1,457"
Shutesbury,,,923,90,0,50,"1,063"
Somerset,-,1,"1,061",390,3,199,"1,653"
