City/Town,Ward,Pct,"Diana DiZoglio","Anthony M. Amore","Gloria A. Caballero-Roca","Dominic S. Giannone, III","Daniel Werner Riek","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow,"Workers Party",Libertarian
Leominster,5,B,495,455,23,16,24,0,47,"1,060"
Leominster,5,C,332,284,27,8,25,0,22,698
Leverett,,,745,151,94,22,16,0,55,"1,083"
Lexington,-,1,932,419,56,22,22,0,77,"1,528"
Lexington,-,2,"1,154",428,45,14,35,0,90,"1,766"
Lexington,-,3,910,313,28,13,14,2,88,"1,368"
Lexington,-,4,"1,135",427,34,15,15,5,110,"1,741"
Lexington,-,5,982,469,24,15,35,1,89,"1,615"
Lexington,-,6,"1,051",482,28,14,35,2,122,"1,734"
Lexington,-,7,"1,047",479,42,19,33,0,77,"1,697"
Lexington,-,8,982,447,39,21,19,2,80,"1,590"
Lexington,-,9,"1,116",432,33,12,38,0,91,"1,722"
Leyden,,,234,112,14,6,15,0,14,395
Lincoln,-,1,"1,441",437,69,18,43,2,98,"2,108"
Lincoln,-,2,778,315,46,10,23,1,74,"1,247"
Littleton,-,1,883,581,49,28,29,0,85,"1,655"
Littleton,-,2,893,604,33,16,45,0,79,"1,670"
Littleton,-,3,928,608,58,22,34,0,92,"1,742"
Longmeadow,-,A,782,557,60,12,33,3,79,"1,526"
Longmeadow,-,B,712,510,66,13,20,0,81,"1,402"
Longmeadow,-,C,707,649,69,20,29,0,58,"1,532"
Longmeadow,-,D,669,639,56,12,38,0,61,"1,475"
Longmeadow,-,E,713,533,42,17,29,0,65,"1,399"
Lowell,1,1,305,208,26,15,14,2,44,614
Lowell,1,1A,0,0,0,0,0,0,0,0
Lowell,1,2,446,289,26,23,17,0,52,853
Lowell,1,3,588,365,26,20,26,1,66,"1,092"
Lowell,1,4,551,307,16,14,20,1,79,988
Lowell,2,1,241,135,13,11,8,1,66,475
Lowell,2,2,324,188,19,22,18,2,28,601
Lowell,2,3,455,263,21,18,17,2,38,814
Lowell,2,4,376,209,23,10,14,0,37,669
Lowell,3,1,334,144,15,17,14,1,39,564
Lowell,3,2,966,605,34,22,28,2,108,"1,765"
Lowell,3,3,704,452,27,21,27,2,81,"1,314"
Lowell,3,4,390,258,28,15,23,0,68,782
Lowell,4,1,275,80,28,9,6,0,20,418
Lowell,4,2,522,119,38,26,18,0,37,760
Lowell,4,3,161,34,9,6,7,0,30,247
Lowell,4,3A,95,31,2,10,2,1,3,144
Lowell,4,4,257,163,20,8,15,0,32,495
Lowell,4,4A,1,0,1,0,0,0,0,2
Lowell,5,1,365,193,19,12,10,1,36,636
Lowell,5,1A,73,25,6,6,4,0,2,116
Lowell,5,2,348,165,19,19,12,3,24,590
Lowell,5,3,221,93,17,12,4,0,12,359
Lowell,5,4,415,260,24,21,17,0,40,777
Lowell,6,1,290,155,20,13,15,0,59,552
Lowell,6,2,192,86,6,10,8,0,42,344
Lowell,6,3,154,52,11,7,5,0,23,252
Lowell,6,3A,28,22,3,2,3,0,10,68
Lowell,6,4,202,128,15,9,8,1,31,394
Lowell,6,4A,67,39,4,4,5,1,18,138
Lowell,7,1,223,112,25,13,11,1,33,418
Lowell,7,2,205,84,27,11,10,0,24,361
Lowell,7,3,272,81,32,19,2,1,36,443
Lowell,7,4,146,74,9,4,4,0,31,268
Lowell,8,1,328,173,15,13,9,1,26,565
Lowell,8,2,307,131,22,11,11,0,31,513
Lowell,8,3,604,359,20,16,19,0,69,"1,087"
Lowell,8,4,446,281,19,20,12,5,63,846
Lowell,8,4A,22,4,1,0,2,0,1,30
Ludlow,-,1,505,652,63,36,22,3,70,"1,351"
Ludlow,-,2,370,418,37,25,13,2,54,919
Ludlow,-,3,550,891,54,35,31,1,100,"1,662"
Ludlow,-,4,526,627,60,31,20,0,77,"1,341"
Ludlow,-,5,429,557,49,26,25,0,67,"1,153"
Ludlow,-,6,606,827,63,28,20,0,79,"1,623"
Lunenburg,-,A,588,584,29,23,36,0,47,"1,307"
Lunenburg,-,B,562,493,31,22,33,1,52,"1,194"
Lunenburg,-,B1,30,29,0,1,2,0,2,64
Lunenburg,-,C,541,609,31,13,41,0,42,"1,277"
Lunenburg,-,C1,3,4,1,2,0,0,0,10
Lunenburg,-,D,649,627,45,34,42,0,59,"1,456"
Lynn,1,1,805,713,25,14,20,1,144,"1,722"
Lynn,1,2,609,468,23,12,22,1,78,"1,213"
Lynn,1,2A,133,107,2,2,2,0,16,262
Lynn,1,3,673,427,30,22,25,1,78,"1,256"
Lynn,1,4,514,293,33,12,19,3,36,910
Lynn,2,1,704,481,25,19,23,0,71,"1,323"
Lynn,2,2,389,189,16,13,15,1,33,656
Lynn,2,3,251,93,19,6,4,0,22,395
Lynn,2,4,235,97,13,4,9,0,18,376
Lynn,3,1,431,293,23,11,19,2,43,822
Lynn,3,2,306,113,22,10,3,1,22,477
Lynn,3,3,474,223,17,17,11,0,42,784
Lynn,3,4,508,196,25,24,15,1,30,799
Lynn,4,1,180,74,16,6,6,1,15,298
Lynn,4,2,206,47,15,5,2,0,17,292
Lynn,4,3,299,113,19,14,10,2,17,474
Lynn,4,3A,61,22,2,2,2,0,1,90
Lynn,4,4,433,204,21,11,11,0,29,709
Lynn,5,1,498,265,18,14,14,1,50,860
Lynn,5,2,225,80,12,9,7,0,19,352
Lynn,5,3,179,65,12,4,5,0,13,278
Lynn,5,4,437,165,29,11,5,1,57,705
Lynn,6,1,286,123,10,6,11,0,29,465
Lynn,6,2,161,68,12,4,6,2,13,266
Lynn,6,3,245,76,11,4,5,0,14,355
Lynn,6,4,377,206,19,12,5,0,28,647
Lynn,7,1,606,326,24,16,21,1,59,"1,053"
Lynn,7,2,581,298,20,17,15,1,50,982
Lynn,7,3,316,178,12,13,11,0,19,549
Lynn,7,4,370,207,29,12,10,2,22,652
Lynnfield,-,1,561,790,22,15,31,0,76,"1,495"
Lynnfield,-,2,612,744,23,15,22,1,64,"1,481"
Lynnfield,-,3,561,757,18,22,19,1,69,"1,447"
Lynnfield,-,4,533,937,11,11,14,0,87,"1,593"
Malden,1,1,311,83,14,17,7,1,25,458
Malden,1,2,362,159,27,11,5,0,35,599
Malden,1,3,384,160,22,21,14,2,32,635
Malden,2,1,314,108,9,14,7,3,27,482
Malden,2,2,290,185,14,19,7,1,38,554
Malden,2,3,420,198,25,12,8,0,40,703
Malden,3,1,269,117,16,12,9,0,40,463
Malden,3,1A,320,173,23,12,5,0,31,564
Malden,3,2,413,140,34,24,12,2,37,662
Malden,3,3,571,213,19,24,22,0,43,892
Malden,4,1,345,133,21,22,9,2,22,554
Malden,4,2,248,80,21,6,6,1,20,382
Malden,4,3,365,101,24,21,4,0,27,542
Malden,5,1,390,173,15,14,7,0,44,643
Malden,5,2,611,269,30,27,15,2,54,"1,008"
Malden,5,3,227,103,14,7,7,1,14,373
Malden,5,3A,122,28,3,2,2,0,6,163
Malden,6,1,575,237,34,21,11,0,61,939
Malden,6,2,351,167,20,10,8,2,30,588
Malden,6,3,363,204,19,20,7,1,25,639
Malden,7,1,317,109,13,11,8,1,20,479
Malden,7,2,283,127,17,11,9,0,33,480
Malden,7,3,181,94,9,16,6,1,13,320
Malden,7,3A,147,52,2,5,3,0,11,220
Malden,8,1,427,215,27,12,14,1,40,736
Malden,8,2,332,173,12,10,13,1,21,562
Malden,8,3,276,117,7,10,8,0,20,438
Manchester-by-the-Sea,,,"1,521","1,073",65,32,35,2,179,"2,907"
Mansfield,-,1,645,745,28,32,22,1,98,"1,571"
Mansfield,-,2,468,441,19,34,22,0,52,"1,036"
Mansfield,-,2A,198,182,12,10,6,0,34,442
Mansfield,-,3,807,772,17,36,38,0,136,"1,806"
Mansfield,-,4,681,586,19,27,22,0,85,"1,420"
Mansfield,-,5,666,474,31,40,38,0,64,"1,313"
Mansfield,-,6,523,323,21,27,19,0,47,960
Mansfield,-,6A,111,97,2,2,3,0,15,230
Mansfield,-,7,729,552,35,39,32,0,67,"1,454"
Marblehead,-,1,"1,013",668,39,17,37,0,126,"1,900"
Marblehead,-,2,"1,031",550,36,21,32,0,110,"1,780"
Marblehead,-,3,879,538,35,15,29,0,128,"1,624"
Marblehead,-,4,906,736,25,20,31,0,114,"1,832"
Marblehead,-,5,873,629,18,20,30,1,110,"1,681"
Marblehead,-,6,964,648,24,27,33,0,123,"1,819"
Marion,,,"1,376","1,104",55,38,84,1,155,"2,813"
Marlborough,1,1,464,301,21,12,15,0,48,861
Marlborough,1,1A,21,5,0,0,0,0,0,26
Marlborough,1,2,735,520,26,16,24,0,76,"1,397"
Marlborough,2,1,556,437,28,29,21,0,70,"1,141"
Marlborough,2,2,458,302,20,11,19,1,26,837
Marlborough,2,2A,4,4,0,0,1,0,0,9
Marlborough,3,1,306,220,21,18,19,0,23,607
Marlborough,3,2,655,403,22,18,34,0,64,"1,196"
Marlborough,4,1,248,198,23,12,11,0,24,516
Marlborough,4,2,638,504,22,22,31,1,65,"1,283"
Marlborough,5,1,335,201,10,15,13,0,26,600
Marlborough,5,2,573,345,29,26,20,1,38,"1,032"
Marlborough,6,1,330,241,21,25,12,0,32,661
Marlborough,6,2,660,514,23,23,30,2,62,"1,314"
Marlborough,7,1,432,347,18,14,15,0,44,870
Marlborough,7,2,450,341,27,19,24,1,50,912
Marlborough,7,2A,15,15,1,1,3,0,1,36
Marshfield,-,1,815,914,27,68,42,0,74,"1,940"
Marshfield,-,2,729,757,27,45,27,0,59,"1,644"
Marshfield,-,2A,123,72,5,6,3,0,10,219
Marshfield,-,3,838,835,21,75,36,0,97,"1,902"
Marshfield,-,4,693,768,13,40,40,0,49,"1,603"
Marshfield,-,5,706,745,26,63,28,0,78,"1,646"
Marshfield,-,6,925,"1,075",29,62,56,0,101,"2,248"
Marshfield,-,7,831,962,14,50,33,0,73,"1,963"
Mashpee,-,1,883,659,13,19,40,0,93,"1,707"
Mashpee,-,2,604,645,15,10,48,0,76,"1,398"
Mashpee,-,3,561,588,30,38,68,0,59,"1,344"
Mashpee,-,4,654,530,32,24,55,1,80,"1,376"
Mashpee,-,5,952,"1,041",19,16,51,0,136,"2,215"
Mattapoisett,-,1,851,832,31,20,33,1,127,"1,895"
Mattapoisett,-,2,860,833,34,16,33,1,113,"1,890"
Maynard,-,1,819,382,47,21,28,1,49,"1,347"
Maynard,-,2,717,287,41,23,25,1,38,"1,132"
Maynard,-,3,964,442,52,39,21,0,55,"1,573"
Maynard,-,4,672,329,39,26,25,1,38,"1,130"
Medfield,-,1,839,630,27,26,30,1,104,"1,657"
Medfield,-,2,785,592,29,11,21,2,83,"1,523"
Medfield,-,3,763,697,33,15,40,0,79,"1,627"
Medfield,-,4,739,615,26,21,33,0,112,"1,546"
Medford,1,1,725,375,49,27,16,0,76,"1,268"
Medford,1,2,852,409,40,36,14,0,76,"1,427"
Medford,2,1,695,427,37,30,13,0,65,"1,267"
Medford,2,2,"1,010",609,58,40,28,0,101,"1,846"
Medford,3,1,975,554,19,24,24,0,148,"1,744"
Medford,3,2,"1,092",651,48,37,19,0,108,"1,955"
Medford,4,1,440,138,43,16,4,0,25,666
Medford,4,2,951,326,75,38,24,0,84,"1,498"
Medford,5,1,821,280,65,42,15,0,60,"1,283"
Medford,5,2,797,219,76,43,17,0,47,"1,199"
Medford,6,1,"1,184",323,70,44,16,0,83,"1,720"
Medford,6,2,995,414,43,23,19,0,85,"1,579"
Medford,6,2A,43,34,0,0,1,0,3,81
Medford,7,1,459,176,19,12,11,0,39,716
Medford,7,2,563,172,26,24,6,0,45,836
Medford,7,2A,58,35,1,2,1,0,5,102
Medford,8,1,928,396,55,42,30,0,64,"1,515"
Medford,8,2,754,330,38,33,15,0,70,"1,240"
Medway,-,1,688,636,30,17,26,0,55,"1,452"
Medway,-,2,778,625,35,29,31,2,55,"1,555"
Medway,-,3,817,661,32,30,38,0,77,"1,655"
Medway,-,4,748,636,21,30,39,1,72,"1,547"
Melrose,1,1,684,334,20,12,23,0,56,"1,129"
Melrose,1,2,544,256,28,16,11,0,55,910
Melrose,2,1,592,403,18,8,11,1,74,"1,107"
Melrose,2,2,578,312,14,19,10,0,42,975
Melrose,3,1,547,238,25,26,15,1,56,908
Melrose,3,2,594,304,17,12,8,1,51,987
Melrose,4,1,542,254,21,12,12,0,40,881
Melrose,4,2,542,455,15,15,20,1,68,"1,116"
Melrose,5,1,396,184,25,11,9,0,30,655
Melrose,5,2,433,156,29,6,10,0,20,654
Melrose,6,1,533,258,16,18,18,2,47,892
Melrose,6,2,638,385,24,15,14,1,64,"1,141"
Melrose,7,1,585,302,20,13,19,1,58,998
Melrose,7,2,607,353,27,27,22,1,47,"1,084"
Mendon,-,1,549,674,22,19,36,0,81,"1,381"
Mendon,-,2,575,695,32,21,24,2,93,"1,442"
Merrimac,-,1,813,611,22,25,34,1,56,"1,562"
Merrimac,-,2,886,715,21,23,29,0,54,"1,728"
Methuen,-,1,348,166,11,8,7,1,16,557
Methuen,-,2,427,188,13,7,4,0,12,651
Methuen,-,3,669,354,13,10,9,0,18,"1,073"
Methuen,-,4,549,288,15,9,16,2,18,897
Methuen,-,5,627,377,18,14,16,0,27,"1,079"
Methuen,-,6,541,383,11,10,13,2,22,982
Methuen,-,6A,71,35,4,1,1,0,2,114
Methuen,-,7,849,476,7,8,10,0,25,"1,375"
Methuen,-,8,744,570,11,7,17,0,39,"1,388"
Methuen,-,9,732,573,8,6,15,0,30,"1,364"
Methuen,-,10,662,452,10,6,12,1,33,"1,176"
Methuen,-,11,874,693,16,11,19,3,47,"1,663"
Methuen,-,12,624,495,15,11,12,0,28,"1,185"
Methuen,-,13,442,285,11,6,7,1,14,766
Methuen,-,13A,262,137,5,4,3,0,4,415
Methuen,-,14,657,278,10,8,6,0,11,970
Methuen,-,15,477,195,14,10,8,1,15,720
Middleborough,-,1,804,"1,053",16,34,29,0,129,"2,065"
Middleborough,-,2,438,552,22,37,34,0,48,"1,131"
Middleborough,-,3,523,758,16,45,36,0,73,"1,451"
Middleborough,-,4,375,445,18,39,33,0,37,947
Middleborough,-,5,417,695,18,44,32,0,74,"1,280"
Middleborough,-,5A,80,154,1,7,3,0,17,262
Middleborough,-,6,465,719,28,40,45,0,82,"1,379"
Middleborough,-,7,356,487,15,32,22,0,54,966
Middleborough,-,7A,94,218,7,12,17,0,16,364
Middlefield,,,136,88,7,5,8,0,13,257
Middleton,-,1,661,949,21,21,19,1,74,"1,746"
Middleton,-,2,443,639,9,12,19,0,48,"1,170"
Middleton,-,3,502,860,19,13,26,1,63,"1,484"
Milford,-,1,347,258,14,23,20,0,32,694
Milford,-,2,584,519,26,21,15,0,88,"1,253"
Milford,-,3,473,468,25,19,21,0,62,"1,068"
Milford,-,4,362,310,15,20,12,0,54,773
Milford,-,5,725,710,27,27,36,0,93,"1,618"
Milford,-,6,644,473,19,20,30,1,87,"1,274"
Milford,-,7,783,700,33,24,32,0,96,"1,668"
Milford,-,8,715,528,29,31,33,1,84,"1,421"
Millbury,-,1,563,672,26,32,29,0,63,"1,385"
Millbury,-,2,655,827,21,25,33,0,72,"1,633"
Millbury,-,3,513,626,33,30,37,0,80,"1,319"
Millbury,-,4,573,599,34,25,35,0,70,"1,336"
Millis,-,1,689,518,25,26,23,0,52,"1,333"
Millis,-,2,607,611,30,35,30,0,80,"1,393"
Millis,-,3,896,702,27,18,41,0,89,"1,773"
Millville,,,413,668,22,35,27,0,45,"1,210"
Milton,-,1,823,192,28,25,12,1,67,"1,148"
Milton,-,2,935,275,38,21,16,0,115,"1,400"
Milton,-,3,782,420,35,26,25,0,124,"1,412"
Milton,-,4,442,239,22,14,13,0,65,795
Milton,-,4A,299,96,18,9,9,0,33,464
Milton,-,5,615,343,30,16,21,0,103,"1,128"
Milton,-,6,656,567,25,27,21,0,92,"1,388"
Milton,-,7,652,442,18,35,17,1,99,"1,264"
Milton,-,8,739,515,21,42,27,2,99,"1,445"
Milton,-,9,682,584,15,25,17,3,133,"1,459"
Milton,-,10,640,191,19,18,17,0,49,934
Monroe,,,18,16,3,1,0,0,0,38
Monson,-,A,469,622,38,20,21,0,63,"1,233"
Monson,-,B,447,617,52,20,25,0,60,"1,221"
Monson,-,C,488,631,33,26,40,0,69,"1,287"
Montague,-,1,553,129,97,21,10,0,30,840
Montague,-,2,276,169,38,23,14,0,23,543
Montague,-,3,319,202,30,11,7,0,32,601
Montague,-,4,328,141,33,16,8,1,26,553
Montague,-,5,234,62,49,21,11,0,15,392
Montague,-,6,291,121,42,20,10,0,16,500
Monterey,,,332,107,28,9,9,0,15,500
Montgomery,,,136,257,24,13,7,0,11,448
"Mount Washington",,,70,23,5,1,3,0,4,106
Nahant,,,"1,055",706,44,30,27,1,112,"1,975"
Nantucket,,,"2,679","1,573",165,106,130,1,301,"4,955"
Natick,-,1,557,254,19,23,18,0,38,909
Natick,-,2,945,496,31,20,21,0,91,"1,604"
Natick,-,3,924,491,38,20,28,0,90,"1,591"
Natick,-,4,907,436,40,23,33,0,71,"1,510"
Natick,-,5,947,530,37,29,32,0,90,"1,665"
Natick,-,6,894,492,43,20,27,0,91,"1,567"
Natick,-,7,"1,207",527,44,26,33,0,77,"1,914"
Natick,-,8,"1,049",506,33,23,25,2,117,"1,755"
Natick,-,9,"1,098",442,61,33,32,0,103,"1,769"
Natick,-,10,"1,210",650,45,25,39,1,139,"2,109"
Needham,-,A,757,392,25,8,25,0,88,"1,295"
Needham,-,B,932,468,21,17,31,0,90,"1,559"
Needham,-,C,906,474,25,6,22,1,119,"1,553"
Needham,-,D,846,469,24,13,20,0,100,"1,472"
Needham,-,E,951,516,26,6,31,0,111,"1,641"
Needham,-,F,905,424,28,14,22,1,107,"1,501"
Needham,-,G,967,519,31,9,26,0,107,"1,659"
Needham,-,H,932,513,29,11,23,0,108,"1,616"
Needham,-,I,"1,027",468,28,25,37,1,124,"1,710"
Needham,-,J,947,378,38,21,27,0,81,"1,492"
"New Ashford",,,60,45,6,4,1,0,2,118
"New Bedford",1,A,351,305,12,21,17,0,37,743
"New Bedford",1,A1,42,38,8,2,0,2,4,96
"New Bedford",1,B,386,388,12,24,13,0,51,874
"New Bedford",1,B1,48,27,0,2,3,0,9,89
"New Bedford",1,C,291,274,12,18,10,1,35,641
"New Bedford",1,C1,63,35,5,1,3,0,4,111
"New Bedford",1,D,449,490,12,28,23,0,56,"1,058"
"New Bedford",1,E,422,348,15,22,17,1,43,868
"New Bedford",1,F,437,412,19,24,21,0,36,949
"New Bedford",2,A,57,33,8,7,6,0,5,116
"New Bedford",2,B,107,87,11,5,7,0,10,227
"New Bedford",2,C,142,105,6,10,7,0,19,289
"New Bedford",2,D,357,198,6,17,5,0,37,620
"New Bedford",2,E,344,331,14,26,19,0,47,781
"New Bedford",2,F,235,175,17,18,16,1,24,486
"New Bedford",3,A,179,79,12,4,7,2,12,295
"New Bedford",3,B,161,62,7,13,12,0,12,267
"New Bedford",3,C,120,86,12,6,3,0,17,244
"New Bedford",3,D,236,147,13,13,11,0,28,448
"New Bedford",3,E,358,242,20,27,15,0,30,692
"New Bedford",3,F,329,211,15,15,11,0,56,637
"New Bedford",3,F1,151,79,5,2,6,0,15,258
"New Bedford",4,A,102,21,10,4,3,0,11,151
"New Bedford",4,A1,127,25,7,3,3,0,7,172
"New Bedford",4,B,327,123,24,20,14,0,41,549
"New Bedford",4,C,380,98,33,11,10,0,27,559
"New Bedford",4,D,311,134,20,20,12,1,17,515
"New Bedford",4,E,258,146,12,14,12,0,28,470
"New Bedford",4,F,345,126,14,14,12,1,41,553
"New Bedford",5,A,228,126,11,11,7,2,21,406
"New Bedford",5,B,463,216,25,26,14,1,42,787
"New Bedford",5,C,344,228,18,19,12,0,47,668
"New Bedford",5,D,551,241,29,31,12,0,45,909
"New Bedford",5,E,546,387,21,22,15,1,66,"1,058"
"New Bedford",5,F,503,308,32,31,16,1,54,945
"New Bedford",6,A,373,309,19,32,27,0,44,804
"New Bedford",6,B,315,197,16,19,12,0,29,588
"New Bedford",6,C,143,86,12,9,2,0,20,272
"New Bedford",6,D,122,71,14,10,1,0,6,224
"New Bedford",6,E,145,88,8,7,10,1,15,274
"New Bedford",6,F,257,137,18,16,9,0,24,461
"New Braintree",,,189,254,12,6,6,0,21,488
"New Marlborough",,,446,216,22,16,14,0,52,766
"New Salem",,,289,196,34,8,19,0,16,562
Newbury,-,1,"1,045",761,36,16,46,0,87,"1,991"
Newbury,-,2,962,826,30,27,35,0,95,"1,975"
Newburyport,1,1,918,329,26,14,27,1,74,"1,389"
Newburyport,2,1,"1,100",387,31,14,37,0,77,"1,646"
Newburyport,3,1,"1,157",436,33,18,28,2,70,"1,744"
Newburyport,4,1,"1,109",458,34,8,25,3,77,"1,714"
Newburyport,5,1,802,517,23,11,24,1,69,"1,447"
Newburyport,6,1,913,535,18,20,25,1,75,"1,587"
Newburyport,1,P,198,151,11,11,9,0,13,393
Newton,1,1,545,297,32,19,15,1,58,967
Newton,1,2,782,201,45,30,16,1,69,"1,144"
Newton,1,2A,40,9,3,0,1,0,3,56
Newton,1,3,793,209,41,28,20,1,64,"1,156"
Newton,1,4,637,338,37,25,15,1,58,"1,111"
Newton,2,1,735,242,26,13,20,2,56,"1,094"
Newton,2,2,571,181,31,11,15,0,56,865
Newton,2,3,911,261,36,16,24,1,105,"1,354"
Newton,2,4,"1,011",280,34,16,24,2,110,"1,477"
Newton,3,1,819,286,41,24,21,1,74,"1,266"
Newton,3,1A,0,0,0,0,0,0,0,0
Newton,3,2,867,305,22,19,10,0,97,"1,320"
Newton,3,3,760,374,33,13,16,0,73,"1,269"
Newton,3,4,764,349,28,26,20,0,73,"1,260"
Newton,4,1,737,257,35,20,18,1,67,"1,135"
Newton,4,2,770,202,25,12,20,1,66,"1,096"
Newton,4,3,533,180,19,7,8,0,60,807
Newton,4,4,648,284,30,15,16,1,74,"1,068"
Newton,5,1,719,268,29,15,21,1,65,"1,118"
Newton,5,2,859,222,36,28,12,0,72,"1,229"
Newton,5,3,980,293,26,11,13,0,112,"1,435"
Newton,5,4,949,303,29,8,18,1,108,"1,416"
Newton,6,1,728,282,26,10,22,1,86,"1,155"
Newton,6,2,795,227,34,23,18,2,76,"1,175"
Newton,6,3,981,211,43,12,16,2,94,"1,359"
Newton,6,4,"1,017",259,34,21,28,0,118,"1,477"
Newton,7,1,597,293,14,4,18,0,80,"1,006"
Newton,7,2,895,316,43,17,24,0,98,"1,393"
Newton,7,3,255,91,7,3,5,1,25,387
Newton,7,4,411,163,11,4,13,0,47,649
Newton,8,1,676,407,10,12,17,0,99,"1,221"
Newton,8,2,655,321,17,11,9,0,101,"1,114"
Newton,8,3,776,299,30,9,13,0,92,"1,219"
Newton,8,4,644,339,18,9,21,0,70,"1,101"
Norfolk,-,1,398,395,16,20,27,1,49,906
Norfolk,-,2,713,739,32,22,37,2,87,"1,632"
Norfolk,-,3,587,662,19,22,29,3,65,"1,387"
Norfolk,-,4,670,620,25,15,31,1,90,"1,452"
"N. Adams",1,1,499,251,33,24,11,0,49,867
"N. Adams",2,2,465,195,60,32,13,0,38,803
"N. Adams",3,3,346,127,37,18,6,0,22,556
"N. Adams",4,4,550,286,33,22,11,0,34,936
"N. Adams",5,5,423,199,35,27,14,0,42,740
"N. Andover",-,1,800,397,22,16,17,1,40,"1,293"
"N. Andover",-,2,958,500,25,23,17,0,38,"1,561"
"N. Andover",-,3,841,525,23,16,14,0,35,"1,454"
"N. Andover",-,4,"1,211",704,23,17,21,0,63,"2,039"
"N. Andover",-,5,495,319,13,6,10,0,24,867
"N. Andover",-,6,995,828,23,17,29,1,51,"1,944"
"N. Andover",-,7,944,652,25,16,17,0,54,"1,708"
"N. Andover",-,8,868,794,13,8,31,2,44,"1,760"
"N. Attleborough",-,1,439,323,26,27,24,0,37,876
"N. Attleborough",-,2,604,541,28,29,38,0,58,"1,298"
"N. Attleborough",-,3,501,700,22,25,37,0,70,"1,355"
"N. Attleborough",-,4,533,389,29,26,28,0,41,"1,046"
"N. Attleborough",-,5,509,508,35,40,25,0,44,"1,161"
"N. Attleborough",-,6,640,635,27,30,30,0,70,"1,432"
"N. Attleborough",-,7,684,788,25,30,36,0,69,"1,632"
"N. Attleborough",-,8,582,644,23,28,30,1,73,"1,381"
"N. Attleborough",-,9,540,565,22,21,32,0,59,"1,239"
"N. Brookfield",,,707,"1,085",37,46,57,0,72,"2,004"
"N. Reading",-,1,773,888,24,13,30,0,113,"1,841"
"N. Reading",-,2,870,785,25,25,37,0,117,"1,859"
"N. Reading",-,3,748,862,18,21,35,0,101,"1,785"
"N. Reading",-,4,800,835,18,29,34,0,137,"1,853"
Northampton,1,A,650,111,90,29,17,0,32,929
Northampton,1,B,807,109,109,18,11,0,54,"1,108"
Northampton,2,A,646,33,80,13,10,2,44,828
Northampton,2,B,486,40,56,25,7,0,37,651
Northampton,3,A,567,81,142,41,11,0,41,883
Northampton,3,B,690,72,142,40,10,0,55,"1,009"
Northampton,4,A,515,41,103,29,14,0,32,734
Northampton,4,B,798,101,118,39,10,0,56,"1,122"
Northampton,5,A,634,96,95,22,8,1,48,904
Northampton,5,B,790,109,125,36,6,0,46,"1,112"
Northampton,6,A,777,256,95,24,12,0,68,"1,232"
Northampton,6,B,836,205,88,15,16,0,61,"1,221"
Northampton,7,A,743,156,95,18,7,2,61,"1,082"
Northampton,7,B,756,138,102,25,22,1,61,"1,105"
Northborough,-,1,923,617,27,29,41,0,73,"1,710"
Northborough,-,2,910,592,44,15,51,2,80,"1,694"
Northborough,-,3,902,700,40,27,37,1,93,"1,800"
Northborough,-,4,930,733,42,31,53,2,93,"1,884"
Northbridge,-,1,568,602,34,37,36,0,58,"1,335"
Northbridge,-,2,449,540,20,15,20,0,55,"1,099"
Northbridge,-,3,407,539,43,21,31,0,40,"1,081"
Northbridge,-,4,539,796,24,25,35,0,71,"1,490"
Northbridge,-,5,521,680,25,38,26,1,67,"1,358"
Northfield,,,759,492,89,38,30,0,55,"1,463"
Norton,-,1,686,750,26,38,46,1,112,"1,659"
Norton,-,2,675,762,18,26,35,1,84,"1,601"
Norton,-,3,672,681,25,38,40,0,83,"1,539"
Norton,-,4,689,767,25,32,28,0,96,"1,637"
Norton,-,5,403,454,15,26,38,0,50,986
Norwell,-,1,750,771,24,58,30,1,117,"1,751"
Norwell,-,2,805,961,20,42,41,0,131,"2,000"
Norwell,-,3,800,877,30,40,43,3,82,"1,875"
Norwood,-,1,730,507,32,34,24,3,81,"1,411"
Norwood,-,2,670,475,20,27,15,0,77,"1,284"
Norwood,-,3,751,493,33,33,22,0,99,"1,431"
Norwood,-,4,791,631,25,42,32,1,114,"1,636"
Norwood,-,5,497,252,15,17,18,0,43,842
Norwood,-,6,486,356,37,23,21,2,69,994
Norwood,-,7,667,498,28,31,13,1,91,"1,329"
Norwood,-,8,779,544,33,35,19,0,80,"1,490"
Norwood,-,9,689,605,19,33,29,1,90,"1,466"
"Oak Bluffs",,,"1,441",582,67,40,62,1,127,"2,320"
Oakham,,,321,520,14,16,23,0,40,934
Orange,-,1,514,657,52,34,36,1,54,"1,348"
Orange,-,2,581,596,47,40,24,0,67,"1,355"
Orleans,-,1,"1,147",654,32,18,58,1,87,"1,997"
Orleans,-,2,"1,048",752,45,27,68,0,99,"2,039"
Otis,,,357,326,22,19,15,1,29,769
Oxford,-,1,495,691,38,39,40,0,55,"1,358"
Oxford,-,2,503,676,27,25,24,0,38,"1,293"
Oxford,-,3,492,675,20,30,34,0,58,"1,309"
Oxford,-,4,432,660,16,28,36,0,50,"1,222"
Oxford,-,4A,2,17,0,0,1,0,0,20
Palmer,-,1,478,596,43,26,37,0,51,"1,231"
Palmer,-,2,406,674,52,30,21,1,52,"1,236"
Palmer,-,3,412,386,45,17,23,0,46,929
Palmer,-,4,359,544,37,32,26,0,46,"1,044"
