City/Town,Ward,Pct,"Ann M. Metcalf","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,267,2,86,355
Chilmark,-,1,724,1,199,924
Edgartown,-,1,"2,198",5,923,"3,126"
Gosnold,-,1,54,0,28,82
"Oak Bluffs",-,1,"2,280",3,942,"3,225"
Tisbury,-,1,"2,173",7,678,"2,858"
"W. Tisbury",-,1,"1,738",6,559,"2,303"
TOTALS,,,"9,434",24,"3,415","12,873"
